RevisionColumn,GenderID,NUTS,periods,Units,ValueColumn
"r_7","0","BG312","2007","perc","10.9"
"r_7","0","BG312","2008","perc","8.5"
"r_7","0","BG312","2009","perc","10.1"
"r_7","0","BG312","2010","perc","12.7"
"r_7","0","BG312","2011","perc","14.1"
"r_7","0","BG312","2012","perc","14.9"
"r_7","0","BG312","2013","perc","16.7"
"r_7","0","BG312","2014","perc","16.3"
"r_7","0","BG312","2015","perc","8.2"
"r_7","0","BG312","2016","perc","(5.6)"
"r_7","0","BG312","2017","perc","9.7"
"r_7","0","BG314","2003","perc","10.4"
"r_7","0","BG314","2004","perc","10.7"
"r_7","0","BG314","2005","perc","7.1"
"r_7","0","BG314","2006","perc","7.3"
"r_7","0","BG314","2007","perc","6.2"
"r_7","0","BG314","2008","perc","4.7"
"r_7","0","BG314","2009","perc","8.1"
"r_7","0","BG314","2010","perc","12.8"
"r_7","0","BG314","2011","perc","12"
"r_7","0","BG314","2012","perc","10.3"
"r_7","0","BG314","2013","perc","12.1"
"r_7","0","BG314","2014","perc","9"
"r_7","0","BG314","2015","perc","9.2"
"r_7","0","BG314","2016","perc","10.3"
"r_7","0","BG314","2017","perc","10.5"
"r_7","0","BG32","2003","perc","15.2"
"r_7","0","BG32","2004","perc","14.1"
"r_7","0","BG32","2005","perc","12.5"
"r_7","0","BG32","2006","perc","13.5"
"r_7","0","BG32","2007","perc","10.7"
"r_7","0","BG32","2008","perc","8.5"
"r_7","0","BG32","2009","perc","8.4"
"r_7","0","BG32","2010","perc","11.6"
"r_7","0","BG32","2011","perc","12.8"
"r_7","0","BG32","2012","perc","14.3"
"r_7","0","BG32","2013","perc","15.3"
"r_7","0","BG32","2014","perc","13.2"
"r_7","0","BG32","2015","perc","10.6"
"r_7","0","BG32","2016","perc","9.3"
"r_7","0","BG32","2017","perc","6.9"
"r_7","0","BG321","2003","perc","11.5"
"r_7","0","BG321","2004","perc","8.4"
"r_7","0","BG321","2005","perc","12"
"r_7","0","BG321","2006","perc","11.7"
"r_7","0","BG321","2007","perc","6.5"
"r_7","0","BG321","2008","perc","7.8"
"r_7","0","BG321","2009","perc","9"
"r_7","0","BG321","2010","perc","13.2"
"r_7","0","BG321","2011","perc","11.7"
"r_7","0","BG321","2012","perc","13.8"
"r_7","0","BG321","2013","perc","16.2"
"r_7","0","BG321","2014","perc","11.7"
"r_7","0","BG321","2015","perc","6.8"
"r_7","0","BG321","2016","perc","7.6"
"r_7","0","BG321","2017","perc","4.6"
"r_7","0","BG322","2003","perc","11.3"
"r_7","0","BG322","2004","perc","(8.9)"
"r_7","0","BG322","2005","perc","(3.3)"
"r_7","0","BG322","2006","perc","3.7"
"r_7","0","BG322","2007","perc","(1.2)"
"r_7","0","BG322","2008","perc","(2.0)"
"r_7","0","BG322","2009","perc","(4.4)"
"r_7","0","BG322","2010","perc","7.8"
"r_7","0","BG322","2011","perc","9.9"
"r_7","0","BG322","2012","perc","9.6"
"r_7","0","BG322","2013","perc","8.8"
"r_7","0","BG322","2014","perc","8.1"
"r_7","0","BG322","2015","perc","7.5"
"r_7","0","BG322","2016","perc","(6.2)"
"r_7","0","BG322","2017","perc","(5.1)"
"r_7","0","BG324","2003","perc","17.2"
"r_7","0","BG324","2004","perc","19"
"r_7","0","BG324","2005","perc","19.1"
"r_7","0","BG324","2006","perc","21.7"
"r_7","0","BG324","2007","perc","23.5"
"r_7","0","BG324","2008","perc","14.9"
"r_7","0","BG324","2009","perc","18.1"
"r_7","0","BG324","2010","perc","22.7"
"r_7","0","BG324","2011","perc","20.3"
"r_7","0","BG324","2012","perc","21.4"
"r_7","0","BG324","2013","perc","20.7"
"r_7","0","BG324","2014","perc","17.7"
"r_7","0","BG324","2015","perc","15"
"r_7","0","BG324","2016","perc","14.3"
"r_7","0","BG324","2017","perc","11"
"r_7","0","BG323","2003","perc","20.2"
"r_7","0","BG323","2004","perc","18.1"
"r_7","0","BG323","2005","perc","12.2"
"r_7","0","BG323","2006","perc","15.3"
"r_7","0","BG323","2007","perc","11.4"
"r_7","0","BG323","2008","perc","8.3"
"r_7","0","BG323","2009","perc","5.4"
"r_7","0","BG323","2010","perc","6.5"
"r_7","0","BG323","2011","perc","11.6"
"r_7","0","BG323","2012","perc","12.9"
"r_7","0","BG323","2013","perc","12.5"
"r_7","0","BG323","2014","perc","10.8"
