RevisionColumn,periods,Units,Indicators,ValueColumn
"r_3","2006","1000BGN","3.1.2.5.1.2.1","195170"
"r_3","2007","1000BGN","3.1.2.5.1.2.1","1048946"
"r_3","2008","1000BGN","3.1.2.5.1.2.1","942867"
"r_3","2009","1000BGN","3.1.2.5.1.2.1","727437"
"r_3","2010","1000BGN","3.1.2.5.1.2.1","741867"
"r_3","2011","1000BGN","3.1.2.5.1.2.1","926079"
"r_3","2012","1000BGN","3.1.2.5.1.2.1","710520"
"r_3","2013","1000BGN","3.1.2.5.1.2.1","737781"
"r_3","2014","1000BGN","3.1.2.5.1.2.1","831474"
"r_3","2015","1000BGN","3.1.2.5.1.2.1","968578"
"r_3","2016","1000BGN","3.1.2.5.1.2.1","996572"
"r_3","2017","1000BGN","3.1.2.5.1.2.1","1549579"
"r_3","2018","1000BGN","3.1.2.5.1.2.1","1512720"
"r_3","2019","1000BGN","3.1.2.5.1.2.1","1282316"
"r_3","2020","1000BGN","3.1.2.5.1.2.1","2106672"
"r_3","2005","1000BGN","3.1.2.5.1.2.1.1","106470"
"r_3","2006","1000BGN","3.1.2.5.1.2.1.1","174292"
"r_3","2007","1000BGN","3.1.2.5.1.2.1.1","896509"
"r_3","2008","1000BGN","3.1.2.5.1.2.1.1","885385"
"r_3","2009","1000BGN","3.1.2.5.1.2.1.1","660225"
"r_3","2010","1000BGN","3.1.2.5.1.2.1.1","606793"
"r_3","2011","1000BGN","3.1.2.5.1.2.1.1","653820"
"r_3","2012","1000BGN","3.1.2.5.1.2.1.1","554455"
"r_3","2013","1000BGN","3.1.2.5.1.2.1.1","592716"
"r_3","2014","1000BGN","3.1.2.5.1.2.1.1","659481"
"r_3","2015","1000BGN","3.1.2.5.1.2.1.1","858272"
"r_3","2016","1000BGN","3.1.2.5.1.2.1.1","875489"
"r_3","2017","1000BGN","3.1.2.5.1.2.1.1","1398769"
"r_3","2018","1000BGN","3.1.2.5.1.2.1.1","1357550"
"r_3","2019","1000BGN","3.1.2.5.1.2.1.1","1147489"
"r_3","2020","1000BGN","3.1.2.5.1.2.1.1","1986397"
"r_3","2005","1000BGN","3.1.2.5.1.2.1.2","6867"
"r_3","2006","1000BGN","3.1.2.5.1.2.1.2","20878"
"r_3","2007","1000BGN","3.1.2.5.1.2.1.2","152437"
"r_3","2008","1000BGN","3.1.2.5.1.2.1.2","57482"
"r_3","2009","1000BGN","3.1.2.5.1.2.1.2","67212"
"r_3","2010","1000BGN","3.1.2.5.1.2.1.2","135074"
"r_3","2011","1000BGN","3.1.2.5.1.2.1.2","272259"
"r_3","2012","1000BGN","3.1.2.5.1.2.1.2","156065"
"r_3","2013","1000BGN","3.1.2.5.1.2.1.2","145065"
"r_3","2014","1000BGN","3.1.2.5.1.2.1.2","171993"
"r_3","2015","1000BGN","3.1.2.5.1.2.1.2","110306"
