RevisionColumn,NUTS,Units,periods,GenderID,ValueColumn
"r_2","BG31","1000cp","2010Q3","1","160.1"
"r_2","BG31","1000cp","2010Q3","2","142"
"r_2","BG31","1000cp","2010Q4","0","301.8"
"r_2","BG31","1000cp","2010Q4","1","156.9"
"r_2","BG31","1000cp","2010Q4","2","144.9"
"r_2","BG31","1000cp","2011Q1","0","284.8"
"r_2","BG31","1000cp","2011Q1","1","149.1"
"r_2","BG31","1000cp","2011Q1","2","135.7"
"r_2","BG31","1000cp","2011Q2","0","284.7"
"r_2","BG31","1000cp","2011Q2","1","150.5"
"r_2","BG31","1000cp","2011Q2","2","134.2"
"r_2","BG31","1000cp","2011Q3","0","292.1"
"r_2","BG31","1000cp","2011Q3","1","157"
"r_2","BG31","1000cp","2011Q3","2","135.1"
"r_2","BG31","1000cp","2011Q4","0","298.2"
"r_2","BG31","1000cp","2011Q4","1","159.7"
"r_2","BG31","1000cp","2011Q4","2","138.5"
"r_2","BG31","1000cp","2012Q1","0","284.6"
"r_2","BG31","1000cp","2012Q1","1","149.4"
"r_2","BG31","1000cp","2012Q1","2","135.2"
"r_2","BG31","1000cp","2012Q2","0","270.9"
"r_2","BG31","1000cp","2012Q2","1","143.6"
"r_2","BG31","1000cp","2012Q2","2","127.2"
"r_2","BG31","1000cp","2012Q3","0","281.4"
"r_2","BG31","1000cp","2012Q3","1","152.9"
"r_2","BG31","1000cp","2012Q3","2","128.5"
"r_2","BG31","1000cp","2012Q4","0","290.6"
"r_2","BG31","1000cp","2012Q4","1","154.9"
"r_2","BG31","1000cp","2012Q4","2","135.8"
"r_2","BG31","1000cp","2013Q1","0","279.1"
"r_2","BG31","1000cp","2013Q1","1","146.6"
"r_2","BG31","1000cp","2013Q1","2","132.5"
"r_2","BG31","1000cp","2013Q2","0","273.2"
"r_2","BG31","1000cp","2013Q2","1","143.2"
"r_2","BG31","1000cp","2013Q2","2","130.1"
"r_2","BG31","1000cp","2013Q3","0","288.5"
"r_2","BG31","1000cp","2013Q3","1","149.9"
"r_2","BG31","1000cp","2013Q3","2","138.6"
"r_2","BG31","1000cp","2013Q4","0","280.9"
"r_2","BG31","1000cp","2013Q4","1","151.5"
"r_2","BG31","1000cp","2013Q4","2","129.3"
"r_2","BG31","1000cp","2014Q1","0","270.2"
"r_2","BG31","1000cp","2014Q1","1","144.2"
"r_2","BG31","1000cp","2014Q1","2","126"
"r_2","BG31","1000cp","2014Q2","0","270.9"
"r_2","BG31","1000cp","2014Q2","1","136.3"
"r_2","BG31","1000cp","2014Q2","2","134.6"
"r_2","BG31","1000cp","2014Q3","0","281.9"
"r_2","BG31","1000cp","2014Q3","1","142.7"
"r_2","BG31","1000cp","2014Q3","2","139.3"
"r_2","BG31","1000cp","2014Q4","0","277.3"
"r_2","BG31","1000cp","2014Q4","1","145.2"
"r_2","BG31","1000cp","2014Q4","2","132"
"r_2","BG31","1000cp","2015Q1","0","265.1"
"r_2","BG31","1000cp","2015Q1","1","140.3"
"r_2","BG31","1000cp","2015Q1","2","124.8"
"r_2","BG31","1000cp","2015Q2","0","275"
"r_2","BG31","1000cp","2015Q2","1","144.3"
"r_2","BG31","1000cp","2015Q2","2","130.7"
"r_2","BG31","1000cp","2015Q3","0","281.9"
"r_2","BG31","1000cp","2015Q3","1","146.7"
"r_2","BG31","1000cp","2015Q3","2","135.3"
"r_2","BG31","1000cp","2015Q4","0","271.6"
"r_2","BG31","1000cp","2015Q4","1","144.6"
"r_2","BG31","1000cp","2015Q4","2","126.9"
"r_2","BG311","1000cp","2003Q1","0","30.4"
"r_2","BG311","1000cp","2003Q1","1","15.2"
"r_2","BG311","1000cp","2003Q1","2","15.2"
"r_2","BG311","1000cp","2003Q2","0","34.8"
"r_2","BG311","1000cp","2003Q2","1","17.5"
"r_2","BG311","1000cp","2003Q2","2","17.2"
"r_2","BG311","1000cp","2003Q3","0","35.7"
"r_2","BG311","1000cp","2003Q3","1","17.7"
"r_2","BG311","1000cp","2003Q3","2","18"
"r_2","BG311","1000cp","2003Q4","0","32.1"
"r_2","BG311","1000cp","2003Q4","1","16.6"
"r_2","BG311","1000cp","2003Q4","2","15.5"
"r_2","BG311","1000cp","2004Q1","0","33.1"
"r_2","BG311","1000cp","2004Q1","1","17.1"
"r_2","BG311","1000cp","2004Q1","2","16"
"r_2","BG311","1000cp","2004Q2","0","33.6"
"r_2","BG311","1000cp","2004Q2","1","16.8"
"r_2","BG311","1000cp","2004Q2","2","16.7"
"r_2","BG311","1000cp","2004Q3","0","31.4"
"r_2","BG311","1000cp","2004Q3","1","15.3"
"r_2","BG311","1000cp","2004Q3","2","16.1"
"r_2","BG311","1000cp","2004Q4","0","30.2"
"r_2","BG311","1000cp","2004Q4","1","15.4"
"r_2","BG311","1000cp","2004Q4","2","14.8"
"r_2","BG311","1000cp","2005Q1","0","29.2"
"r_2","BG311","1000cp","2005Q1","1","15.3"
"r_2","BG311","1000cp","2005Q1","2","13.9"
"r_2","BG311","1000cp","2005Q2","0","32.6"
"r_2","BG311","1000cp","2005Q2","1","17.2"
"r_2","BG311","1000cp","2005Q2","2","15.4"
"r_2","BG311","1000cp","2005Q3","0","32.3"
"r_2","BG311","1000cp","2005Q3","1","15.3"
"r_2","BG311","1000cp","2005Q3","2","17.1"
"r_2","BG311","1000cp","2005Q4","0","30"
"r_2","BG311","1000cp","2005Q4","1","16.7"
"r_2","BG311","1000cp","2005Q4","2","13.3"
"r_2","BG311","1000cp","2006Q1","0","29.5"
"r_2","BG311","1000cp","2006Q1","1","15.4"
"r_2","BG311","1000cp","2006Q1","2","14.1"
"r_2","BG311","1000cp","2006Q2","0","33.5"
"r_2","BG311","1000cp","2006Q2","1","16.4"
"r_2","BG311","1000cp","2006Q2","2","17.1"
"r_2","BG311","1000cp","2006Q3","0","34.7"
"r_2","BG311","1000cp","2006Q3","1","19.3"
"r_2","BG311","1000cp","2006Q3","2","15.4"
"r_2","BG311","1000cp","2006Q4","0","36.3"
"r_2","BG311","1000cp","2006Q4","1","19.9"
"r_2","BG311","1000cp","2006Q4","2","16.4"
"r_2","BG311","1000cp","2007Q1","0","33.4"
"r_2","BG311","1000cp","2007Q1","1","17.2"
"r_2","BG311","1000cp","2007Q1","2","16.3"
"r_2","BG311","1000cp","2007Q2","0","37.4"
"r_2","BG311","1000cp","2007Q2","1","18.4"
"r_2","BG311","1000cp","2007Q2","2","19"
"r_2","BG311","1000cp","2007Q3","0","40.5"
"r_2","BG311","1000cp","2007Q3","1","20.8"
"r_2","BG311","1000cp","2007Q3","2","19.8"
"r_2","BG311","1000cp","2007Q4","0","38.5"
"r_2","BG311","1000cp","2007Q4","1","20.6"
"r_2","BG311","1000cp","2007Q4","2","17.9"
"r_2","BG311","1000cp","2008Q1","0","37.6"
"r_2","BG311","1000cp","2008Q1","1","20.1"
"r_2","BG311","1000cp","2008Q1","2","17.5"
"r_2","BG311","1000cp","2008Q2","0","37.2"
"r_2","BG311","1000cp","2008Q2","1","19.4"
"r_2","BG311","1000cp","2008Q2","2","17.8"
"r_2","BG311","1000cp","2008Q3","0","40"
"r_2","BG311","1000cp","2008Q3","1","20.4"
"r_2","BG311","1000cp","2008Q3","2","19.6"
"r_2","BG311","1000cp","2008Q4","0","38.1"
"r_2","BG311","1000cp","2008Q4","1","19.9"
"r_2","BG311","1000cp","2008Q4","2","18.2"
"r_2","BG311","1000cp","2009Q1","0","34.3"
"r_2","BG311","1000cp","2009Q1","1","18.9"
"r_2","BG311","1000cp","2009Q1","2","15.4"
"r_2","BG311","1000cp","2009Q2","0","34.4"
"r_2","BG311","1000cp","2009Q2","1","19.1"
"r_2","BG311","1000cp","2009Q2","2","15.3"
"r_2","BG311","1000cp","2009Q3","0","34.8"
"r_2","BG311","1000cp","2009Q3","1","18.1"
"r_2","BG311","1000cp","2009Q3","2","16.7"
"r_2","BG311","1000cp","2009Q4","0","36.2"
"r_2","BG311","1000cp","2009Q4","1","19"
"r_2","BG311","1000cp","2009Q4","2","17.2"
"r_2","BG311","1000cp","2010Q1","0","32.6"
"r_2","BG311","1000cp","2010Q1","1","17.5"
"r_2","BG311","1000cp","2010Q1","2","15.1"
"r_2","BG311","1000cp","2010Q2","0","32"
"r_2","BG311","1000cp","2010Q2","1","18.5"
"r_2","BG311","1000cp","2010Q2","2","13.4"
"r_2","BG311","1000cp","2010Q3","0","32.3"
"r_2","BG311","1000cp","2010Q3","1","17.6"
"r_2","BG311","1000cp","2010Q3","2","14.7"
"r_2","BG311","1000cp","2010Q4","0","33.2"
"r_2","BG311","1000cp","2010Q4","1","16.5"
"r_2","BG311","1000cp","2010Q4","2","16.7"
"r_2","BG311","1000cp","2011Q1","0","32.7"
"r_2","BG311","1000cp","2011Q1","1","17"
"r_2","BG311","1000cp","2011Q1","2","15.7"
"r_2","BG311","1000cp","2011Q2","0","29.7"
"r_2","BG311","1000cp","2011Q2","1","16.3"
"r_2","BG311","1000cp","2011Q2","2","13.4"
