RevisionColumn,periods,Indicators,Units,Countries_TOUR,ValueColumn
"r_3","2015X","3.5.2.1.2","num","NO","619"
"r_3","2015X","3.5.2.2.2","num","RU","9675"
"r_3","2015X","3.5.2.1.2","num","RU","3257"
"r_3","2015X","3.5.2.2.2","num","RS","3859"
"r_3","2015X","3.5.2.1.2","num","RS","2089"
"r_3","2015X","3.5.2.2.2","num","TR","13939"
"r_3","2015X","3.5.2.1.2","num","TR","9056"
"r_3","2015X","3.5.2.2.2","num","UA","5301"
"r_3","2015X","3.5.2.1.2","num","UA","2571"
"r_3","2015X","3.5.2.2.2","num","CH","2356"
"r_3","2015X","3.5.2.1.2","num","CH","1075"
"r_3","2015X","3.5.2.2.2","num","OTH","34439"
"r_3","2015X","3.5.2.1.2","num","OTH","14407"
"r_3","2015X","3.5.2.2.2","num","IL","22260"
"r_3","2015X","3.5.2.1.2","num","IL","7807"
"r_3","2015X","3.5.2.2.2","num","US","9191"
"r_3","2015X","3.5.2.1.2","num","US","4675"
"r_3","2015X","3.5.2.2.2","num","JP","2988"
"r_3","2015X","3.5.2.1.2","num","JP","1925"
"r_3","2015X","3.5.2.2.2","num","RoW","30332"
"r_3","2015X","3.5.2.1.2","num","RoW","16082"
"r_4","2015XI","3.5.2.2.2","num","total","164360"
"r_4","2015XI","3.5.2.1.2","num","total","81365"
"r_4","2015XI","3.5.2.2.2","num","EU","87014"
"r_4","2015XI","3.5.2.1.2","num","EU","44004"
"r_4","2015XI","3.5.2.2.2","num","AT","2549"
"r_4","2015XI","3.5.2.1.2","num","AT","1593"
"r_4","2015XI","3.5.2.2.2","num","BE","2235"
"r_4","2015XI","3.5.2.1.2","num","BE","1220"
"r_4","2015XI","3.5.2.2.2","num","DE","10412"
"r_4","2015XI","3.5.2.1.2","num","DE","5374"
"r_4","2015XI","3.5.2.2.2","num","GR","13725"
"r_4","2015XI","3.5.2.1.2","num","GR","7874"
"r_4","2015XI","3.5.2.2.2","num","DK","653"
"r_4","2015XI","3.5.2.1.2","num","DK","297"
"r_4","2015XI","3.5.2.2.2","num","EE","374"
