RevisionColumn,periods,Units,GenderID,NUTS,ValueColumn
"r_2","2005Q1","1000cp","1","BG","200.2"
"r_2","2005Q1","1000cp","2","BG","162.1"
"r_2","2005Q1","1000cp","0","BG31","42.1"
"r_2","2005Q1","1000cp","1","BG31","23.9"
"r_2","2005Q1","1000cp","2","BG31","18.3"
"r_2","2005Q1","1000cp","0","BG32","44.2"
"r_2","2005Q1","1000cp","1","BG32","27.5"
"r_2","2005Q1","1000cp","2","BG32","16.7"
"r_2","2005Q1","1000cp","0","BG33","68.4"
"r_2","2005Q1","1000cp","1","BG33","33.3"
"r_2","2005Q1","1000cp","2","BG33","35.1"
"r_2","2005Q1","1000cp","0","BG34","45.7"
"r_2","2005Q1","1000cp","1","BG34","24.6"
"r_2","2005Q1","1000cp","2","BG34","21.1"
"r_2","2005Q1","1000cp","0","BG41","80.7"
"r_2","2005Q1","1000cp","1","BG41","44.7"
"r_2","2005Q1","1000cp","2","BG41","36"
"r_2","2005Q1","1000cp","0","BG42","81.2"
"r_2","2005Q1","1000cp","1","BG42","46.1"
"r_2","2005Q1","1000cp","2","BG42","35"
"r_2","2005Q2","1000cp","0","BG","332.9"
"r_2","2005Q2","1000cp","1","BG","183.8"
"r_2","2005Q2","1000cp","2","BG","149.1"
"r_2","2005Q2","1000cp","0","BG31","41.5"
"r_2","2005Q2","1000cp","1","BG31","23"
"r_2","2005Q2","1000cp","2","BG31","18.6"
"r_2","2005Q2","1000cp","0","BG32","50.3"
"r_2","2005Q2","1000cp","1","BG32","31.1"
"r_2","2005Q2","1000cp","2","BG32","19.2"
"r_2","2005Q2","1000cp","0","BG33","51.2"
"r_2","2005Q2","1000cp","1","BG33","25.2"
"r_2","2005Q2","1000cp","2","BG33","26"
"r_2","2005Q2","1000cp","0","BG34","41.6"
"r_2","2005Q2","1000cp","1","BG34","21.2"
"r_2","2005Q2","1000cp","2","BG34","20.4"
"r_2","2005Q2","1000cp","0","BG41","78.8"
"r_2","2005Q2","1000cp","1","BG41","43.5"
"r_2","2005Q2","1000cp","2","BG41","35.3"
"r_2","2005Q2","1000cp","0","BG42","69.4"
"r_2","2005Q2","1000cp","1","BG42","39.8"
"r_2","2005Q2","1000cp","2","BG42","29.6"
"r_2","2005Q3","1000cp","0","BG","312.9"
"r_2","2005Q3","1000cp","1","BG","167.8"
"r_2","2005Q3","1000cp","2","BG","145.1"
"r_2","2005Q3","1000cp","0","BG31","47.6"
"r_2","2005Q3","1000cp","1","BG31","27.1"
"r_2","2005Q3","1000cp","2","BG31","20.5"
"r_2","2005Q3","1000cp","0","BG32","50.2"
"r_2","2005Q3","1000cp","1","BG32","27.8"
"r_2","2005Q3","1000cp","2","BG32","22.4"
"r_2","2005Q3","1000cp","0","BG33","47.4"
"r_2","2005Q3","1000cp","1","BG33","22"
"r_2","2005Q3","1000cp","2","BG33","25.4"
"r_2","2005Q3","1000cp","0","BG34","28.6"
"r_2","2005Q3","1000cp","1","BG34","13.4"
"r_2","2005Q3","1000cp","2","BG34","15.2"
"r_2","2005Q3","1000cp","0","BG41","71.5"
"r_2","2005Q3","1000cp","1","BG41","39.4"
"r_2","2005Q3","1000cp","2","BG41","32.1"
"r_2","2005Q3","1000cp","0","BG42","67.7"
"r_2","2005Q3","1000cp","1","BG42","38.1"
"r_2","2005Q3","1000cp","2","BG42","29.6"
"r_2","2005Q4","1000cp","0","BG","328.5"
"r_2","2005Q4","1000cp","1","BG","179"
"r_2","2005Q4","1000cp","2","BG","149.5"
"r_2","2005Q4","1000cp","0","BG31","49.6"
"r_2","2005Q4","1000cp","1","BG31","25.6"
"r_2","2005Q4","1000cp","2","BG31","24"
"r_2","2005Q4","1000cp","0","BG32","51.8"
"r_2","2005Q4","1000cp","1","BG32","29.2"
"r_2","2005Q4","1000cp","2","BG32","22.6"
"r_2","2005Q4","1000cp","0","BG33","46.7"
"r_2","2005Q4","1000cp","1","BG33","23.5"
"r_2","2005Q4","1000cp","2","BG33","23.2"
"r_2","2005Q4","1000cp","0","BG34","38.8"
"r_2","2005Q4","1000cp","1","BG34","22.6"
"r_2","2005Q4","1000cp","2","BG34","16.2"
"r_2","2005Q4","1000cp","0","BG41","70"
"r_2","2005Q4","1000cp","1","BG41","39.9"
"r_2","2005Q4","1000cp","2","BG41","30.1"
"r_2","2005Q4","1000cp","0","BG42","71.6"
"r_2","2005Q4","1000cp","1","BG42","38.2"
"r_2","2005Q4","1000cp","2","BG42","33.4"
"r_2","2006Q1","1000cp","0","BG","315.2"
"r_2","2006Q1","1000cp","1","BG","164.7"
"r_2","2006Q1","1000cp","2","BG","150.6"
"r_2","2006Q1","1000cp","0","BG31","41.5"
"r_2","2006Q1","1000cp","1","BG31","19.4"
"r_2","2006Q1","1000cp","2","BG31","22.1"
"r_2","2006Q1","1000cp","0","BG32","48.6"
"r_2","2006Q1","1000cp","1","BG32","26.8"
"r_2","2006Q1","1000cp","2","BG32","21.8"
"r_2","2006Q1","1000cp","0","BG33","49.4"
"r_2","2006Q1","1000cp","1","BG33","25.3"
"r_2","2006Q1","1000cp","2","BG33","24.1"
"r_2","2006Q1","1000cp","0","BG34","41.4"
"r_2","2006Q1","1000cp","1","BG34","20.9"
"r_2","2006Q1","1000cp","2","BG34","20.6"
"r_2","2006Q1","1000cp","0","BG41","73.5"
"r_2","2006Q1","1000cp","1","BG41","41"
"r_2","2006Q1","1000cp","2","BG41","32.4"
"r_2","2006Q1","1000cp","0","BG42","60.7"
"r_2","2006Q1","1000cp","1","BG42","31.2"
"r_2","2006Q1","1000cp","2","BG42","29.5"
"r_2","2006Q2","1000cp","0","BG","308.9"
"r_2","2006Q2","1000cp","1","BG","159.3"
"r_2","2006Q2","1000cp","2","BG","149.6"
"r_2","2006Q2","1000cp","0","BG31","37.9"
"r_2","2006Q2","1000cp","1","BG31","22.7"
"r_2","2006Q2","1000cp","2","BG31","15.2"
"r_2","2006Q2","1000cp","0","BG32","55.3"
"r_2","2006Q2","1000cp","1","BG32","27.8"
"r_2","2006Q2","1000cp","2","BG32","27.4"
"r_2","2006Q2","1000cp","0","BG33","49.2"
"r_2","2006Q2","1000cp","1","BG33","21.9"
"r_2","2006Q2","1000cp","2","BG33","27.4"
"r_2","2006Q2","1000cp","0","BG34","40.1"
"r_2","2006Q2","1000cp","1","BG34","19.3"
"r_2","2006Q2","1000cp","2","BG34","20.8"
"r_2","2006Q2","1000cp","0","BG41","68.4"
"r_2","2006Q2","1000cp","1","BG41","38.6"
"r_2","2006Q2","1000cp","2","BG41","29.8"
"r_2","2006Q2","1000cp","0","BG42","58.1"
"r_2","2006Q2","1000cp","1","BG42","29"
"r_2","2006Q2","1000cp","2","BG42","29"
"r_2","2006Q3","1000cp","0","BG","310.4"
"r_2","2006Q3","1000cp","1","BG","153.8"
"r_2","2006Q3","1000cp","2","BG","156.7"
"r_2","2006Q3","1000cp","0","BG31","42.2"
"r_2","2006Q3","1000cp","1","BG31","21"
"r_2","2006Q3","1000cp","2","BG31","21.3"
"r_2","2006Q3","1000cp","0","BG32","58.8"
"r_2","2006Q3","1000cp","1","BG32","28"
"r_2","2006Q3","1000cp","2","BG32","30.9"
"r_2","2006Q3","1000cp","0","BG33","54.1"
"r_2","2006Q3","1000cp","1","BG33","25.7"
"r_2","2006Q3","1000cp","2","BG33","28.4"
"r_2","2006Q3","1000cp","0","BG34","34.6"
"r_2","2006Q3","1000cp","1","BG34","16.8"
"r_2","2006Q3","1000cp","2","BG34","17.8"
"r_2","2006Q3","1000cp","0","BG41","71.8"
"r_2","2006Q3","1000cp","1","BG41","38.2"
"r_2","2006Q3","1000cp","2","BG41","33.6"
"r_2","2006Q3","1000cp","0","BG42","49"
"r_2","2006Q3","1000cp","1","BG42","24.1"
"r_2","2006Q3","1000cp","2","BG42","24.8"
"r_2","2006Q4","1000cp","0","BG","288.4"
"r_2","2006Q4","1000cp","1","BG","147.8"
"r_2","2006Q4","1000cp","2","BG","140.6"
"r_2","2006Q4","1000cp","0","BG31","40.7"
"r_2","2006Q4","1000cp","1","BG31","20.4"
"r_2","2006Q4","1000cp","2","BG31","20.4"
"r_2","2006Q4","1000cp","0","BG32","56.4"
"r_2","2006Q4","1000cp","1","BG32","28.8"
"r_2","2006Q4","1000cp","2","BG32","27.6"
"r_2","2006Q4","1000cp","0","BG33","46.7"
"r_2","2006Q4","1000cp","1","BG33","23.7"
"r_2","2006Q4","1000cp","2","BG33","22.9"
"r_2","2006Q4","1000cp","0","BG34","40.5"
"r_2","2006Q4","1000cp","1","BG34","21.2"
"r_2","2006Q4","1000cp","2","BG34","19.3"
"r_2","2006Q4","1000cp","0","BG41","55.4"
"r_2","2006Q4","1000cp","1","BG41","28"
"r_2","2006Q4","1000cp","2","BG41","27.4"
"r_2","2006Q4","1000cp","0","BG42","48.7"
"r_2","2006Q4","1000cp","1","BG42","25.7"
"r_2","2006Q4","1000cp","2","BG42","23.1"
"r_2","2007Q1","1000cp","0","BG","272.7"
"r_2","2007Q1","1000cp","1","BG","138.5"
"r_2","2007Q1","1000cp","2","BG","134.2"
"r_2","2007Q1","1000cp","0","BG31","35"
"r_2","2007Q1","1000cp","1","BG31","20.4"
"r_2","2007Q1","1000cp","2","BG31","14.6"
"r_2","2007Q1","1000cp","0","BG32","51.5"
"r_2","2007Q1","1000cp","1","BG32","29.3"
"r_2","2007Q1","1000cp","2","BG32","22.2"
"r_2","2007Q1","1000cp","0","BG33","58.7"
"r_2","2007Q1","1000cp","1","BG33","27.4"
"r_2","2007Q1","1000cp","2","BG33","31.3"
"r_2","2007Q1","1000cp","0","BG34","34.9"
"r_2","2007Q1","1000cp","1","BG34","17.7"
"r_2","2007Q1","1000cp","2","BG34","17.1"
"r_2","2007Q1","1000cp","0","BG41","43.9"
"r_2","2007Q1","1000cp","1","BG41","18.9"
"r_2","2007Q1","1000cp","2","BG41","25"
"r_2","2007Q1","1000cp","0","BG42","48.7"
"r_2","2007Q1","1000cp","1","BG42","24.7"
"r_2","2007Q1","1000cp","2","BG42","24"
"r_2","2007Q2","1000cp","0","BG","237.8"
"r_2","2007Q2","1000cp","1","BG","125.3"
"r_2","2007Q2","1000cp","2","BG","112.6"
"r_2","2007Q2","1000cp","0","BG31","31.1"
"r_2","2007Q2","1000cp","1","BG31","17.4"
"r_2","2007Q2","1000cp","2","BG31","13.6"
"r_2","2007Q2","1000cp","0","BG32","42.2"
"r_2","2007Q2","1000cp","1","BG32","24.7"
"r_2","2007Q2","1000cp","2","BG32","17.5"
"r_2","2007Q2","1000cp","0","BG33","54"
"r_2","2007Q2","1000cp","1","BG33","26.1"
"r_2","2007Q2","1000cp","2","BG33","27.8"
"r_2","2007Q2","1000cp","0","BG34","29.1"
"r_2","2007Q2","1000cp","1","BG34","16"
"r_2","2007Q2","1000cp","2","BG34","13"
"r_2","2007Q2","1000cp","0","BG41","45.3"
"r_2","2007Q2","1000cp","1","BG41","25"
"r_2","2007Q2","1000cp","2","BG41","20.3"
"r_2","2007Q2","1000cp","0","BG42","36.3"
"r_2","2007Q2","1000cp","1","BG42","16"
"r_2","2007Q2","1000cp","2","BG42","20.2"
"r_2","2007Q3","1000cp","0","BG","235.1"
"r_2","2007Q3","1000cp","1","BG","113.5"
"r_2","2007Q3","1000cp","2","BG","121.6"
"r_2","2007Q3","1000cp","0","BG31","34.7"
"r_2","2007Q3","1000cp","1","BG31","15.7"
"r_2","2007Q3","1000cp","2","BG31","19.1"
"r_2","2007Q3","1000cp","0","BG32","43.1"
"r_2","2007Q3","1000cp","1","BG32","23"
"r_2","2007Q3","1000cp","2","BG32","20.1"
"r_2","2007Q3","1000cp","0","BG33","47.6"
"r_2","2007Q3","1000cp","1","BG33","20.4"
"r_2","2007Q3","1000cp","2","BG33","27.3"
"r_2","2007Q3","1000cp","0","BG34","33.5"
"r_2","2007Q3","1000cp","1","BG34","16.9"
"r_2","2007Q3","1000cp","2","BG34","16.7"
"r_2","2007Q3","1000cp","0","BG41","41.5"
"r_2","2007Q3","1000cp","1","BG41","22.5"
"r_2","2007Q3","1000cp","2","BG41","19.1"
"r_2","2007Q3","1000cp","0","BG42","34.5"
"r_2","2007Q3","1000cp","1","BG42","15"
"r_2","2007Q3","1000cp","2","BG42","19.4"
"r_2","2007Q4","1000cp","0","BG","215.3"
"r_2","2007Q4","1000cp","1","BG","105.5"
"r_2","2007Q4","1000cp","2","BG","109.8"
"r_2","2007Q4","1000cp","0","BG31","35"
"r_2","2007Q4","1000cp","1","BG31","16.9"
"r_2","2007Q4","1000cp","2","BG31","18.2"
"r_2","2007Q4","1000cp","0","BG32","39.4"
"r_2","2007Q4","1000cp","1","BG32","22.2"
"r_2","2007Q4","1000cp","2","BG32","17.2"
"r_2","2007Q4","1000cp","0","BG33","40.7"
"r_2","2007Q4","1000cp","1","BG33","18.1"
"r_2","2007Q4","1000cp","2","BG33","22.6"
"r_2","2007Q4","1000cp","0","BG34","29.1"
"r_2","2007Q4","1000cp","1","BG34","14.9"
"r_2","2007Q4","1000cp","2","BG34","14.2"
"r_2","2007Q4","1000cp","0","BG41","38"
"r_2","2007Q4","1000cp","1","BG41","18.7"
"r_2","2007Q4","1000cp","2","BG41","19.3"
"r_2","2007Q4","1000cp","0","BG42","33.1"
"r_2","2007Q4","1000cp","1","BG42","14.7"
"r_2","2007Q4","1000cp","2","BG42","18.4"
"r_2","2008Q1","1000cp","0","BG","228.8"
"r_2","2008Q1","1000cp","1","BG","119"
"r_2","2008Q1","1000cp","2","BG","109.9"
"r_2","2008Q1","1000cp","0","BG31","30.4"
"r_2","2008Q1","1000cp","1","BG31","17.4"
"r_2","2008Q1","1000cp","2","BG31","13.1"
"r_2","2008Q1","1000cp","0","BG32","38.2"
"r_2","2008Q1","1000cp","1","BG32","21.8"
"r_2","2008Q1","1000cp","2","BG32","16.4"
"r_2","2008Q1","1000cp","0","BG33","46.2"
"r_2","2008Q1","1000cp","1","BG33","22.9"
"r_2","2008Q1","1000cp","2","BG33","23.3"
"r_2","2008Q1","1000cp","0","BG34","36.6"
"r_2","2008Q1","1000cp","1","BG34","19.5"
"r_2","2008Q1","1000cp","2","BG34","17.1"
"r_2","2008Q1","1000cp","0","BG41","37.9"
"r_2","2008Q1","1000cp","1","BG41","18.6"
"r_2","2008Q1","1000cp","2","BG41","19.3"
"r_2","2008Q1","1000cp","0","BG42","39.5"
"r_2","2008Q1","1000cp","1","BG42","18.8"
"r_2","2008Q1","1000cp","2","BG42","20.7"
"r_2","2008Q2","1000cp","0","BG","207.2"
"r_2","2008Q2","1000cp","1","BG","106.6"
"r_2","2008Q2","1000cp","2","BG","100.6"
"r_2","2008Q2","1000cp","0","BG31","26.9"
"r_2","2008Q2","1000cp","1","BG31","16.1"
"r_2","2008Q2","1000cp","2","BG31","10.7"
"r_2","2008Q2","1000cp","0","BG32","38.2"
"r_2","2008Q2","1000cp","1","BG32","20"
"r_2","2008Q2","1000cp","2","BG32","18.2"
"r_2","2008Q2","1000cp","0","BG33","45.7"
"r_2","2008Q2","1000cp","1","BG33","21.8"
"r_2","2008Q2","1000cp","2","BG33","23.9"
"r_2","2008Q2","1000cp","0","BG34","28.9"
"r_2","2008Q2","1000cp","1","BG34","16.4"
"r_2","2008Q2","1000cp","2","BG34","12.5"
"r_2","2008Q2","1000cp","0","BG41","32.9"
"r_2","2008Q2","1000cp","1","BG41","14.6"
"r_2","2008Q2","1000cp","2","BG41","18.3"
"r_2","2008Q2","1000cp","0","BG42","34.6"
"r_2","2008Q2","1000cp","1","BG42","17.6"
"r_2","2008Q2","1000cp","2","BG42","17"
"r_2","2008Q3","1000cp","0","BG","185.1"
"r_2","2008Q3","1000cp","1","BG","96.8"
"r_2","2008Q3","1000cp","2","BG","88.3"
"r_2","2008Q3","1000cp","0","BG31","26.2"
"r_2","2008Q3","1000cp","1","BG31","14.1"
"r_2","2008Q3","1000cp","2","BG31","12"
"r_2","2008Q3","1000cp","0","BG32","32.7"
"r_2","2008Q3","1000cp","1","BG32","18"
"r_2","2008Q3","1000cp","2","BG32","14.8"
"r_2","2008Q3","1000cp","0","BG33","38.5"
"r_2","2008Q3","1000cp","1","BG33","17.9"
"r_2","2008Q3","1000cp","2","BG33","20.7"
"r_2","2008Q3","1000cp","0","BG34","24.7"
