RevisionColumn,SILC_HHType,Units,periods,ValueColumn
"r_8","3","perc_pop_fig","2020","23.5"
"r_8","4","perc_pop_fig","2020","24.1"
"r_8","5","perc_pop_fig","2020","61.8"
"r_8","6","perc_pop_fig","2020","53.5"
"r_8","7","perc_pop_fig","2020","36.8"
"r_8","8","perc_pop_fig","2020","9.5"
"r_8","9","perc_pop_fig","2020","23.6"
"r_8","10","perc_pop_fig","2020","8.4"
"r_8","11","perc_pop_fig","2020","24.2"
"r_8","12","perc_pop_fig","2020","39.5"
"r_8","13","perc_pop_fig","2020","11.9"
"r_8","14","perc_pop_fig","2020","19.8"
"r_8","15","perc_pop_fig","2020","59.2"
"r_8","16","perc_pop_fig","2020","26.6"
"r_9","3","perc_pop_fig","2021","22.5"
"r_9","4","perc_pop_fig","2021","23.6"
"r_9","5","perc_pop_fig","2021","55.4"
"r_9","6","perc_pop_fig","2021","48.6"
"r_9","7","perc_pop_fig","2021","34.7"
"r_9","8","perc_pop_fig","2021","10.6"
"r_9","9","perc_pop_fig","2021","21.3"
"r_9","10","perc_pop_fig","2021","8"
"r_9","11","perc_pop_fig","2021","21.8"
"r_9","12","perc_pop_fig","2021","35.7"
"r_9","13","perc_pop_fig","2021","13.2"
"r_9","14","perc_pop_fig","2021","16.1"
"r_9","15","perc_pop_fig","2021","49.3"
"r_9","16","perc_pop_fig","2021","24.8"
"r_10","3","perc_pop_fig","2022","23.3"
"r_10","4","perc_pop_fig","2022","25.9"
"r_10","5","perc_pop_fig","2022","61.3"
"r_10","6","perc_pop_fig","2022","56.2"
"r_10","7","perc_pop_fig","2022","34.3"
"r_10","8","perc_pop_fig","2022","10.2"
"r_10","9","perc_pop_fig","2022","16.4"
"r_10","10","perc_pop_fig","2022","8.5"
"r_10","11","perc_pop_fig","2022","22.6"
"r_10","12","perc_pop_fig","2022","34.9"
"r_10","13","perc_pop_fig","2022","12.2"
"r_10","14","perc_pop_fig","2022","18.5"
"r_10","15","perc_pop_fig","2022","48.5"
"r_10","16","perc_pop_fig","2022","25.6"
"r_11","3","perc_pop_fig","2023","17.53101707222448"
"r_11","4","perc_pop_fig","2023","24.649057593912623"
"r_11","5","perc_pop_fig","2023","36.37886142694527"
"r_11","6","perc_pop_fig","2023","32.50478602319363"
"r_11","7","perc_pop_fig","2023","30.511921789965164"
"r_11","8","perc_pop_fig","2023","11.3790281806328"
"r_11","9","perc_pop_fig","2023","10.7054340040812"
"r_11","10","perc_pop_fig","2023","7.8"
"r_11","11","perc_pop_fig","2023","23.648038423528778"
