RevisionColumn,NUTS,GenderID,SILC_Age,Units,periods,ValueColumn
"r_5","BG32","0","5","1000cp","2017","68.9"
"r_5","BG32","0","5","perc_pop_fig","2017","12.3"
"r_5","BG321","0","4","1000cp","2017","19.8"
"r_5","BG321","0","4","perc_pop_fig","2017","17.5"
"r_5","BG322","0","4","1000cp","2017","3.1"
"r_5","BG322","0","4","perc_pop_fig","2017","5.4"
"r_5","BG324","0","4","1000cp","2017","10.9"
"r_5","BG324","0","4","perc_pop_fig","2017","16.4"
"r_5","BG323","0","4","1000cp","2017","13.9"
"r_5","BG323","0","4","perc_pop_fig","2017","11.1"
"r_5","BG325","0","4","1000cp","2017","5.7"
"r_5","BG325","0","4","perc_pop_fig","2017","9.1"
"r_5","BG33","0","1","1000cp","2017","21.5"
"r_5","BG33","0","1","perc_pop_fig","2017","14.3"
"r_5","BG33","0","4","1000cp","2017","59.6"
"r_5","BG33","0","4","perc_pop_fig","2017","11.9"
"r_5","BG33","0","5","1000cp","2017","81.1"
"r_5","BG33","0","5","perc_pop_fig","2017","12.4"
"r_5","BG331","0","4","1000cp","2017","25.4"
"r_5","BG331","0","4","perc_pop_fig","2017","10.7"
"r_5","BG332","0","4","1000cp","2017","2.7"
"r_5","BG332","0","4","perc_pop_fig","2017","2.7"
"r_5","BG334","0","4","1000cp","2017","10.1"
"r_5","BG334","0","4","perc_pop_fig","2017","16.5"
"r_5","BG333","0","4","1000cp","2017","21.4"
"r_5","BG333","0","4","perc_pop_fig","2017","21.1"
"r_5","BG34","0","1","1000cp","2017","31.4"
"r_5","BG34","0","1","perc_pop_fig","2017","16.6"
"r_5","BG34","0","4","1000cp","2017","59.2"
"r_5","BG34","0","4","perc_pop_fig","2017","10.2"
"r_5","BG34","0","5","1000cp","2017","90.7"
"r_5","BG34","0","5","perc_pop_fig","2017","11.8"
"r_5","BG341","0","4","1000cp","2017","21.7"
"r_5","BG341","0","4","perc_pop_fig","2017","9.4"
"r_5","BG342","0","4","1000cp","2017","17.3"
"r_5","BG342","0","4","perc_pop_fig","2017","17.7"
"r_5","BG344","0","4","1000cp","2017","17"
"r_5","BG344","0","4","perc_pop_fig","2017","9.4"
"r_5","BG343","0","4","1000cp","2017","3.2"
"r_5","BG343","0","4","perc_pop_fig","2017","4.6"
"r_5","BG41","0","1","1000cp","2017","19.2"
"r_5","BG41","0","1","perc_pop_fig","2017","5.6"
"r_5","BG41","0","4","1000cp","2017","75.9"
"r_5","BG41","0","4","perc_pop_fig","2017","6.1"
