RevisionColumn,periods,Units,GenderID,NUTS,ValueColumn
"r_2","2004Q4","perc","1","BG31","13.6"
"r_2","2004Q4","perc","2","BG31","11.2"
"r_2","2004Q4","perc","0","BG32","12.5"
"r_2","2004Q4","perc","1","BG32","13.7"
"r_2","2004Q4","perc","2","BG32","11"
"r_2","2004Q4","perc","0","BG33","15.8"
"r_2","2004Q4","perc","1","BG33","15.1"
"r_2","2004Q4","perc","2","BG33","16.5"
"r_2","2004Q4","perc","0","BG34","10"
"r_2","2004Q4","perc","1","BG34","10"
"r_2","2004Q4","perc","2","BG34","10"
"r_2","2004Q4","perc","0","BG41","9.4"
"r_2","2004Q4","perc","1","BG41","10.3"
"r_2","2004Q4","perc","2","BG41","8.4"
"r_2","2004Q4","perc","0","BG42","13.5"
"r_2","2004Q4","perc","1","BG42","14.3"
"r_2","2004Q4","perc","2","BG42","12.5"
"r_2","2005Q1","perc","0","BG","11.3"
"r_2","2005Q1","perc","1","BG","11.7"
"r_2","2005Q1","perc","2","BG","10.9"
"r_2","2005Q1","perc","0","BG31","12.5"
"r_2","2005Q1","perc","1","BG31","13.4"
"r_2","2005Q1","perc","2","BG31","11.5"
"r_2","2005Q1","perc","0","BG32","11.6"
"r_2","2005Q1","perc","1","BG32","13.4"
"r_2","2005Q1","perc","2","BG32","9.6"
"r_2","2005Q1","perc","0","BG33","15.7"
"r_2","2005Q1","perc","1","BG33","14.1"
"r_2","2005Q1","perc","2","BG33","17.6"
"r_2","2005Q1","perc","0","BG34","10.2"
"r_2","2005Q1","perc","1","BG34","9.9"
"r_2","2005Q1","perc","2","BG34","10.5"
"r_2","2005Q1","perc","0","BG41","8.3"
"r_2","2005Q1","perc","1","BG41","8.8"
"r_2","2005Q1","perc","2","BG41","7.7"
"r_2","2005Q1","perc","0","BG42","13"
"r_2","2005Q1","perc","1","BG42","13.7"
"r_2","2005Q1","perc","2","BG42","12.1"
"r_2","2005Q2","perc","0","BG","10"
"r_2","2005Q2","perc","1","BG","10.3"
"r_2","2005Q2","perc","2","BG","9.6"
"r_2","2005Q2","perc","0","BG31","11.5"
"r_2","2005Q2","perc","1","BG31","11.9"
"r_2","2005Q2","perc","2","BG31","11"
"r_2","2005Q2","perc","0","BG32","12.8"
"r_2","2005Q2","perc","1","BG32","14.7"
"r_2","2005Q2","perc","2","BG32","10.6"
"r_2","2005Q2","perc","0","BG33","11.5"
"r_2","2005Q2","perc","1","BG33","10.4"
"r_2","2005Q2","perc","2","BG33","12.9"
"r_2","2005Q2","perc","0","BG34","9"
"r_2","2005Q2","perc","1","BG34","8.3"
"r_2","2005Q2","perc","2","BG34","9.8"
"r_2","2005Q2","perc","0","BG41","7.9"
"r_2","2005Q2","perc","1","BG41","8.3"
"r_2","2005Q2","perc","2","BG41","7.5"
"r_2","2005Q2","perc","0","BG42","10.2"
"r_2","2005Q2","perc","1","BG42","11.1"
"r_2","2005Q2","perc","2","BG42","9.3"
"r_2","2005Q3","perc","0","BG","9.2"
"r_2","2005Q3","perc","1","BG","9.2"
"r_2","2005Q3","perc","2","BG","9.1"
"r_2","2005Q3","perc","0","BG31","12.6"
"r_2","2005Q3","perc","1","BG31","13.6"
"r_2","2005Q3","perc","2","BG31","11.4"
"r_2","2005Q3","perc","0","BG32","12.6"
"r_2","2005Q3","perc","1","BG32","13"
"r_2","2005Q3","perc","2","BG32","12.1"
"r_2","2005Q3","perc","0","BG33","10.4"
"r_2","2005Q3","perc","1","BG33","9"
"r_2","2005Q3","perc","2","BG33","12.1"
"r_2","2005Q3","perc","0","BG34","5.9"
"r_2","2005Q3","perc","1","BG34","5"
"r_2","2005Q3","perc","2","BG34","7"
"r_2","2005Q3","perc","0","BG41","7.1"
"r_2","2005Q3","perc","1","BG41","7.4"
"r_2","2005Q3","perc","2","BG41","6.7"
"r_2","2005Q3","perc","0","BG42","9.9"
"r_2","2005Q3","perc","1","BG42","10.3"
"r_2","2005Q3","perc","2","BG42","9.4"
"r_2","2005Q4","perc","0","BG","9.9"
"r_2","2005Q4","perc","1","BG","10.1"
"r_2","2005Q4","perc","2","BG","9.7"
"r_2","2005Q4","perc","0","BG31","13.7"
"r_2","2005Q4","perc","1","BG31","13.3"
"r_2","2005Q4","perc","2","BG31","14.1"
"r_2","2005Q4","perc","0","BG32","12.9"
"r_2","2005Q4","perc","1","BG32","13.5"
"r_2","2005Q4","perc","2","BG32","12.1"
"r_2","2005Q4","perc","0","BG33","10.7"
"r_2","2005Q4","perc","1","BG33","9.7"
"r_2","2005Q4","perc","2","BG33","11.9"
"r_2","2005Q4","perc","0","BG34","8.2"
"r_2","2005Q4","perc","1","BG34","8.5"
"r_2","2005Q4","perc","2","BG34","7.8"
"r_2","2005Q4","perc","0","BG41","7"
"r_2","2005Q4","perc","1","BG41","7.7"
"r_2","2005Q4","perc","2","BG41","6.3"
"r_2","2005Q4","perc","0","BG42","11.1"
"r_2","2005Q4","perc","1","BG42","11.2"
"r_2","2005Q4","perc","2","BG42","11.1"
"r_2","2006Q1","perc","0","BG","9.7"
"r_2","2006Q1","perc","1","BG","9.5"
"r_2","2006Q1","perc","2","BG","9.9"
"r_2","2006Q1","perc","0","BG31","12"
