RevisionColumn,LFS_LabourContract,Units,periods,ValueColumn
"r_2","1","1000cp","2016Q1","2555.8"
"r_2","2","1000cp","2016Q1","22.6"
"r_2","3","1000cp","2016Q1","43.8"
"r_3","0","1000cp","2016Q2","2669.7"
"r_3","1","1000cp","2016Q2","2578.8"
"r_3","2","1000cp","2016Q2","23.5"
"r_3","3","1000cp","2016Q2","67.4"
"r_4","0","1000cp","2016Q3","2697.3"
"r_4","1","1000cp","2016Q3","2607.2"
"r_4","2","1000cp","2016Q3","22.4"
"r_4","3","1000cp","2016Q3","67.7"
"r_5","0","1000cp","2016Q4","2662.3"
"r_5","1","1000cp","2016Q4","2594.9"
"r_5","2","1000cp","2016Q4","23"
"r_5","3","1000cp","2016Q4","44.4"
"r_6","0","1000cp","2017Q1","2679.3"
"r_6","1","1000cp","2017Q1","2612.3"
"r_6","2","1000cp","2017Q1","24.5"
"r_6","3","1000cp","2017Q1","42.5"
"r_7","0","1000cp","2017Q2","2792.4"
"r_7","1","1000cp","2017Q2","2695.8"
"r_7","2","1000cp","2017Q2","24.2"
"r_7","3","1000cp","2017Q2","72.5"
"r_8","0","1000cp","2017Q3","2839.6"
"r_8","1","1000cp","2017Q3","2735.9"
"r_8","2","1000cp","2017Q3","27.1"
"r_8","3","1000cp","2017Q3","76.5"
"r_9","0","1000cp","2017Q4","2790.4"
"r_9","1","1000cp","2017Q4","2702.2"
"r_9","2","1000cp","2017Q4","28.8"
"r_9","3","1000cp","2017Q4","59.4"
"r_10","0","1000cp","2018Q1","2733.5"
"r_10","1","1000cp","2018Q1","2656.8"
"r_10","2","1000cp","2018Q1","27.3"
"r_10","3","1000cp","2018Q1","49.5"
"r_11","0","1000cp","2018Q2","2785.6"
"r_11","1","1000cp","2018Q2","2700.8"
"r_11","2","1000cp","2018Q2","23.1"
"r_11","3","1000cp","2018Q2","61.7"
"r_12","0","1000cp","2018Q3","2831.9"
"r_12","1","1000cp","2018Q3","2729.9"
"r_12","2","1000cp","2018Q3","24.8"
"r_12","3","1000cp","2018Q3","77.1"
"r_13","0","1000cp","2018Q4","2790.6"
"r_13","1","1000cp","2018Q4","2703.4"
"r_13","2","1000cp","2018Q4","26"
"r_13","3","1000cp","2018Q4","61.2"
"r_14","0","1000cp","2019Q1","2789.8"
"r_14","1","1000cp","2019Q1","2706.6"
"r_14","2","1000cp","2019Q1","28.2"
"r_14","3","1000cp","2019Q1","55"
"r_15","0","1000cp","2019Q2","2912.6"
"r_15","1","1000cp","2019Q2","2819.8"
"r_15","2","1000cp","2019Q2","25.900000000000002"
"r_15","3","1000cp","2019Q2","67"
"r_16","0","1000cp","2019Q3","2953.3"
"r_16","1","1000cp","2019Q3","2847.4"
"r_16","2","1000cp","2019Q3","26.8"
"r_16","3","1000cp","2019Q3","79.1"
"r_17","0","1000cp","2019Q4","2876.8"
"r_17","1","1000cp","2019Q4","2784.1"
"r_17","2","1000cp","2019Q4","27.5"
"r_17","3","1000cp","2019Q4","65.2"
"r_18","0","1000cp","2020Q1","2777.4"
"r_18","1","1000cp","2020Q1","2703.3"
"r_18","2","1000cp","2020Q1","30"
"r_18","3","1000cp","2020Q1","44.1"
"r_19","0","1000cp","2020Q2","2728.7"
"r_19","1","1000cp","2020Q2","2653.1"
"r_19","2","1000cp","2020Q2","27.2"
"r_19","3","1000cp","2020Q2","48.4"
"r_20","0","1000cp","2020Q3","2818.1"
"r_20","1","1000cp","2020Q3","2723.1"
"r_20","2","1000cp","2020Q3","29"
"r_20","3","1000cp","2020Q3","66"
"r_21","0","1000cp","2020Q4","2780.1"
"r_21","1","1000cp","2020Q4","2702.9"
"r_21","2","1000cp","2020Q4","35.8"
"r_21","3","1000cp","2020Q4","41.4"
"r_30","0","1000cp","2023Q1","2590.3"
"r_30","1","1000cp","2023Q1","2537.1"
"r_30","2","1000cp","2023Q1","16.3"
"r_30","3","1000cp","2023Q1","36.9"
"r_31","0","1000cp","2023Q2","2601.08007071638"
"r_31","1","1000cp","2023Q2","2539.508170751654"
"r_31","2","1000cp","2023Q2","13.011063851853255"
"r_31","3","1000cp","2023Q2","48.56083611286863"
"r_32","0","1000cp","2023Q3","2635.2"
"r_32","1","1000cp","2023Q3","2565.5"
"r_32","2","1000cp","2023Q3","16.2"
"r_32","3","1000cp","2023Q3","53.6"
"r_33","0","1000cp","2022Q1","2562.6"
"r_33","1","1000cp","2022Q1","2501.4"
"r_33","2","1000cp","2022Q1","22.5"
"r_33","3","1000cp","2022Q1","38.7"
"r_34","0","1000cp","2022Q2","2600.2"
"r_34","1","1000cp","2022Q2","2528.8"
"r_34","2","1000cp","2022Q2","21.8"
"r_34","3","1000cp","2022Q2","49.6"
"r_35","0","1000cp","2022Q3","2651.7"
"r_35","1","1000cp","2022Q3","2570.5"
"r_35","2","1000cp","2022Q3","22"
"r_35","3","1000cp","2022Q3","59.3"
"r_36","0","1000cp","2022Q4","2631.2"
"r_36","1","1000cp","2022Q4","2561"
"r_36","2","1000cp","2022Q4","26.4"
"r_36","3","1000cp","2022Q4","43.8"
"r_37","0","1000cp","2023Q4","2576.5"
"r_37","1","1000cp","2023Q4","2518.2"
"r_37","2","1000cp","2023Q4","17.2"
"r_37","3","1000cp","2023Q4","41.1"
"r_38","0","1000cp","2024Q1","2569.6"
"r_38","1","1000cp","2024Q1","2518.7"
"r_38","2","1000cp","2024Q1","15.7"
"r_38","3","1000cp","2024Q1","35.1"
"r_39","0","1000cp","2021Q1","2542.3"
"r_39","1","1000cp","2021Q1","2478.6"
"r_39","2","1000cp","2021Q1","33.4"
"r_39","3","1000cp","2021Q1","30.4"
"r_40","0","1000cp","2021Q2","2553.7"
"r_40","1","1000cp","2021Q2","2487.2"
"r_40","2","1000cp","2021Q2","22.5"
"r_40","3","1000cp","2021Q2","44.1"
"r_41","0","1000cp","2021Q3","2590.1"
"r_41","1","1000cp","2021Q3","2520.7"
"r_41","2","1000cp","2021Q3","22.2"
"r_41","3","1000cp","2021Q3","47.1"
"r_42","0","1000cp","2021Q4","2546.9"
"r_42","1","1000cp","2021Q4","2484.9"
"r_42","2","1000cp","2021Q4","22.2"
"r_42","3","1000cp","2021Q4","39.8"
"r_43","0","1000cp","2024Q2","2587.7"
"r_43","1","1000cp","2024Q2","2535.3"
"r_43","2","1000cp","2024Q2","16.2"
"r_43","3","1000cp","2024Q2","36.3"
"r_44","0","1000cp","2024Q3","2606"
"r_44","1","1000cp","2024Q3","2550.7"
"r_44","2","1000cp","2024Q3","18.1"
"r_44","3","1000cp","2024Q3","37.2"
"r_45","0","1000cp","2024Q4","2567.6"
"r_45","1","1000cp","2024Q4","2527"
"r_45","2","1000cp","2024Q4","14.6"
"r_45","3","1000cp","2024Q4","26"
"r_46","0","1000cp","2025Q1","2549.4"
"r_46","1","1000cp","2025Q1","2512.8"
"r_46","2","1000cp","2025Q1","12.9"
"r_46","3","1000cp","2025Q1","23.7"
"r_47","0","1000cp","2025Q2","2545.9"
"r_47","1","1000cp","2025Q2","2509.6"
"r_47","2","1000cp","2025Q2","13.6"
"r_47","3","1000cp","2025Q2","22.7"
"r_48","0","1000cp","2025Q3","2558.8"
"r_48","1","1000cp","2025Q3","2506.4"
"r_48","2","1000cp","2025Q3","20.8"
"r_48","3","1000cp","2025Q3","31.5"
