RevisionColumn,periods,Units,Age10_LFS,GenderID,ValueColumn
"r_17","2004Q1","perc","15 - 64","0","13.5"
"r_17","2004Q1","perc","20 - 64","0","13.1"
"r_17","2004Q1","perc","15 - 29","0","20.5"
"r_17","2004Q1","perc","15 - 24","0","26.8"
"r_17","2004Q1","perc","25 - 34","0","14.2"
"r_17","2004Q1","perc","35 - 44","0","11.7"
"r_17","2004Q1","perc","45 - 54","0","10.9"
"r_17","2004Q1","perc","55 - 64","0","11.7"
"r_17","2004Q1","perc","65+","0","(1.4)"
"r_17","2004Q1","perc","0","1","13.8"
"r_17","2004Q1","perc","15 - 64","1","14.1"
"r_17","2004Q1","perc","20 - 64","1","13.7"
"r_17","2004Q1","perc","15 - 29","1","21.1"
"r_17","2004Q1","perc","15 - 24","1","29.7"
"r_17","2004Q1","perc","25 - 34","1","13.1"
"r_17","2004Q1","perc","35 - 44","1","12.9"
"r_17","2004Q1","perc","45 - 54","1","11.2"
"r_17","2004Q1","perc","55 - 64","1","11.8"
"r_17","2004Q1","perc","65+","1","(0.6)"
"r_17","2004Q1","perc","0","2","12.8"
"r_17","2004Q1","perc","15 - 64","2","12.9"
"r_17","2004Q1","perc","20 - 64","2","12.5"
"r_17","2004Q1","perc","15 - 29","2","19.7"
"r_17","2004Q1","perc","15 - 24","2","23.1"
"r_17","2004Q1","perc","25 - 34","2","15.5"
"r_17","2004Q1","perc","35 - 44","2","10.4"
"r_17","2004Q1","perc","45 - 54","2","10.7"
"r_17","2004Q1","perc","55 - 64","2","11.6"
"r_17","2004Q1","perc","65+","2","(3.4)"
"r_17","2004Q2","perc","0","0","12"
"r_17","2004Q2","perc","15 - 64","0","12.2"
"r_17","2004Q2","perc","20 - 64","0","11.8"
"r_17","2004Q2","perc","15 - 29","0","18.7"
"r_17","2004Q2","perc","15 - 24","0","24.5"
"r_17","2004Q2","perc","25 - 34","0","12.6"
"r_17","2004Q2","perc","35 - 44","0","10.4"
"r_17","2004Q2","perc","45 - 54","0","10.2"
"r_17","2004Q2","perc","55 - 64","0","10.2"
"r_17","2004Q2","perc","65+","0","(0.9)"
"r_17","2004Q2","perc","0","1","12.4"
"r_17","2004Q2","perc","15 - 64","1","12.6"
"r_17","2004Q2","perc","20 - 64","1","12.3"
"r_17","2004Q2","perc","15 - 29","1","19.1"
"r_17","2004Q2","perc","15 - 24","1","25"
"r_17","2004Q2","perc","25 - 34","1","12.8"
"r_17","2004Q2","perc","35 - 44","1","10.7"
"r_17","2004Q2","perc","45 - 54","1","10.4"
"r_17","2004Q2","perc","55 - 64","1","10.8"
