RevisionColumn,NUTS,GenderID,SILC_Age,Units,periods,ValueColumn
"r_8","BG423","0","0","perc_pop_fig","2018","39.3"
"r_8","BG423","1","0","1000cp","2018","48.6"
"r_8","BG423","1","0","perc_pop_fig","2018","38.3"
"r_8","BG423","2","0","1000cp","2018","53"
"r_8","BG423","2","0","perc_pop_fig","2018","40.3"
"r_8","BG421","0","0","1000cp","2018","224.2"
"r_8","BG421","0","0","perc_pop_fig","2018","33.4"
"r_8","BG421","1","0","1000cp","2018","101.1"
"r_8","BG421","1","0","perc_pop_fig","2018","31.4"
"r_8","BG421","2","0","1000cp","2018","123.1"
"r_8","BG421","2","0","perc_pop_fig","2018","35.3"
"r_8","BG424","0","0","1000cp","2018","26"
"r_8","BG424","0","0","perc_pop_fig","2018","24.2"
"r_8","BG424","1","0","1000cp","2018","9.1"
"r_8","BG424","1","0","perc_pop_fig","2018","17.5"
"r_8","BG424","2","0","1000cp","2018","16.9"
"r_8","BG424","2","0","perc_pop_fig","2018","30.6"
"r_8","BG422","0","0","1000cp","2018","80.6"
"r_8","BG422","0","0","perc_pop_fig","2018","34.6"
"r_8","BG422","1","0","1000cp","2018","36.6"
"r_8","BG422","1","0","perc_pop_fig","2018","31.9"
"r_8","BG422","2","0","1000cp","2018","44"
"r_8","BG422","2","0","perc_pop_fig","2018","37.2"
"r_9","BG","0","0","1000cp","2019","2278.7"
"r_9","BG","0","0","perc_pop_fig","2019","32.5"
"r_9","BG","1","0","1000cp","2019","1037"
"r_9","BG","1","0","perc_pop_fig","2019","30.5"
"r_9","BG","2","0","1000cp","2019","1241.8"
"r_9","BG","2","0","perc_pop_fig","2019","34.4"
"r_9","BG","0","1","1000cp","2019","411.1"
"r_9","BG","0","1","perc_pop_fig","2019","33.9"
"r_9","BG","0","2","1000cp","2019","1164.3"
"r_9","BG","0","2","perc_pop_fig","2019","27.1"
"r_9","BG","1","2","1000cp","2019","599.2"
"r_9","BG","1","2","perc_pop_fig","2019","27.5"
"r_9","BG","2","2","1000cp","2019","565.1"
"r_9","BG","2","2","perc_pop_fig","2019","26.6"
"r_9","BG","0","3","1000cp","2019","703.3"
"r_9","BG","0","3","perc_pop_fig","2019","47.1"
"r_9","BG","1","3","1000cp","2019","234.4"
"r_9","BG","1","3","perc_pop_fig","2019","39.1"
"r_9","BG","2","3","1000cp","2019","468.9"
"r_9","BG","2","3","perc_pop_fig","2019","52.5"
"r_9","BG31","0","0","1000cp","2019","266.4"
"r_9","BG31","0","0","perc_pop_fig","2019","35.8"
"r_9","BG31","1","0","1000cp","2019","126.8"
"r_9","BG31","1","0","perc_pop_fig","2019","35"
"r_9","BG31","2","0","1000cp","2019","139.5"
"r_9","BG31","2","0","perc_pop_fig","2019","36.6"
"r_9","BG31","0","1","1000cp","2019","60"
"r_9","BG31","0","1","perc_pop_fig","2019","45.6"
"r_9","BG31","0","2","1000cp","2019","125.4"
"r_9","BG31","0","2","perc_pop_fig","2019","29.2"
"r_9","BG31","1","2","1000cp","2019","67.8"
"r_9","BG31","1","2","perc_pop_fig","2019","30.6"
