RevisionColumn,NKPD2011_CLS,Units,periods,GenderID,ValueColumn
"r_2","4","1000cp","2011Q3","0","194.8"
"r_2","4","1000cp","2011Q3","1","55"
"r_2","4","1000cp","2011Q3","2","139.7"
"r_2","4","1000cp","2011Q4","0","201.4"
"r_2","4","1000cp","2011Q4","1","50.4"
"r_2","4","1000cp","2011Q4","2","151.1"
"r_2","4","1000cp","2012Q1","0","181.7"
"r_2","4","1000cp","2012Q1","1","44.5"
"r_2","4","1000cp","2012Q1","2","137.2"
"r_2","4","1000cp","2012Q2","0","178.7"
"r_2","4","1000cp","2012Q2","1","50.7"
"r_2","4","1000cp","2012Q2","2","127.9"
"r_2","4","1000cp","2012Q3","0","199.9"
"r_2","4","1000cp","2012Q3","1","53.4"
"r_2","4","1000cp","2012Q3","2","146.5"
"r_2","4","1000cp","2012Q4","0","196.2"
"r_2","4","1000cp","2012Q4","1","52.6"
"r_2","4","1000cp","2012Q4","2","143.6"
"r_2","4","1000cp","2013Q1","0","186"
"r_2","4","1000cp","2013Q1","1","47"
"r_2","4","1000cp","2013Q1","2","139"
"r_2","4","1000cp","2013Q2","0","194.1"
"r_2","4","1000cp","2013Q2","1","52"
"r_2","4","1000cp","2013Q2","2","142.1"
"r_2","4","1000cp","2013Q3","0","192.7"
"r_2","4","1000cp","2013Q3","1","54.9"
"r_2","4","1000cp","2013Q3","2","137.8"
"r_2","4","1000cp","2013Q4","0","187"
"r_2","4","1000cp","2013Q4","1","52.4"
"r_2","4","1000cp","2013Q4","2","134.6"
"r_2","4","1000cp","2014Q1","0","187.3"
"r_2","4","1000cp","2014Q1","1","53.4"
"r_2","4","1000cp","2014Q1","2","133.8"
"r_2","4","1000cp","2014Q2","0","198.6"
"r_2","4","1000cp","2014Q2","1","54.7"
"r_2","4","1000cp","2014Q2","2","143.8"
"r_2","4","1000cp","2014Q3","0","203.3"
"r_2","4","1000cp","2014Q3","1","57.4"
"r_2","4","1000cp","2014Q3","2","145.8"
"r_2","4","1000cp","2014Q4","0","195.4"
"r_2","4","1000cp","2014Q4","1","57.4"
"r_2","4","1000cp","2014Q4","2","138"
"r_2","4","1000cp","2015Q1","0","180.2"
"r_2","4","1000cp","2015Q1","1","53.1"
