RevisionColumn,Units,periods,Indicators,ValueColumn
"r_1","1000BGN","2005","3.1.2.4.3.0.1.1.2.3","."
"r_1","1000BGN","2006","3.1.2.4.3.0.1.1.2.3","."
"r_1","1000BGN","2007","3.1.2.4.3.0.1.1.2.3","0"
"r_1","1000BGN","2008","3.1.2.4.3.0.1.1.2.3","0"
"r_1","1000BGN","2009","3.1.2.4.3.0.1.1.2.3","0"
"r_1","1000BGN","2010","3.1.2.4.3.0.1.1.2.3","0"
"r_1","1000BGN","2011","3.1.2.4.3.0.1.1.2.3","0"
"r_1","1000BGN","2012","3.1.2.4.3.0.1.1.2.3","33"
"r_1","1000BGN","2013","3.1.2.4.3.0.1.1.2.3","0"
"r_1","1000BGN","2014","3.1.2.4.3.0.1.1.2.3","0"
"r_1","1000BGN","2015","3.1.2.4.3.0.1.1.2.3","0"
"r_1","1000BGN","2016","3.1.2.4.3.0.1.1.2.3","0"
"r_1","1000BGN","2017","3.1.2.4.3.0.1.1.2.3","0"
"r_1","1000BGN","2018","3.1.2.4.3.0.1.1.2.3","0"
"r_1","1000BGN","2019","3.1.2.4.3.0.1.1.2.3","0"
"r_1","1000BGN","2020","3.1.2.4.3.0.1.1.2.3","0"
"r_1","1000BGN","2005","3.1.2.4.3.0.1.1.3","209099"
"r_1","1000BGN","2006","3.1.2.4.3.0.1.1.3","317370"
"r_1","1000BGN","2007","3.1.2.4.3.0.1.1.3","361790"
"r_1","1000BGN","2008","3.1.2.4.3.0.1.1.3","476326"
"r_1","1000BGN","2009","3.1.2.4.3.0.1.1.3","754772"
"r_1","1000BGN","2010","3.1.2.4.3.0.1.1.3","766310"
"r_1","1000BGN","2011","3.1.2.4.3.0.1.1.3","796622"
"r_1","1000BGN","2012","3.1.2.4.3.0.1.1.3","908529"
"r_1","1000BGN","2013","3.1.2.4.3.0.1.1.3","723018"
"r_1","1000BGN","2014","3.1.2.4.3.0.1.1.3","592694"
"r_1","1000BGN","2015","3.1.2.4.3.0.1.1.3","273941"
"r_1","1000BGN","2016","3.1.2.4.3.0.1.1.3","281501"
"r_1","1000BGN","2017","3.1.2.4.3.0.1.1.3","84157"
"r_1","1000BGN","2018","3.1.2.4.3.0.1.1.3","124617"
"r_1","1000BGN","2019","3.1.2.4.3.0.1.1.3","131757"
"r_1","1000BGN","2020","3.1.2.4.3.0.1.1.3","133450"
"r_1","1000BGN","2005","3.1.2.4.3.0.1.1.4","7527"
"r_1","1000BGN","2006","3.1.2.4.3.0.1.1.4","26071"
"r_1","1000BGN","2007","3.1.2.4.3.0.1.1.4","77619"
"r_1","1000BGN","2008","3.1.2.4.3.0.1.1.4","82805"
"r_1","1000BGN","2009","3.1.2.4.3.0.1.1.4","80264"
"r_1","1000BGN","2010","3.1.2.4.3.0.1.1.4","139324"
"r_1","1000BGN","2011","3.1.2.4.3.0.1.1.4","166948"
"r_1","1000BGN","2012","3.1.2.4.3.0.1.1.4","181044"
"r_1","1000BGN","2013","3.1.2.4.3.0.1.1.4","187449"
"r_1","1000BGN","2014","3.1.2.4.3.0.1.1.4","212210"
"r_1","1000BGN","2015","3.1.2.4.3.0.1.1.4","227636"
"r_1","1000BGN","2016","3.1.2.4.3.0.1.1.4","223200"
"r_1","1000BGN","2017","3.1.2.4.3.0.1.1.4","232932"
"r_1","1000BGN","2018","3.1.2.4.3.0.1.1.4","264677"
"r_1","1000BGN","2019","3.1.2.4.3.0.1.1.4","274482"
"r_1","1000BGN","2020","3.1.2.4.3.0.1.1.4","278915"
"r_1","1000BGN","2005","3.1.2.4.3.0.1.2","4901"
"r_1","1000BGN","2006","3.1.2.4.3.0.1.2","52038"
"r_1","1000BGN","2007","3.1.2.4.3.0.1.2","45627"
"r_1","1000BGN","2008","3.1.2.4.3.0.1.2","73697"
"r_1","1000BGN","2009","3.1.2.4.3.0.1.2","142681"
"r_1","1000BGN","2010","3.1.2.4.3.0.1.2","206524"
"r_1","1000BGN","2011","3.1.2.4.3.0.1.2","259343"
"r_1","1000BGN","2012","3.1.2.4.3.0.1.2","201030"
"r_1","1000BGN","2013","3.1.2.4.3.0.1.2","579715"
"r_1","1000BGN","2014","3.1.2.4.3.0.1.2","271854"
"r_1","1000BGN","2015","3.1.2.4.3.0.1.2","717841"
"r_1","1000BGN","2016","3.1.2.4.3.0.1.2","1241902"
"r_1","1000BGN","2017","3.1.2.4.3.0.1.2","661409"
"r_1","1000BGN","2018","3.1.2.4.3.0.1.2","1108267"
"r_1","1000BGN","2019","3.1.2.4.3.0.1.2","1129151"
"r_1","1000BGN","2020","3.1.2.4.3.0.1.2","1280079"
"r_1","1000BGN","2005","3.1.2.4.3.0.1.3","30081"
"r_1","1000BGN","2006","3.1.2.4.3.0.1.3","18313"
"r_1","1000BGN","2007","3.1.2.4.3.0.1.3","57750"
"r_1","1000BGN","2008","3.1.2.4.3.0.1.3","40535"
"r_1","1000BGN","2009","3.1.2.4.3.0.1.3","63965"
"r_1","1000BGN","2010","3.1.2.4.3.0.1.3","67243"
"r_1","1000BGN","2011","3.1.2.4.3.0.1.3","105173"
"r_1","1000BGN","2012","3.1.2.4.3.0.1.3","52033"
"r_1","1000BGN","2013","3.1.2.4.3.0.1.3","57486"
"r_1","1000BGN","2014","3.1.2.4.3.0.1.3","94841"
"r_1","1000BGN","2015","3.1.2.4.3.0.1.3","140193"
"r_1","1000BGN","2016","3.1.2.4.3.0.1.3","133140"
"r_1","1000BGN","2017","3.1.2.4.3.0.1.3","150239"
"r_1","1000BGN","2018","3.1.2.4.3.0.1.3","162315"
"r_1","1000BGN","2019","3.1.2.4.3.0.1.3","138348"
"r_1","1000BGN","2020","3.1.2.4.3.0.1.3","149580"
"r_1","1000BGN","2005","3.1.2.4.3.0.1.3.1","16436"
"r_1","1000BGN","2006","3.1.2.4.3.0.1.3.1","18132"
"r_1","1000BGN","2007","3.1.2.4.3.0.1.3.1","57204"
"r_1","1000BGN","2008","3.1.2.4.3.0.1.3.1","40484"
"r_1","1000BGN","2009","3.1.2.4.3.0.1.3.1","63884"
"r_1","1000BGN","2010","3.1.2.4.3.0.1.3.1","67193"
"r_1","1000BGN","2011","3.1.2.4.3.0.1.3.1","104617"
"r_1","1000BGN","2012","3.1.2.4.3.0.1.3.1","51491"
"r_1","1000BGN","2013","3.1.2.4.3.0.1.3.1","57042"
"r_1","1000BGN","2014","3.1.2.4.3.0.1.3.1","94233"
"r_1","1000BGN","2015","3.1.2.4.3.0.1.3.1","139535"
"r_1","1000BGN","2016","3.1.2.4.3.0.1.3.1","133105"
"r_1","1000BGN","2017","3.1.2.4.3.0.1.3.1","149294"
"r_1","1000BGN","2018","3.1.2.4.3.0.1.3.1","161452"
"r_1","1000BGN","2019","3.1.2.4.3.0.1.3.1","138019"
"r_1","1000BGN","2020","3.1.2.4.3.0.1.3.1","148861"
"r_1","1000BGN","2005","3.1.2.4.3.0.1","1117443"
"r_1","1000BGN","2006","3.1.2.4.3.0.1","1522396"
"r_1","1000BGN","2007","3.1.2.4.3.0.1","2327794"
"r_1","1000BGN","2008","3.1.2.4.3.0.1","2303294"
"r_1","1000BGN","2009","3.1.2.4.3.0.1","3173303"
"r_1","1000BGN","2010","3.1.2.4.3.0.1","3996479"
"r_1","1000BGN","2011","3.1.2.4.3.0.1","4597939"
"r_1","1000BGN","2012","3.1.2.4.3.0.1","5709220"
"r_1","1000BGN","2013","3.1.2.4.3.0.1","6821068"
"r_1","1000BGN","2014","3.1.2.4.3.0.1","8185091"
"r_1","1000BGN","2015","3.1.2.4.3.0.1","9393814"
"r_1","1000BGN","2016","3.1.2.4.3.0.1","10813750"
"r_1","1000BGN","2017","3.1.2.4.3.0.1","12741775"
"r_1","1000BGN","2018","3.1.2.4.3.0.1","13463048"
"r_1","1000BGN","2019","3.1.2.4.3.0.1","15734174"
"r_1","1000BGN","2020","3.1.2.4.3.0.1","17406665"
"r_1","1000BGN","2005","3.1.2.4.3.0.2.1","0"
"r_1","1000BGN","2006","3.1.2.4.3.0.2.1","299"
"r_1","1000BGN","2007","3.1.2.4.3.0.2.1","2365"
