RevisionColumn,NUTS,Units,periods,GenderID,ValueColumn
"r_2","BG31","1000cp","2003Q1","2","151.5"
"r_2","BG31","1000cp","2003Q2","0","320.5"
"r_2","BG31","1000cp","2003Q2","1","169.8"
"r_2","BG31","1000cp","2003Q2","2","150.7"
"r_2","BG31","1000cp","2003Q3","0","320.2"
"r_2","BG31","1000cp","2003Q3","1","173.1"
"r_2","BG31","1000cp","2003Q3","2","147.1"
"r_2","BG31","1000cp","2003Q4","0","309.8"
"r_2","BG31","1000cp","2003Q4","1","165.3"
"r_2","BG31","1000cp","2003Q4","2","144.5"
"r_2","BG31","1000cp","2004Q1","0","302.5"
"r_2","BG31","1000cp","2004Q1","1","159.3"
"r_2","BG31","1000cp","2004Q1","2","143.2"
"r_2","BG31","1000cp","2004Q2","0","320.4"
"r_2","BG31","1000cp","2004Q2","1","171.9"
"r_2","BG31","1000cp","2004Q2","2","148.5"
"r_2","BG31","1000cp","2004Q3","0","330.1"
"r_2","BG31","1000cp","2004Q3","1","174.8"
"r_2","BG31","1000cp","2004Q3","2","155.3"
"r_2","BG31","1000cp","2004Q4","0","320.1"
"r_2","BG31","1000cp","2004Q4","1","168.7"
"r_2","BG31","1000cp","2004Q4","2","151.5"
"r_2","BG31","1000cp","2005Q1","0","294.7"
"r_2","BG31","1000cp","2005Q1","1","154.7"
"r_2","BG31","1000cp","2005Q1","2","140.1"
"r_2","BG31","1000cp","2005Q2","0","320.1"
"r_2","BG31","1000cp","2005Q2","1","169.5"
"r_2","BG31","1000cp","2005Q2","2","150.6"
"r_2","BG31","1000cp","2005Q3","0","331.1"
"r_2","BG31","1000cp","2005Q3","1","172"
"r_2","BG31","1000cp","2005Q3","2","159.1"
"r_2","BG31","1000cp","2005Q4","0","312.4"
"r_2","BG31","1000cp","2005Q4","1","166.6"
"r_2","BG31","1000cp","2005Q4","2","145.9"
"r_2","BG31","1000cp","2006Q1","0","304.4"
"r_2","BG31","1000cp","2006Q1","1","162.1"
"r_2","BG31","1000cp","2006Q1","2","142.3"
"r_2","BG31","1000cp","2006Q2","0","328.2"
"r_2","BG31","1000cp","2006Q2","1","173.3"
"r_2","BG31","1000cp","2006Q2","2","154.9"
"r_2","BG31","1000cp","2006Q3","0","335.2"
"r_2","BG31","1000cp","2006Q3","1","182.2"
"r_2","BG31","1000cp","2006Q3","2","153"
"r_2","BG31","1000cp","2006Q4","0","343"
"r_2","BG31","1000cp","2006Q4","1","188"
"r_2","BG31","1000cp","2006Q4","2","155"
"r_2","BG31","1000cp","2007Q1","0","327.2"
"r_2","BG31","1000cp","2007Q1","1","173.8"
"r_2","BG31","1000cp","2007Q1","2","153.4"
"r_2","BG31","1000cp","2007Q2","0","345.2"
"r_2","BG31","1000cp","2007Q2","1","182.1"
"r_2","BG31","1000cp","2007Q2","2","163.1"
"r_2","BG31","1000cp","2007Q3","0","353.7"
"r_2","BG31","1000cp","2007Q3","1","190.8"
"r_2","BG31","1000cp","2007Q3","2","163"
"r_2","BG31","1000cp","2007Q4","0","355.5"
"r_2","BG31","1000cp","2007Q4","1","192.7"
"r_2","BG31","1000cp","2007Q4","2","162.8"
"r_2","BG31","1000cp","2008Q1","0","350.5"
"r_2","BG31","1000cp","2008Q1","1","182.9"
"r_2","BG31","1000cp","2008Q1","2","167.7"
"r_2","BG31","1000cp","2008Q2","0","357.3"
"r_2","BG31","1000cp","2008Q2","1","187.3"
"r_2","BG31","1000cp","2008Q2","2","170"
"r_2","BG31","1000cp","2008Q3","0","365.8"
"r_2","BG31","1000cp","2008Q3","1","192.8"
"r_2","BG31","1000cp","2008Q3","2","173"
"r_2","BG31","1000cp","2008Q4","0","363.7"
"r_2","BG31","1000cp","2008Q4","1","191.8"
"r_2","BG31","1000cp","2008Q4","2","171.9"
"r_2","BG31","1000cp","2009Q1","0","347.7"
"r_2","BG31","1000cp","2009Q1","1","182.3"
"r_2","BG31","1000cp","2009Q1","2","165.4"
"r_2","BG31","1000cp","2009Q2","0","338.4"
"r_2","BG31","1000cp","2009Q2","1","177.2"
"r_2","BG31","1000cp","2009Q2","2","161.2"
"r_2","BG31","1000cp","2009Q3","0","341.9"
"r_2","BG31","1000cp","2009Q3","1","179.3"
"r_2","BG31","1000cp","2009Q3","2","162.7"
"r_2","BG31","1000cp","2009Q4","0","337.4"
"r_2","BG31","1000cp","2009Q4","1","177"
"r_2","BG31","1000cp","2009Q4","2","160.4"
"r_2","BG31","1000cp","2010Q1","0","312.5"
"r_2","BG31","1000cp","2010Q1","1","166.1"
"r_2","BG31","1000cp","2010Q1","2","146.3"
"r_2","BG31","1000cp","2010Q2","0","311"
"r_2","BG31","1000cp","2010Q2","1","167"
"r_2","BG31","1000cp","2010Q2","2","144"
"r_2","BG31","1000cp","2010Q3","0","304.9"
"r_2","BG31","1000cp","2010Q3","1","162.4"
"r_2","BG31","1000cp","2010Q3","2","142.6"
"r_2","BG31","1000cp","2010Q4","0","305.3"
"r_2","BG31","1000cp","2010Q4","1","159.4"
"r_2","BG31","1000cp","2010Q4","2","145.9"
"r_2","BG31","1000cp","2011Q1","0","288.2"
"r_2","BG31","1000cp","2011Q1","1","151.6"
"r_2","BG31","1000cp","2011Q1","2","136.6"
"r_2","BG31","1000cp","2011Q2","0","286.9"
"r_2","BG31","1000cp","2011Q2","1","152.2"
"r_2","BG31","1000cp","2011Q2","2","134.6"
"r_2","BG31","1000cp","2011Q3","0","294.7"
"r_2","BG31","1000cp","2011Q3","1","159.3"
"r_2","BG31","1000cp","2011Q3","2","135.4"
"r_2","BG31","1000cp","2011Q4","0","300"
"r_2","BG31","1000cp","2011Q4","1","161"
"r_2","BG31","1000cp","2011Q4","2","138.9"
"r_2","BG31","1000cp","2012Q1","0","286.9"
"r_2","BG31","1000cp","2012Q1","1","150.9"
