RevisionColumn,periods,BUILD_Permit,BUILD_Permit1,District_Projection,periods_name,ValueColumn
"r_42","2005","1","5","VID","Q4","4"
"r_42","2005","1","6","VID","Q4","420"
"r_42","2005","2","4","VID","Q4","-"
"r_42","2005","2","6","VID","Q4","-"
"r_42","2005","3","4","VID","Q4","11"
"r_42","2005","3","6","VID","Q4","1608"
"r_42","2005","1","4","VRC","Q1","3"
"r_42","2005","1","5","VRC","Q1","3"
"r_42","2005","1","6","VRC","Q1","1685"
"r_42","2005","2","4","VRC","Q1","-"
"r_42","2005","2","6","VRC","Q1","-"
"r_42","2005","3","4","VRC","Q1","32"
"r_42","2005","3","6","VRC","Q1","6149"
"r_42","2005","1","4","VRC","Q2","12"
"r_42","2005","1","5","VRC","Q2","23"
"r_42","2005","1","6","VRC","Q2","5010"
"r_42","2005","2","4","VRC","Q2","-"
"r_42","2005","2","6","VRC","Q2","-"
"r_42","2005","3","4","VRC","Q2","30"
"r_42","2005","3","6","VRC","Q2","13182"
"r_42","2005","1","4","VRC","Q3","11"
"r_42","2005","1","5","VRC","Q3","30"
"r_42","2005","1","6","VRC","Q3","7047"
"r_42","2005","2","4","VRC","Q3",".."
"r_42","2005","2","6","VRC","Q3",".."
"r_42","2005","3","4","VRC","Q3","21"
"r_42","2005","3","6","VRC","Q3","6286"
"r_42","2005","1","4","VRC","Q4","12"
"r_42","2005","1","5","VRC","Q4","47"
"r_42","2005","1","6","VRC","Q4","8256"
"r_42","2005","2","4","VRC","Q4",".."
"r_42","2005","2","6","VRC","Q4",".."
"r_42","2005","3","4","VRC","Q4","26"
"r_42","2005","3","6","VRC","Q4","3889"
"r_42","2005","1","4","GAB","Q1","22"
"r_42","2005","1","5","GAB","Q1","26"
"r_42","2005","1","6","GAB","Q1","4793"
"r_42","2005","2","4","GAB","Q1","-"
"r_42","2005","2","6","GAB","Q1","-"
"r_42","2005","3","4","GAB","Q1","7"
"r_42","2005","3","6","GAB","Q1","4481"
"r_42","2005","1","4","GAB","Q2","42"
"r_42","2005","1","5","GAB","Q2","65"
"r_42","2005","1","6","GAB","Q2","11079"
"r_42","2005","2","4","GAB","Q2","3"
"r_42","2005","2","6","GAB","Q2","1770"
"r_42","2005","3","4","GAB","Q2","12"
"r_42","2005","3","6","GAB","Q2","2368"
"r_42","2005","1","4","GAB","Q3","34"
"r_42","2005","1","5","GAB","Q3","59"
"r_42","2005","1","6","GAB","Q3","8868"
"r_42","2005","2","4","GAB","Q3",".."
"r_42","2005","2","6","GAB","Q3",".."
"r_42","2005","3","4","GAB","Q3","11"
"r_42","2005","3","6","GAB","Q3","4302"
"r_42","2005","1","4","GAB","Q4","35"
"r_42","2005","1","5","GAB","Q4","49"
"r_42","2005","1","6","GAB","Q4","5846"
"r_42","2005","2","4","GAB","Q4",".."
"r_42","2005","2","6","GAB","Q4",".."
"r_42","2005","3","4","GAB","Q4","9"
"r_42","2005","3","6","GAB","Q4","5265"
"r_42","2005","1","4","DOB","Q1","93"
"r_42","2005","1","5","DOB","Q1","115"
"r_42","2005","1","6","DOB","Q1","19873"
"r_42","2005","2","4","DOB","Q1",".."
"r_42","2005","2","6","DOB","Q1",".."
"r_42","2005","3","4","DOB","Q1","57"
"r_42","2005","3","6","DOB","Q1","10967"
"r_42","2005","1","4","DOB","Q2","148"
"r_42","2005","1","5","DOB","Q2","266"
"r_42","2005","1","6","DOB","Q2","32636"
"r_42","2005","2","4","DOB","Q2","3"
"r_42","2005","2","6","DOB","Q2","295"
"r_42","2005","3","4","DOB","Q2","105"
"r_42","2005","3","6","DOB","Q2","111975"
"r_42","2005","1","4","DOB","Q3","148"
"r_42","2005","1","5","DOB","Q3","192"
"r_42","2005","1","6","DOB","Q3","33614"
"r_42","2005","2","4","DOB","Q3",".."
"r_42","2005","2","6","DOB","Q3",".."
"r_42","2005","3","4","DOB","Q3","20"
"r_42","2005","3","6","DOB","Q3","4859"
"r_42","2005","1","4","DOB","Q4","115"
"r_42","2005","1","5","DOB","Q4","118"
"r_42","2005","1","6","DOB","Q4","17858"
"r_42","2005","2","4","DOB","Q4",".."
"r_42","2005","2","6","DOB","Q4",".."
"r_42","2005","3","4","DOB","Q4","83"
"r_42","2005","3","6","DOB","Q4","90801"
"r_42","2005","1","4","KRZ","Q1","17"
"r_42","2005","1","5","KRZ","Q1","41"
"r_42","2005","1","6","KRZ","Q1","10989"
"r_42","2005","2","4","KRZ","Q1","-"
"r_42","2005","2","6","KRZ","Q1","-"
"r_42","2005","3","4","KRZ","Q1","13"
"r_42","2005","3","6","KRZ","Q1","5770"
"r_42","2005","1","4","KRZ","Q2","38"
"r_42","2005","1","5","KRZ","Q2","117"
"r_42","2005","1","6","KRZ","Q2","12139"
"r_42","2005","2","4","KRZ","Q2",".."
"r_42","2005","2","6","KRZ","Q2",".."
"r_42","2005","3","4","KRZ","Q2","37"
"r_42","2005","3","6","KRZ","Q2","2766"
"r_42","2005","1","4","KRZ","Q3","28"
"r_42","2005","1","5","KRZ","Q3","125"
"r_42","2005","1","6","KRZ","Q3","19391"
"r_42","2005","2","4","KRZ","Q3","-"
"r_42","2005","2","6","KRZ","Q3","-"
"r_42","2005","3","4","KRZ","Q3","13"
"r_42","2005","3","6","KRZ","Q3","2425"
"r_42","2005","1","4","KRZ","Q4","12"
"r_42","2005","1","5","KRZ","Q4","49"
"r_42","2005","1","6","KRZ","Q4","7903"
"r_42","2005","2","4","KRZ","Q4","-"
"r_42","2005","2","6","KRZ","Q4","-"
"r_42","2005","3","4","KRZ","Q4","21"
"r_42","2005","3","6","KRZ","Q4","8305"
"r_42","2005","1","4","KNL","Q1","12"
"r_42","2005","1","5","KNL","Q1","16"
"r_42","2005","1","6","KNL","Q1","2460"
"r_42","2005","2","4","KNL","Q1","-"
"r_42","2005","2","6","KNL","Q1","-"
"r_42","2005","3","4","KNL","Q1","10"
"r_42","2005","3","6","KNL","Q1","466"
"r_42","2005","1","4","KNL","Q2","28"
"r_42","2005","1","5","KNL","Q2","46"
"r_42","2005","1","6","KNL","Q2","8098"
"r_42","2005","2","4","KNL","Q2","-"
"r_42","2005","2","6","KNL","Q2","-"
"r_42","2005","3","4","KNL","Q2","22"
"r_42","2005","3","6","KNL","Q2","10898"
"r_42","2005","1","4","KNL","Q3","25"
"r_42","2005","1","5","KNL","Q3","53"
"r_42","2005","1","6","KNL","Q3","12150"
"r_42","2005","2","4","KNL","Q3","3"
"r_42","2005","2","6","KNL","Q3","753"
"r_42","2005","3","4","KNL","Q3","20"
"r_42","2005","3","6","KNL","Q3","3015"
"r_42","2005","1","4","KNL","Q4","19"
"r_42","2005","1","5","KNL","Q4","62"
"r_42","2005","1","6","KNL","Q4","7071"
"r_42","2005","2","4","KNL","Q4","4"
"r_42","2005","2","6","KNL","Q4","1133"
"r_42","2005","3","4","KNL","Q4","27"
"r_42","2005","3","6","KNL","Q4","10205"
"r_42","2005","1","4","LOV","Q1","13"
"r_42","2005","1","5","LOV","Q1","14"
"r_42","2005","1","6","LOV","Q1","1722"
"r_42","2005","2","4","LOV","Q1",".."
"r_42","2005","2","6","LOV","Q1",".."
"r_42","2005","3","4","LOV","Q1","51"
"r_42","2005","3","6","LOV","Q1","17327"
"r_42","2005","1","4","LOV","Q2","42"
"r_42","2005","1","5","LOV","Q2","44"
"r_42","2005","1","6","LOV","Q2","9981"
"r_42","2005","2","4","LOV","Q2","-"
"r_42","2005","2","6","LOV","Q2","-"
"r_42","2005","3","4","LOV","Q2","31"
"r_42","2005","3","6","LOV","Q2","10445"
"r_42","2005","1","4","LOV","Q3","39"
"r_42","2005","1","5","LOV","Q3","33"
"r_42","2005","1","6","LOV","Q3","8491"
"r_42","2005","2","4","LOV","Q3",".."
"r_42","2005","2","6","LOV","Q3",".."
"r_42","2005","3","4","LOV","Q3","16"
"r_42","2005","3","6","LOV","Q3","1177"
"r_42","2005","1","4","LOV","Q4","26"
"r_42","2005","1","5","LOV","Q4","27"
"r_42","2005","1","6","LOV","Q4","6231"
"r_42","2005","2","4","LOV","Q4",".."
"r_42","2005","2","6","LOV","Q4",".."
"r_42","2005","3","4","LOV","Q4","40"
"r_42","2005","3","6","LOV","Q4","6387"
"r_42","2005","1","4","MON","Q1","3"
"r_42","2005","1","5","MON","Q1","5"
"r_42","2005","1","6","MON","Q1","1145"
"r_42","2005","2","4","MON","Q1",".."
"r_42","2005","2","6","MON","Q1",".."
"r_42","2005","3","4","MON","Q1","21"
"r_42","2005","3","6","MON","Q1","8847"
"r_42","2005","1","4","MON","Q2",".."
"r_42","2005","1","5","MON","Q2",".."
"r_42","2005","1","6","MON","Q2",".."
"r_42","2005","2","4","MON","Q2",".."
"r_42","2005","2","6","MON","Q2",".."
"r_42","2005","3","4","MON","Q2","24"
"r_42","2005","3","6","MON","Q2","3932"
"r_42","2005","1","4","MON","Q3","9"
"r_42","2005","1","5","MON","Q3","16"
"r_42","2005","1","6","MON","Q3","2403"
"r_42","2005","2","4","MON","Q3","-"
"r_42","2005","2","6","MON","Q3","-"
"r_42","2005","3","4","MON","Q3","18"
"r_42","2005","3","6","MON","Q3","4173"
"r_42","2005","1","4","MON","Q4","5"
"r_42","2005","1","5","MON","Q4","7"
"r_42","2005","1","6","MON","Q4","1061"
"r_42","2005","2","4","MON","Q4","-"
"r_42","2005","2","6","MON","Q4","-"
"r_42","2005","3","4","MON","Q4","19"
"r_42","2005","3","6","MON","Q4","6207"
"r_42","2005","1","4","PAZ","Q1","25"
"r_42","2005","1","5","PAZ","Q1","76"
"r_42","2005","1","6","PAZ","Q1","12583"
"r_42","2005","2","4","PAZ","Q1","-"
"r_42","2005","2","6","PAZ","Q1","-"
"r_42","2005","3","4","PAZ","Q1","31"
"r_42","2005","3","6","PAZ","Q1","8154"
