RevisionColumn,HBS_Meassure,HBS_PR,Residence,periods,ValueColumn
"r_1","1","1109","0","2009","318"
"r_1","1","1109","1","2009","389"
"r_1","1","1109","2","2009","157"
"r_1","1","1109","0","2010","282"
"r_1","1","1109","1","2010","332"
"r_1","1","1109","2","2010","154"
"r_1","1","1109","0","2011","295"
"r_1","1","1109","1","2011","348"
"r_1","1","1109","2","2011","157"
"r_1","1","1109","0","2012","396"
"r_1","1","1109","1","2012","457"
"r_1","1","1109","2","2012","210"
"r_1","1","1109","0","2013","480"
"r_1","1","1109","1","2013","562"
"r_1","1","1109","2","2013","216"
"r_1","1","1109","0","2014","511"
"r_1","1","1109","1","2014","580"
"r_1","1","1109","2","2014","291"
"r_1","1","1110","0","2008","298"
"r_1","1","1110","1","2008","351"
"r_1","1","1110","2","2008","180"
"r_1","1","1110","0","2009","295"
"r_1","1","1110","1","2009","338"
"r_1","1","1110","2","2009","198"
"r_1","1","1110","0","2010","300"
"r_1","1","1110","1","2010","330"
"r_1","1","1110","2","2010","225"
"r_1","1","1110","0","2011","333"
"r_1","1","1110","1","2011","379"
"r_1","1","1110","2","2011","214"
"r_1","1","1110","0","2012","378"
"r_1","1","1110","1","2012","422"
"r_1","1","1110","2","2012","245"
"r_1","1","1110","0","2013","440"
"r_1","1","1110","1","2013","497"
"r_1","1","1110","2","2013","257"
"r_1","1","1110","0","2014","479"
"r_1","1","1110","1","2014","533"
"r_1","1","1110","2","2014","307"
"r_1","1","12","0","2008","253"
"r_1","1","12","1","2008","308"
"r_1","1","12","2","2008","129"
"r_1","1","12","0","2009","261"
"r_1","1","12","1","2009","317"
"r_1","1","12","2","2009","136"
"r_1","1","12","0","2010","301"
"r_1","1","12","1","2010","350"
"r_1","1","12","2","2010","176"
"r_1","1","12","0","2011","440"
"r_1","1","12","1","2011","517"
"r_1","1","12","2","2011","237"
"r_1","1","12","0","2012","474"
"r_1","1","12","1","2012","535"
"r_1","1","12","2","2012","289"
"r_1","1","12","0","2013","519"
"r_1","1","12","1","2013","583"
"r_1","1","12","2","2013","314"
"r_1","1","12","0","2014","531"
"r_1","1","12","1","2014","605"
"r_1","1","12","2","2014","295"
"r_1","1","13","0","2008","299"
"r_1","1","13","1","2008","362"
"r_1","1","13","2","2008","156"
"r_1","1","13","0","2009","304"
"r_1","1","13","1","2009","367"
"r_1","1","13","2","2009","161"
"r_1","1","13","0","2010","358"
"r_1","1","13","1","2010","414"
"r_1","1","13","2","2010","216"
"r_1","1","13","0","2011","501"
"r_1","1","13","1","2011","578"
"r_1","1","13","2","2011","299"
"r_1","1","13","0","2012","586"
"r_1","1","13","1","2012","656"
"r_1","1","13","2","2012","371"
"r_1","1","13","0","2013","676"
"r_1","1","13","1","2013","758"
"r_1","1","13","2","2013","411"
"r_1","1","13","0","2014","688"
"r_1","1","13","1","2014","790"
"r_1","1","13","2","2014","363"
"r_1","1","14","0","2008","147"
"r_1","1","14","1","2008","157"
"r_1","1","14","2","2008","124"
"r_1","1","14","0","2009","156"
"r_1","1","14","1","2009","160"
"r_1","1","14","2","2009","147"
"r_1","1","14","0","2010","137"
"r_1","1","14","1","2010","143"
"r_1","1","14","2","2010","123"
"r_1","1","14","0","2011","141"
"r_1","1","14","1","2011","162"
"r_1","1","14","2","2011","87"
"r_1","1","14","0","2012","131"
"r_1","1","14","1","2012","141"
"r_1","1","14","2","2012","101"
"r_1","1","14","0","2013","123"
"r_1","1","14","1","2013","130"
"r_1","1","14","2","2013","100"
"r_1","1","14","0","2014","135"
"r_1","1","14","1","2014","140"
"r_1","1","14","2","2014","118"
"r_1","1","15","0","2008","493"
"r_1","1","15","1","2008","439"
"r_1","1","15","2","2008","613"
"r_1","1","15","0","2009","454"
"r_1","1","15","1","2009","401"
"r_1","1","15","2","2009","572"
"r_1","1","15","0","2010","353"
"r_1","1","15","1","2010","311"
"r_1","1","15","2","2010","460"
"r_1","1","15","0","2011","282"
"r_1","1","15","1","2011","258"
"r_1","1","15","2","2011","343"
"r_1","1","15","0","2012","386"
"r_1","1","15","1","2012","366"
"r_1","1","15","2","2012","446"
"r_1","1","15","0","2013","448"
"r_1","1","15","1","2013","424"
"r_1","1","15","2","2013","525"
"r_1","1","15","0","2014","460"
"r_1","1","15","1","2014","403"
"r_1","1","15","2","2014","641"
"r_1","2","1","0","2008","3175"
"r_1","2","1","1","2008","3466"
"r_1","2","1","2","2008","2506"
"r_1","2","1","0","2009","3247"
"r_1","2","1","1","2009","3492"
"r_1","2","1","2","2009","2668"
"r_1","2","1","0","2010","3204"
"r_1","2","1","1","2010","3383"
"r_1","2","1","2","2010","2727"
"r_1","2","1","0","2011","3429"
"r_1","2","1","1","2011","3668"
"r_1","2","1","2","2011","2782"
"r_1","2","1","0","2012","3981"
"r_1","2","1","1","2012","4239"
"r_1","2","1","2","2012","3214"
"r_1","2","1","0","2013","4390"
"r_1","2","1","1","2013","4758"
"r_1","2","1","2","2013","3240"
"r_1","2","1","0","2014","4443"
"r_1","2","1","1","2014","4737"
"r_1","2","1","2","2014","3496"
"r_1","2","11","0","2008","2695"
"r_1","2","11","1","2008","2959"
"r_1","2","11","2","2008","2088"
"r_1","2","11","0","2009","2771"
"r_1","2","11","1","2009","2995"
"r_1","2","11","2","2009","2243"
"r_1","2","11","0","2010","2739"
"r_1","2","11","1","2010","2897"
"r_1","2","11","2","2010","2319"
"r_1","2","11","0","2011","2872"
"r_1","2","11","1","2011","3055"
"r_1","2","11","2","2011","2375"
"r_1","2","11","0","2012","3315"
"r_1","2","11","1","2012","3518"
"r_1","2","11","2","2012","2712"
"r_1","2","11","0","2013","3646"
"r_1","2","11","1","2013","3955"
"r_1","2","11","2","2013","2681"
"r_1","2","11","0","2014","3694"
"r_1","2","11","1","2014","3938"
"r_1","2","11","2","2014","2911"
"r_1","2","1101","0","2008","1109"
"r_1","2","1101","1","2008","1179"
"r_1","2","1101","2","2008","946"
"r_1","2","1101","0","2009","1133"
"r_1","2","1101","1","2009","1204"
"r_1","2","1101","2","2009","965"
"r_1","2","1101","0","2010","1147"
"r_1","2","1101","1","2010","1208"
"r_1","2","1101","2","2010","985"
"r_1","2","1101","0","2011","1202"
"r_1","2","1101","1","2011","1259"
"r_1","2","1101","2","2011","1049"
"r_1","2","1101","0","2012","1282"
"r_1","2","1101","1","2012","1357"
"r_1","2","1101","2","2012","1059"
"r_1","2","1101","0","2013","1408"
"r_1","2","1101","1","2013","1502"
"r_1","2","1101","2","2013","1115"
"r_1","2","1101","0","2014","1394"
"r_1","2","1101","1","2014","1474"
"r_1","2","1101","2","2014","1137"
"r_1","2","1102","0","2008","140"
"r_1","2","1102","1","2008","154"
"r_1","2","1102","2","2008","109"
"r_1","2","1102","0","2009","154"
"r_1","2","1102","1","2009","162"
"r_1","2","1102","2","2009","134"
"r_1","2","1102","0","2010","148"
"r_1","2","1102","1","2010","153"
"r_1","2","1102","2","2010","134"
"r_1","2","1102","0","2011","153"
"r_1","2","1102","1","2011","163"
"r_1","2","1102","2","2011","128"
"r_1","2","1102","0","2012","175"
"r_1","2","1102","1","2012","184"
"r_1","2","1102","2","2012","150"
"r_1","2","1102","0","2013","177"
"r_1","2","1102","1","2013","191"
"r_1","2","1102","2","2013","132"
"r_1","2","1102","0","2014","184"
"r_1","2","1102","1","2014","199"
"r_1","2","1102","2","2014","136"
"r_1","2","1103","0","2008","113"
"r_1","2","1103","1","2008","131"
"r_1","2","1103","2","2008","73"
"r_1","2","1103","0","2009","103"
"r_1","2","1103","1","2009","115"
"r_1","2","1103","2","2009","74"
"r_1","2","1103","0","2010","93"
"r_1","2","1103","1","2010","101"
"r_1","2","1103","2","2010","72"
"r_1","2","1103","0","2011","104"
"r_1","2","1103","1","2011","115"
"r_1","2","1103","2","2011","76"
"r_1","2","1103","0","2012","129"
"r_1","2","1103","1","2012","142"
"r_1","2","1103","2","2012","90"
"r_1","2","1103","0","2013","154"
"r_1","2","1103","1","2013","175"
"r_1","2","1103","2","2013","88"
"r_1","2","1103","0","2014","171"
"r_1","2","1103","1","2014","188"
"r_1","2","1103","2","2014","120"
"r_1","2","1104","0","2008","442"
"r_1","2","1104","1","2008","473"
"r_1","2","1104","2","2008","371"
"r_1","2","1104","0","2009","482"
"r_1","2","1104","1","2009","506"
"r_1","2","1104","2","2009","425"
"r_1","2","1104","0","2010","470"
"r_1","2","1104","1","2010","479"
"r_1","2","1104","2","2010","447"
"r_1","2","1104","0","2011","493"
"r_1","2","1104","1","2011","510"
"r_1","2","1104","2","2011","447"
"r_1","2","1104","0","2012","621"
"r_1","2","1104","1","2012","632"
"r_1","2","1104","2","2012","587"
"r_1","2","1104","0","2013","632"
"r_1","2","1104","1","2013","662"
"r_1","2","1104","2","2013","538"
"r_1","2","1104","0","2014","605"
"r_1","2","1104","1","2014","616"
"r_1","2","1104","2","2014","571"
"r_1","2","1105","0","2008","122"
"r_1","2","1105","1","2008","134"
"r_1","2","1105","2","2008","93"
"r_1","2","1105","0","2009","123"
"r_1","2","1105","1","2009","132"
"r_1","2","1105","2","2009","102"
"r_1","2","1105","0","2010","111"
"r_1","2","1105","1","2010","119"
"r_1","2","1105","2","2010","92"
"r_1","2","1105","0","2011","96"
"r_1","2","1105","1","2011","102"
"r_1","2","1105","2","2011","80"
"r_1","2","1105","0","2012","131"
"r_1","2","1105","1","2012","138"
"r_1","2","1105","2","2012","110"
"r_1","2","1105","0","2013","152"
"r_1","2","1105","1","2013","168"
"r_1","2","1105","2","2013","105"
"r_1","2","1105","0","2014","166"
"r_1","2","1105","1","2014","174"
"r_1","2","1105","2","2014","140"
"r_1","2","1106","0","2008","155"
"r_1","2","1106","1","2008","168"
"r_1","2","1106","2","2008","126"
"r_1","2","1106","0","2009","177"
"r_1","2","1106","1","2009","189"
"r_1","2","1106","2","2009","150"
"r_1","2","1106","0","2010","181"
"r_1","2","1106","1","2010","186"
"r_1","2","1106","2","2010","166"
"r_1","2","1106","0","2011","196"
"r_1","2","1106","1","2011","203"
"r_1","2","1106","2","2011","176"
"r_1","2","1106","0","2012","212"
"r_1","2","1106","1","2012","214"
"r_1","2","1106","2","2012","205"
"r_1","2","1106","0","2013","233"
"r_1","2","1106","1","2013","247"
"r_1","2","1106","2","2013","191"
"r_1","2","1106","0","2014","235"
"r_1","2","1106","1","2014","244"
"r_1","2","1106","2","2014","206"
"r_1","2","1107","0","2008","228"
"r_1","2","1107","1","2008","263"
"r_1","2","1107","2","2008","149"
"r_1","2","1107","0","2009","201"
"r_1","2","1107","1","2009","224"
"r_1","2","1107","2","2009","148"
"r_1","2","1107","0","2010","200"
"r_1","2","1107","1","2010","217"
"r_1","2","1107","2","2010","155"
"r_1","2","1107","0","2011","207"
"r_1","2","1107","1","2011","228"
"r_1","2","1107","2","2011","150"
"r_1","2","1107","0","2012","260"
"r_1","2","1107","1","2012","279"
"r_1","2","1107","2","2012","202"
"r_1","2","1107","0","2013","309"
"r_1","2","1107","1","2013","345"
"r_1","2","1107","2","2013","195"
"r_1","2","1107","0","2014","331"
"r_1","2","1107","1","2014","365"
"r_1","2","1107","2","2014","221"
"r_1","2","1108","0","2008","145"
"r_1","2","1108","1","2008","169"
"r_1","2","1108","2","2008","91"
"r_1","2","1108","0","2009","150"
"r_1","2","1108","1","2009","173"
"r_1","2","1108","2","2009","96"
"r_1","2","1108","0","2010","153"
"r_1","2","1108","1","2010","169"
"r_1","2","1108","2","2010","110"
"r_1","2","1108","0","2011","162"
"r_1","2","1108","1","2011","181"
"r_1","2","1108","2","2011","113"
"r_1","2","1108","0","2012","179"
"r_1","2","1108","1","2012","198"
"r_1","2","1108","2","2012","121"
"r_1","2","1108","0","2013","192"
"r_1","2","1108","1","2013","215"
"r_1","2","1108","2","2013","121"
"r_1","2","1108","0","2014","198"
"r_1","2","1108","1","2014","219"
"r_1","2","1108","2","2014","132"
"r_1","2","1109","0","2008","120"
"r_1","2","1109","1","2008","148"
"r_1","2","1109","2","2008","56"
"r_1","2","1109","0","2009","129"
"r_1","2","1109","1","2009","155"
"r_1","2","1109","2","2009","66"
"r_1","2","1109","0","2010","114"
"r_1","2","1109","1","2010","133"
"r_1","2","1109","2","2010","64"
"r_1","2","1109","0","2011","121"
"r_1","2","1109","1","2011","141"
"r_1","2","1109","2","2011","66"
"r_1","2","1109","0","2012","167"
"r_1","2","1109","1","2012","194"
"r_1","2","1109","2","2012","87"
"r_1","2","1109","0","2013","202"
"r_1","2","1109","1","2013","238"
"r_1","2","1109","2","2013","89"
"r_1","2","1109","0","2014","211"
"r_1","2","1109","1","2014","239"
"r_1","2","1109","2","2014","120"
"r_1","2","1110","0","2008","120"
"r_1","2","1110","1","2008","140"
"r_1","2","1110","2","2008","74"
"r_1","2","1110","0","2009","120"
"r_1","2","1110","1","2009","135"
"r_1","2","1110","2","2009","83"
"r_1","2","1110","0","2010","121"
"r_1","2","1110","1","2010","132"
"r_1","2","1110","2","2010","94"
"r_1","2","1110","0","2011","136"
"r_1","2","1110","1","2011","153"
"r_1","2","1110","2","2011","90"
"r_1","2","1110","0","2012","160"
"r_1","2","1110","1","2012","179"
"r_1","2","1110","2","2012","102"
"r_1","2","1110","0","2013","186"
"r_1","2","1110","1","2013","211"
"r_1","2","1110","2","2013","106"
"r_1","2","1110","0","2014","198"
"r_1","2","1110","1","2014","220"
"r_1","2","1110","2","2014","127"
"r_1","2","12","0","2008","102"
"r_1","2","12","1","2008","123"
"r_1","2","12","2","2008","53"
"r_1","2","12","0","2009","106"
"r_1","2","12","1","2009","126"
"r_1","2","12","2","2009","57"
"r_1","2","12","0","2010","122"
"r_1","2","12","1","2010","140"
"r_1","2","12","2","2010","73"
"r_1","2","12","0","2011","180"
"r_1","2","12","1","2011","209"
"r_1","2","12","2","2011","100"
"r_1","2","12","0","2012","200"
"r_1","2","12","1","2012","227"
"r_1","2","12","2","2012","120"
"r_1","2","12","0","2013","219"
"r_1","2","12","1","2013","247"
"r_1","2","12","2","2013","130"
"r_1","2","12","0","2014","219"
"r_1","2","12","1","2014","249"
"r_1","2","12","2","2014","122"
"r_1","2","13","0","2008","120"
"r_1","2","13","1","2008","145"
"r_1","2","13","2","2008","64"
"r_1","2","13","0","2009","123"
"r_1","2","13","1","2009","147"
"r_1","2","13","2","2009","67"
"r_1","2","13","0","2010","145"
"r_1","2","13","1","2010","165"
"r_1","2","13","2","2010","90"
"r_1","2","13","0","2011","205"
"r_1","2","13","1","2011","234"
"r_1","2","13","2","2011","126"
"r_1","2","13","0","2012","247"
"r_1","2","13","1","2012","279"
"r_1","2","13","2","2012","154"
"r_1","2","13","0","2013","285"
"r_1","2","13","1","2013","321"
"r_1","2","13","2","2013","170"
"r_1","2","13","0","2014","284"
"r_1","2","13","1","2014","326"
"r_1","2","13","2","2014","150"
"r_1","2","14","0","2008","59"
"r_1","2","14","1","2008","63"
"r_1","2","14","2","2008","51"
"r_1","2","14","0","2009","63"
"r_1","2","14","1","2009","64"
"r_1","2","14","2","2009","62"
"r_1","2","14","0","2010","55"
"r_1","2","14","1","2010","57"
"r_1","2","14","2","2010","51"
"r_1","2","14","0","2011","58"
"r_1","2","14","1","2011","65"
"r_1","2","14","2","2011","37"
"r_1","2","14","0","2012","55"
"r_1","2","14","1","2012","60"
"r_1","2","14","2","2012","42"
