RevisionColumn,NACE2008A21,periods,Ownership,Units,ValueColumn
"r_13","C","2017","2","BGN_tabl","11145"
"r_13","C","2018","total","BGN_tabl","12274"
"r_13","C","2018","1","BGN_tabl","11493"
"r_13","C","2018","2","BGN_tabl","12285"
"r_13","C","2019","total","BGN_tabl","13512"
"r_13","C","2019","1","BGN_tabl","12652"
"r_13","C","2019","2","BGN_tabl","13523"
"r_13","C","2020","total","BGN_tabl","14439"
"r_13","C","2020","1","BGN_tabl","13708"
"r_13","C","2020","2","BGN_tabl","14449"
"r_13","C","2021","total","BGN_tabl","15915"
"r_13","C","2021","1","BGN_tabl","14399"
"r_13","C","2021","2","BGN_tabl","15935"
"r_13","C","2022","total","BGN_tabl","18134"
"r_13","C","2022","1","BGN_tabl","16867"
"r_13","C","2022","2","BGN_tabl","18150"
"r_13","C","2023","total","BGN_tabl","20870"
"r_13","C","2023","1","BGN_tabl","21296"
"r_13","C","2023","2","BGN_tabl","20864"
"r_13","C","2024","total","BGN_tabl","23898"
"r_13","C","2024","1","BGN_tabl","24894"
"r_13","C","2024","2","BGN_tabl","23882"
"r_13","D","2008","total","BGN_tabl","13061"
"r_13","D","2008","1","BGN_tabl","14497"
"r_13","D","2008","2","BGN_tabl","11555"
"r_13","D","2009","total","BGN_tabl","15685"
"r_13","D","2009","1","BGN_tabl","17460"
"r_13","D","2009","2","BGN_tabl","13873"
"r_13","D","2010","total","BGN_tabl","16651"
"r_13","D","2010","1","BGN_tabl","18933"
"r_13","D","2010","2","BGN_tabl","14493"
"r_13","D","2011","total","BGN_tabl","17600"
"r_13","D","2011","1","BGN_tabl","20499"
"r_13","D","2011","2","BGN_tabl","15067"
"r_13","D","2012","total","BGN_tabl","18552"
"r_13","D","2012","1","BGN_tabl","21922"
"r_13","D","2012","2","BGN_tabl","15386"
"r_13","D","2013","total","BGN_tabl","18546"
"r_13","D","2013","1","BGN_tabl","21772"
"r_13","D","2013","2","BGN_tabl","15642"
"r_13","D","2014","total","BGN_tabl","19012"
"r_13","D","2014","1","BGN_tabl","22465"
"r_13","D","2014","2","BGN_tabl","15796"
"r_13","D","2015","total","BGN_tabl","19773"
"r_13","D","2015","1","BGN_tabl","23322"
"r_13","D","2015","2","BGN_tabl","16376"
"r_13","D","2016","total","BGN_tabl","20076"
"r_13","D","2016","1","BGN_tabl","23679"
"r_13","D","2016","2","BGN_tabl","16761"
"r_13","D","2017","total","BGN_tabl","21411"
"r_13","D","2017","1","BGN_tabl","24773"
"r_13","D","2017","2","BGN_tabl","18229"
"r_13","D","2018","total","BGN_tabl","22703"
"r_13","D","2018","1","BGN_tabl","26085"
"r_13","D","2018","2","BGN_tabl","19514"
"r_13","D","2019","total","BGN_tabl","24513"
"r_13","D","2019","1","BGN_tabl","27908"
"r_13","D","2019","2","BGN_tabl","21230"
"r_13","D","2020","total","BGN_tabl","26134"
"r_13","D","2020","1","BGN_tabl","29765"
"r_13","D","2020","2","BGN_tabl","22630"
"r_13","D","2021","total","BGN_tabl","27784"
"r_13","D","2021","1","BGN_tabl","32073"
"r_13","D","2021","2","BGN_tabl","23873"
"r_13","D","2022","total","BGN_tabl","33149"
"r_13","D","2022","1","BGN_tabl","38551"
"r_13","D","2022","2","BGN_tabl","28233"
"r_13","D","2023","total","BGN_tabl","38358"
"r_13","D","2023","1","BGN_tabl","45030"
"r_13","D","2023","2","BGN_tabl","32283"
"r_13","D","2024","total","BGN_tabl","41631"
"r_13","D","2024","1","BGN_tabl","50461"
"r_13","D","2024","2","BGN_tabl","33613"
"r_13","E","2008","total","BGN_tabl","6693"
"r_13","E","2008","1","BGN_tabl","6637"
"r_13","E","2008","2","BGN_tabl","6784"
"r_13","E","2009","total","BGN_tabl","7294"
"r_13","E","2009","1","BGN_tabl","7350"
"r_13","E","2009","2","BGN_tabl","7201"
"r_13","E","2010","total","BGN_tabl","7654"
"r_13","E","2010","1","BGN_tabl","7511"
"r_13","E","2010","2","BGN_tabl","7865"
"r_13","E","2011","total","BGN_tabl","7965"
"r_13","E","2011","1","BGN_tabl","7929"
"r_13","E","2011","2","BGN_tabl","8014"
"r_13","E","2012","total","BGN_tabl","8110"
"r_13","E","2012","1","BGN_tabl","7871"
"r_13","E","2012","2","BGN_tabl","8436"
"r_13","E","2013","total","BGN_tabl","8585"
"r_13","E","2013","1","BGN_tabl","8636"
"r_13","E","2013","2","BGN_tabl","8512"
"r_13","E","2014","total","BGN_tabl","9042"
"r_13","E","2014","1","BGN_tabl","9099"
"r_13","E","2014","2","BGN_tabl","8959"
"r_13","E","2015","total","BGN_tabl","9374"
