RevisionColumn,periods,Units,EKATTE,Residence,ValueColumn
"r_1","2012","num","VID01","1","8"
"r_1","2012","num","VID01","2","-"
"r_1","2013","num","VID01","0","9"
"r_1","2013","num","VID01","1","9"
"r_1","2013","num","VID01","2","-"
"r_1","2014","num","VID01","0","5"
"r_1","2014","num","VID01","1","5"
"r_1","2014","num","VID01","2","-"
"r_1","2000","num","VID03","0","-"
"r_1","2000","num","VID03","1","-"
"r_1","2000","num","VID03","2","-"
"r_1","2001","num","VID03","0","-"
"r_1","2001","num","VID03","1","-"
"r_1","2001","num","VID03","2","-"
"r_1","2002","num","VID03","0","-"
"r_1","2002","num","VID03","1","-"
"r_1","2002","num","VID03","2","-"
"r_1","2003","num","VID03","0","2"
"r_1","2003","num","VID03","1","-"
"r_1","2003","num","VID03","2","2"
"r_1","2004","num","VID03","0","3"
"r_1","2004","num","VID03","1","-"
"r_1","2004","num","VID03","2","3"
"r_1","2005","num","VID03","0","4"
"r_1","2005","num","VID03","1","-"
"r_1","2005","num","VID03","2","4"
"r_1","2006","num","VID03","0","2"
"r_1","2006","num","VID03","1","-"
"r_1","2006","num","VID03","2","2"
"r_1","2007","num","VID03","0","4"
"r_1","2007","num","VID03","1","-"
"r_1","2007","num","VID03","2","4"
"r_1","2008","num","VID03","0","1"
"r_1","2008","num","VID03","1","-"
"r_1","2008","num","VID03","2","1"
"r_1","2009","num","VID03","0","1"
"r_1","2009","num","VID03","1","-"
"r_1","2009","num","VID03","2","1"
"r_1","2010","num","VID03","0","-"
"r_1","2010","num","VID03","1","-"
"r_1","2010","num","VID03","2","-"
"r_1","2011","num","VID03","0","1"
"r_1","2011","num","VID03","1","-"
"r_1","2011","num","VID03","2","1"
"r_1","2012","num","VID03","0","3"
"r_1","2012","num","VID03","1","-"
"r_1","2012","num","VID03","2","3"
"r_1","2013","num","VID03","0","-"
"r_1","2013","num","VID03","1","-"
"r_1","2013","num","VID03","2","-"
"r_1","2014","num","VID03","0","1"
"r_1","2014","num","VID03","1","-"
"r_1","2014","num","VID03","2","1"
"r_1","2000","num","VID06","0","8"
"r_1","2000","num","VID06","1","3"
"r_1","2000","num","VID06","2","5"
"r_1","2001","num","VID06","0","7"
"r_1","2001","num","VID06","1","3"
"r_1","2001","num","VID06","2","4"
"r_1","2002","num","VID06","0","8"
"r_1","2002","num","VID06","1","7"
"r_1","2002","num","VID06","2","1"
"r_1","2003","num","VID06","0","13"
"r_1","2003","num","VID06","1","5"
"r_1","2003","num","VID06","2","8"
"r_1","2004","num","VID06","0","20"
"r_1","2004","num","VID06","1","11"
"r_1","2004","num","VID06","2","9"
"r_1","2005","num","VID06","0","15"
"r_1","2005","num","VID06","1","9"
"r_1","2005","num","VID06","2","6"
"r_1","2006","num","VID06","0","5"
"r_1","2006","num","VID06","1","3"
"r_1","2006","num","VID06","2","2"
"r_1","2007","num","VID06","0","17"
"r_1","2007","num","VID06","1","9"
"r_1","2007","num","VID06","2","8"
"r_1","2008","num","VID06","0","9"
"r_1","2008","num","VID06","1","1"
"r_1","2008","num","VID06","2","8"
"r_1","2009","num","VID06","0","12"
"r_1","2009","num","VID06","1","5"
"r_1","2009","num","VID06","2","7"
"r_1","2010","num","VID06","0","4"
"r_1","2010","num","VID06","1","1"
"r_1","2010","num","VID06","2","3"
"r_1","2011","num","VID06","0","6"
"r_1","2011","num","VID06","1","3"
"r_1","2011","num","VID06","2","3"
"r_1","2012","num","VID06","0","6"
"r_1","2012","num","VID06","1","2"
"r_1","2012","num","VID06","2","4"
"r_1","2013","num","VID06","0","12"
"r_1","2013","num","VID06","1","5"
"r_1","2013","num","VID06","2","7"
"r_1","2014","num","VID06","0","4"
"r_1","2014","num","VID06","1","3"
"r_1","2014","num","VID06","2","1"
"r_1","2000","num","VID09","0","153"
"r_1","2000","num","VID09","1","140"
"r_1","2000","num","VID09","2","13"
"r_1","2001","num","VID09","0","120"
"r_1","2001","num","VID09","1","110"
"r_1","2001","num","VID09","2","10"
"r_1","2002","num","VID09","0","179"
"r_1","2002","num","VID09","1","157"
"r_1","2002","num","VID09","2","22"
"r_1","2003","num","VID09","0","185"
"r_1","2003","num","VID09","1","167"
"r_1","2003","num","VID09","2","18"
"r_1","2004","num","VID09","0","278"
"r_1","2004","num","VID09","1","249"
"r_1","2004","num","VID09","2","29"
"r_1","2005","num","VID09","0","234"
"r_1","2005","num","VID09","1","206"
"r_1","2005","num","VID09","2","28"
"r_1","2006","num","VID09","0","218"
"r_1","2006","num","VID09","1","201"
"r_1","2006","num","VID09","2","17"
"r_1","2007","num","VID09","0","164"
"r_1","2007","num","VID09","1","149"
"r_1","2007","num","VID09","2","15"
"r_1","2008","num","VID09","0","157"
"r_1","2008","num","VID09","1","140"
"r_1","2008","num","VID09","2","17"
"r_1","2009","num","VID09","0","139"
"r_1","2009","num","VID09","1","127"
"r_1","2009","num","VID09","2","12"
"r_1","2010","num","VID09","0","111"
"r_1","2010","num","VID09","1","103"
"r_1","2010","num","VID09","2","8"
"r_1","2011","num","VID09","0","85"
"r_1","2011","num","VID09","1","79"
"r_1","2011","num","VID09","2","6"
"r_1","2012","num","VID09","0","103"
"r_1","2012","num","VID09","1","90"
"r_1","2012","num","VID09","2","13"
"r_1","2013","num","VID09","0","99"
"r_1","2013","num","VID09","1","89"
"r_1","2013","num","VID09","2","10"
"r_1","2014","num","VID09","0","90"
"r_1","2014","num","VID09","1","80"
"r_1","2014","num","VID09","2","10"
"r_1","2000","num","VID15","0","2"
"r_1","2000","num","VID15","1","1"
"r_1","2000","num","VID15","2","1"
"r_1","2001","num","VID15","0","1"
"r_1","2001","num","VID15","1","1"
"r_1","2001","num","VID15","2","-"
"r_1","2002","num","VID15","0","3"
"r_1","2002","num","VID15","1","3"
"r_1","2002","num","VID15","2","-"
"r_1","2003","num","VID15","0","-"
"r_1","2003","num","VID15","1","-"
"r_1","2003","num","VID15","2","-"
"r_1","2004","num","VID15","0","5"
"r_1","2004","num","VID15","1","2"
"r_1","2004","num","VID15","2","3"
"r_1","2005","num","VID15","0","7"
"r_1","2005","num","VID15","1","6"
"r_1","2005","num","VID15","2","1"
"r_1","2006","num","VID15","0","4"
"r_1","2006","num","VID15","1","1"
"r_1","2006","num","VID15","2","3"
"r_1","2007","num","VID15","0","2"
"r_1","2007","num","VID15","1","2"
