RevisionColumn,SILC_Activity,SILC_Age,SILC_Median,Units,periods,ValueColumn
"r_5","4","2","6","BGN_fig","2016","6300"
"r_5","4","3","6","BGN_fig","2016","5000"
"r_5","5","2","5","euro","2016","3404"
"r_5","5","2","5","BGN_fig","2016","6658"
"r_5","5","2","6","euro","2016","2665"
"r_5","5","2","6","BGN_fig","2016","5213"
"r_6","1","2","5","euro","2017","5805"
"r_6","1","3","5","euro","2017","7635"
"r_6","1","2","5","BGN_fig","2017","11354"
"r_6","1","3","5","BGN_fig","2017","14933"
"r_6","1","2","6","euro","2017","4537"
"r_6","1","3","6","euro","2017","5602"
"r_6","1","2","6","BGN_fig","2017","8874"
"r_6","1","3","6","BGN_fig","2017","10956"
"r_6","2","2","5","euro","2017","3561"
"r_6","2","3","5","euro","2017","3187"
"r_6","2","2","5","BGN_fig","2017","6965"
"r_6","2","3","5","BGN_fig","2017","6233"
"r_6","2","2","6","euro","2017","2640"
"r_6","2","3","6","euro","2017","2605"
"r_6","2","2","6","BGN_fig","2017","5163"
"r_6","2","3","6","BGN_fig","2017","5095"
"r_6","3","2","5","euro","2017","2491"
"r_6","3","2","5","BGN_fig","2017","4871"
"r_6","3","2","6","euro","2017","1829"
"r_6","3","2","6","BGN_fig","2017","3576"
"r_6","4","2","5","euro","2017","4339"
"r_6","4","3","5","euro","2017","3210"
"r_6","4","2","5","BGN_fig","2017","8487"
"r_6","4","3","5","BGN_fig","2017","6278"
"r_6","4","2","6","euro","2017","3598"
"r_6","4","3","6","euro","2017","2628"
"r_6","4","2","6","BGN_fig","2017","7036"
"r_6","4","3","6","BGN_fig","2017","5140"
"r_6","5","2","5","euro","2017","4125"
"r_6","5","2","5","BGN_fig","2017","8067"
"r_6","5","2","6","euro","2017","2985"
"r_6","5","2","6","BGN_fig","2017","5838"
"r_7","1","2","5","euro","2018","5734"
"r_7","1","3","5","euro","2018","7165"
"r_7","1","2","5","BGN_fig","2018","11214"
"r_7","1","3","5","BGN_fig","2018","14013"
"r_7","1","2","6","euro","2018","4493"
"r_7","1","3","6","euro","2018","5595"
"r_7","1","2","6","BGN_fig","2018","8787"
"r_7","1","3","6","BGN_fig","2018","10942"
"r_7","2","2","5","euro","2018","3641"
"r_7","2","3","5","euro","2018","3342"
"r_7","2","2","5","BGN_fig","2018","7121"
"r_7","2","3","5","BGN_fig","2018","6537"
"r_7","2","2","6","euro","2018","2773"
"r_7","2","3","6","euro","2018","2749"
"r_7","2","2","6","BGN_fig","2018","5424"
"r_7","2","3","6","BGN_fig","2018","5377"
"r_7","3","2","5","euro","2018","2383"
"r_7","3","2","5","BGN_fig","2018","4660"
"r_7","3","2","6","euro","2018","1853"
"r_7","3","2","6","BGN_fig","2018","3624"
"r_7","4","2","5","euro","2018","4361"
"r_7","4","3","5","euro","2018","3370"
"r_7","4","2","5","BGN_fig","2018","8530"
"r_7","4","3","5","BGN_fig","2018","6591"
"r_7","4","2","6","euro","2018","3652"
"r_7","4","3","6","euro","2018","2766"
"r_7","4","2","6","BGN_fig","2018","7142"
"r_7","4","3","6","BGN_fig","2018","5410"
"r_7","5","2","5","euro","2018","4353"
"r_7","5","2","5","BGN_fig","2018","8513"
"r_7","5","2","6","euro","2018","3205"
"r_7","5","2","6","BGN_fig","2018","6269"
"r_8","1","2","5","euro","2019","7001"
"r_8","1","3","5","euro","2019","7669"
"r_8","1","2","5","BGN_fig","2019","13692"
"r_8","1","3","5","BGN_fig","2019","14998"
"r_8","1","2","6","euro","2019","5289"
"r_8","1","3","6","euro","2019","6350"
"r_8","1","2","6","BGN_fig","2019","10344"
"r_8","1","3","6","BGN_fig","2019","12419"
"r_8","2","2","5","euro","2019","4121"
"r_8","2","3","5","euro","2019","3729"
"r_8","2","2","5","BGN_fig","2019","8060"
"r_8","2","3","5","BGN_fig","2019","7294"
"r_8","2","2","6","euro","2019","3213"
"r_8","2","3","6","euro","2019","2954"
"r_8","2","2","6","BGN_fig","2019","6284"
"r_8","2","3","6","BGN_fig","2019","5778"
"r_8","3","2","5","euro","2019","2812"
"r_8","3","2","5","BGN_fig","2019","5499"
"r_8","3","2","6","euro","2019","2127"
"r_8","3","2","6","BGN_fig","2019","4160"
"r_8","4","2","5","euro","2019","4945"
"r_8","4","3","5","euro","2019","3757"
"r_8","4","2","5","BGN_fig","2019","9672"
"r_8","4","3","5","BGN_fig","2019","7347"
"r_8","4","2","6","euro","2019","4150"
"r_8","4","3","6","euro","2019","2974"
"r_8","4","2","6","BGN_fig","2019","8116"
"r_8","4","3","6","BGN_fig","2019","5817"
"r_8","5","2","5","euro","2019","4716"
"r_8","5","2","5","BGN_fig","2019","9224"
"r_8","5","2","6","euro","2019","3679"
"r_8","5","2","6","BGN_fig","2019","7195"
"r_9","1","2","5","euro","2020","7412"
"r_9","1","3","5","euro","2020","8235"
"r_9","1","2","5","BGN_fig","2020","14496"
"r_9","1","3","5","BGN_fig","2020","16106"
"r_9","1","2","6","euro","2020","5709"
"r_9","1","3","6","euro","2020","6428"
