RevisionColumn,NUTS,periods,ValueColumn
"r_12","BG315","2023","30.898069054"
"r_12","BG312","2023","36.402547761"
"r_12","BG314","2023","33.081524246"
"r_12","BG32","2023","32.711632609"
"r_12","BG321","2023","32.788272424"
"r_12","BG322","2023","24.301548982"
"r_12","BG324","2023","28.984619986"
"r_12","BG323","2023","35.577856235"
"r_12","BG325","2023","33.884639741"
"r_12","BG33","2023","34.725948688"
"r_12","BG331","2023","33.129243401"
"r_12","BG332","2023","41.185388382"
"r_12","BG334","2023","34.661561798"
"r_12","BG333","2023","28.551258293"
"r_12","BG34","2023","32.8229601"
"r_12","BG341","2023","29.686291629"
"r_12","BG342","2023","31.896902272"
"r_12","BG344","2023","35.612236898"
"r_12","BG343","2023","34.190527004"
"r_12","BG41","2023","38.39769712"
"r_12","BG413","2023","27.563135423"
"r_12","BG415","2023","32.755367572"
"r_12","BG414","2023","25.702658121"
"r_12","BG412","2023","30.9"
"r_12","BG411","2023","37.9"
"r_12","BG42","2023","34.859741582"
"r_12","BG425","2023","32.67872332"
"r_12","BG423","2023","33.604526948"
"r_12","BG421","2023","37.780941316"
"r_12","BG424","2023","27.737870006"
"r_12","BG422","2023","30.039682768"
"r_11","BG","2022","38.4"
"r_11","BG31","2022","40"
"r_11","BG311","2022","37.5"
"r_11","BG313","2022","44.5"
"r_11","BG315","2022","33.9"
"r_11","BG312","2022","43.2"
"r_11","BG314","2022","36.9"
"r_11","BG32","2022","32.1"
"r_11","BG321","2022","30.8"
"r_11","BG322","2022","30.8"
"r_11","BG324","2022","27.6"
"r_11","BG323","2022","34.2"
"r_11","BG325","2022","32.5"
"r_11","BG33","2022","34"
"r_11","BG331","2022","33.5"
"r_11","BG332","2022","33.6"
"r_11","BG334","2022","30.7"
"r_11","BG333","2022","33.8"
"r_11","BG34","2022","37.4"
"r_11","BG341","2022","37.9"
"r_11","BG342","2022","35.8"
"r_11","BG344","2022","37.8"
"r_11","BG343","2022","33.7"
"r_11","BG41","2022","39.4"
"r_11","BG413","2022","32.1"
"r_11","BG415","2022","36.8"
"r_11","BG414","2022","32.6"
"r_11","BG412","2022","30.3"
"r_11","BG411","2022","38.8"
"r_11","BG42","2022","34.5"
"r_11","BG425","2022","31.5"
"r_11","BG423","2022","37.4"
"r_11","BG421","2022","34.5"
"r_11","BG424","2022","36.9"
"r_11","BG422","2022","31.1"
"r_13","BG","2024","38.4"
"r_13","BG31","2024","38.5"
"r_13","BG311","2024","35.2"
"r_13","BG313","2024","37.8"
"r_13","BG315","2024","33.4"
"r_13","BG312","2024","34.7"
"r_13","BG314","2024","41.9"
"r_13","BG32","2024","31.6"
"r_13","BG321","2024","27.3"
"r_13","BG322","2024","25.2"
"r_13","BG324","2024","31.8"
"r_13","BG323","2024","32.2"
"r_13","BG325","2024","39.6"
"r_13","BG33","2024","36.8"
"r_13","BG331","2024","37.1"
"r_13","BG332","2024","38.3"
"r_13","BG334","2024","36.5"
"r_13","BG333","2024","29.5"
"r_13","BG34","2024","33.7"
"r_13","BG341","2024","31.7"
"r_13","BG342","2024","37.9"
"r_13","BG344","2024","34.6"
"r_13","BG343","2024","28.5"
"r_13","BG41","2024","39.4"
"r_13","BG413","2024","28.6"
"r_13","BG415","2024","31.1"
"r_13","BG414","2024","28.2"
"r_13","BG412","2024","34.4"
"r_13","BG411","2024","39.3"
"r_13","BG42","2024","34.2"
"r_13","BG425","2024","30.9"
"r_13","BG423","2024","34.3"
"r_13","BG421","2024","35.8"
"r_13","BG424","2024","31.1"
"r_13","BG422","2024","30.9"
