RevisionColumn,NACE2008A21,Units,periods,GenderID,ValueColumn
"r_3","B","1000cp","2015Q3","1","22.6"
"r_3","B","1000cp","2015Q3","2","(3.9)"
"r_3","B","1000cp","2015Q4","0","27.6"
"r_3","B","1000cp","2015Q4","1","22.6"
"r_3","B","1000cp","2015Q4","2","(5.0)"
"r_3","C","1000cp","2008Q1","0","766.9"
"r_3","C","1000cp","2008Q1","1","381.5"
"r_3","C","1000cp","2008Q1","2","385.4"
"r_3","C","1000cp","2008Q2","0","784.4"
"r_3","C","1000cp","2008Q2","1","386"
"r_3","C","1000cp","2008Q2","2","398.3"
"r_3","C","1000cp","2008Q3","0","770.7"
"r_3","C","1000cp","2008Q3","1","373.9"
"r_3","C","1000cp","2008Q3","2","396.9"
"r_3","C","1000cp","2008Q4","0","756.7"
"r_3","C","1000cp","2008Q4","1","380.3"
"r_3","C","1000cp","2008Q4","2","376.4"
"r_3","C","1000cp","2009Q1","0","741.2"
"r_3","C","1000cp","2009Q1","1","372.4"
"r_3","C","1000cp","2009Q1","2","368.8"
"r_3","C","1000cp","2009Q2","0","729.1"
"r_3","C","1000cp","2009Q2","1","359.1"
"r_3","C","1000cp","2009Q2","2","370"
"r_3","C","1000cp","2009Q3","0","707.5"
"r_3","C","1000cp","2009Q3","1","357.9"
"r_3","C","1000cp","2009Q3","2","349.6"
"r_3","C","1000cp","2009Q4","0","678"
"r_3","C","1000cp","2009Q4","1","343.1"
"r_3","C","1000cp","2009Q4","2","334.9"
"r_3","C","1000cp","2010Q1","0","647.6"
"r_3","C","1000cp","2010Q1","1","337"
"r_3","C","1000cp","2010Q1","2","310.7"
"r_3","C","1000cp","2010Q2","0","649.4"
"r_3","C","1000cp","2010Q2","1","338.5"
"r_3","C","1000cp","2010Q2","2","311"
"r_3","C","1000cp","2010Q3","0","617.3"
"r_3","C","1000cp","2010Q3","1","323.2"
"r_3","C","1000cp","2010Q3","2","294.2"
"r_3","C","1000cp","2010Q4","0","611.1"
"r_3","C","1000cp","2010Q4","1","318.8"
"r_3","C","1000cp","2010Q4","2","292.4"
"r_3","C","1000cp","2011Q1","0","584.3"
"r_3","C","1000cp","2011Q1","1","300.7"
"r_3","C","1000cp","2011Q1","2","283.6"
"r_3","C","1000cp","2011Q2","0","578.1"
"r_3","C","1000cp","2011Q2","1","290.7"
"r_3","C","1000cp","2011Q2","2","287.4"
"r_3","C","1000cp","2011Q3","0","599.5"
"r_3","C","1000cp","2011Q3","1","314.1"
"r_3","C","1000cp","2011Q3","2","285.4"
"r_3","C","1000cp","2011Q4","0","610.2"
"r_3","C","1000cp","2011Q4","1","314.2"
"r_3","C","1000cp","2011Q4","2","296"
"r_3","C","1000cp","2012Q1","0","605.5"
"r_3","C","1000cp","2012Q1","1","306.5"
"r_3","C","1000cp","2012Q1","2","299"
"r_3","C","1000cp","2012Q2","0","594.5"
"r_3","C","1000cp","2012Q2","1","297"
"r_3","C","1000cp","2012Q2","2","297.6"
"r_3","C","1000cp","2012Q3","0","615.6"
"r_3","C","1000cp","2012Q3","1","308.5"
"r_3","C","1000cp","2012Q3","2","307.1"
"r_3","C","1000cp","2012Q4","0","598.5"
"r_3","C","1000cp","2012Q4","1","296.4"
"r_3","C","1000cp","2012Q4","2","302.1"
"r_3","C","1000cp","2013Q1","0","578.3"
"r_3","C","1000cp","2013Q1","1","290.6"
"r_3","C","1000cp","2013Q1","2","287.8"
"r_3","C","1000cp","2013Q2","0","573.8"
"r_3","C","1000cp","2013Q2","1","293.1"
"r_3","C","1000cp","2013Q2","2","280.7"
"r_3","C","1000cp","2013Q3","0","584.4"
"r_3","C","1000cp","2013Q3","1","297.5"
"r_3","C","1000cp","2013Q3","2","286.9"
"r_3","C","1000cp","2013Q4","0","569.3"
"r_3","C","1000cp","2013Q4","1","289.5"
"r_3","C","1000cp","2013Q4","2","279.8"
"r_3","C","1000cp","2014Q1","0","562.1"
"r_3","C","1000cp","2014Q1","1","285.1"
"r_3","C","1000cp","2014Q1","2","276.9"
"r_3","C","1000cp","2014Q2","0","583"
"r_3","C","1000cp","2014Q2","1","301.8"
"r_3","C","1000cp","2014Q2","2","281.2"
"r_3","C","1000cp","2014Q3","0","600.3"
"r_3","C","1000cp","2014Q3","1","312.7"
"r_3","C","1000cp","2014Q3","2","287.6"
"r_3","C","1000cp","2014Q4","0","592.8"
"r_3","C","1000cp","2014Q4","1","306.3"
"r_3","C","1000cp","2014Q4","2","286.5"
"r_3","C","1000cp","2015Q1","0","586.7"
"r_3","C","1000cp","2015Q1","1","309"
"r_3","C","1000cp","2015Q1","2","277.7"
"r_3","C","1000cp","2015Q2","0","596.4"
"r_3","C","1000cp","2015Q2","1","309.8"
"r_3","C","1000cp","2015Q2","2","286.6"
"r_3","C","1000cp","2015Q3","0","599.3"
"r_3","C","1000cp","2015Q3","1","304.2"
"r_3","C","1000cp","2015Q3","2","295.1"
"r_3","C","1000cp","2015Q4","0","608.2"
"r_3","C","1000cp","2015Q4","1","315"
"r_3","C","1000cp","2015Q4","2","293.1"
"r_3","D","1000cp","2008Q1","0","43.2"
"r_3","D","1000cp","2008Q1","1","33"
"r_3","D","1000cp","2008Q1","2","10.2"
"r_3","D","1000cp","2008Q2","0","42.4"
"r_3","D","1000cp","2008Q2","1","32.6"
"r_3","D","1000cp","2008Q2","2","9.8"
"r_3","D","1000cp","2008Q3","0","43.1"
"r_3","D","1000cp","2008Q3","1","32.4"
"r_3","D","1000cp","2008Q3","2","10.7"
"r_3","D","1000cp","2008Q4","0","39.9"
"r_3","D","1000cp","2008Q4","1","29.6"
"r_3","D","1000cp","2008Q4","2","10.4"
"r_3","D","1000cp","2009Q1","0","40.5"
"r_3","D","1000cp","2009Q1","1","31.3"
"r_3","D","1000cp","2009Q1","2","9.2"
"r_3","D","1000cp","2009Q2","0","42.4"
"r_3","D","1000cp","2009Q2","1","34"
"r_3","D","1000cp","2009Q2","2","8.4"
"r_3","D","1000cp","2009Q3","0","40.6"
"r_3","D","1000cp","2009Q3","1","30.8"
"r_3","D","1000cp","2009Q3","2","9.8"
"r_3","D","1000cp","2009Q4","0","41.2"
"r_3","D","1000cp","2009Q4","1","31.1"
"r_3","D","1000cp","2009Q4","2","10.1"
"r_3","D","1000cp","2010Q1","0","43.2"
"r_3","D","1000cp","2010Q1","1","34"
"r_3","D","1000cp","2010Q1","2","9.2"
"r_3","D","1000cp","2010Q2","0","45.2"
"r_3","D","1000cp","2010Q2","1","37.3"
"r_3","D","1000cp","2010Q2","2","8"
"r_3","D","1000cp","2010Q3","0","41.9"
"r_3","D","1000cp","2010Q3","1","34.9"
"r_3","D","1000cp","2010Q3","2","7.1"
"r_3","D","1000cp","2010Q4","0","39.2"
"r_3","D","1000cp","2010Q4","1","30.9"
"r_3","D","1000cp","2010Q4","2","8.3"
"r_3","D","1000cp","2011Q1","0","45.5"
"r_3","D","1000cp","2011Q1","1","35"
"r_3","D","1000cp","2011Q1","2","10.5"
"r_3","D","1000cp","2011Q2","0","45.5"
"r_3","D","1000cp","2011Q2","1","35.4"
"r_3","D","1000cp","2011Q2","2","10.1"
"r_3","D","1000cp","2011Q3","0","42.6"
"r_3","D","1000cp","2011Q3","1","35.1"
"r_3","D","1000cp","2011Q3","2","7.6"
"r_3","D","1000cp","2011Q4","0","38"
"r_3","D","1000cp","2011Q4","1","30.6"
"r_3","D","1000cp","2011Q4","2","7.4"
"r_3","D","1000cp","2012Q1","0","40.8"
"r_3","D","1000cp","2012Q1","1","31.3"
"r_3","D","1000cp","2012Q1","2","9.5"
"r_3","D","1000cp","2012Q2","0","45.7"
"r_3","D","1000cp","2012Q2","1","34"
"r_3","D","1000cp","2012Q2","2","11.8"
"r_3","D","1000cp","2012Q3","0","44.5"
"r_3","D","1000cp","2012Q3","1","33.9"
"r_3","D","1000cp","2012Q3","2","10.5"
"r_3","D","1000cp","2012Q4","0","45.7"
"r_3","D","1000cp","2012Q4","1","36.5"
"r_3","D","1000cp","2012Q4","2","9.2"
"r_3","D","1000cp","2013Q1","0","41"
"r_3","D","1000cp","2013Q1","1","32.2"
"r_3","D","1000cp","2013Q1","2","8.9"
"r_3","D","1000cp","2013Q2","0","39.6"
"r_3","D","1000cp","2013Q2","1","29.7"
"r_3","D","1000cp","2013Q2","2","9.9"
"r_3","D","1000cp","2013Q3","0","39.6"
"r_3","D","1000cp","2013Q3","1","31"
"r_3","D","1000cp","2013Q3","2","8.6"
"r_3","D","1000cp","2013Q4","0","39.4"
"r_3","D","1000cp","2013Q4","1","30.3"
"r_3","D","1000cp","2013Q4","2","9.1"
"r_3","D","1000cp","2014Q1","0","39.1"
"r_3","D","1000cp","2014Q1","1","30.5"
"r_3","D","1000cp","2014Q1","2","8.6"
"r_3","D","1000cp","2014Q2","0","35.4"
"r_3","D","1000cp","2014Q2","1","28.6"
"r_3","D","1000cp","2014Q2","2","6.8"
"r_3","D","1000cp","2014Q3","0","36.6"
"r_3","D","1000cp","2014Q3","1","28.4"
"r_3","D","1000cp","2014Q3","2","8.1"
"r_3","D","1000cp","2014Q4","0","37.3"
"r_3","D","1000cp","2014Q4","1","30.2"
"r_3","D","1000cp","2014Q4","2","7"
"r_3","D","1000cp","2015Q1","0","38.7"
"r_3","D","1000cp","2015Q1","1","32.4"
