RevisionColumn,periods,Units,Indicators,NUTS,ValueColumn
"r_2","2015IX","num","3.5.2.1.1","BG322","7842"
"r_2","2015IX","num","3.5.2.1.2","BG322","988"
"r_2","2015IX","BGN_tabl","3.5.2.3","BG322","502464"
"r_2","2015IX","BGN_tabl","3.5.2.3.1","BG322","428449"
"r_2","2015IX","BGN_tabl","3.5.2.3.2","BG322","74015"
"r_2","2015IX","num","3.5.2.5","BG324","16"
"r_2","2015IX","num","3.5.2.4","BG324","609"
"r_2","2015IX","num","3.5.2.6","BG324","18270"
"r_2","2015IX","num","3.5.2.2","BG324","3982"
"r_2","2015IX","num","3.5.2.2.1","BG324","3599"
"r_2","2015IX","num","3.5.2.2.2","BG324","383"
"r_2","2015IX","num","3.5.2.1","BG324","2276"
"r_2","2015IX","num","3.5.2.1.1","BG324","2060"
"r_2","2015IX","num","3.5.2.1.2","BG324","216"
"r_2","2015IX","BGN_tabl","3.5.2.3","BG324","142237"
"r_2","2015IX","BGN_tabl","3.5.2.3.1","BG324","128116"
"r_2","2015IX","BGN_tabl","3.5.2.3.2","BG324","14121"
"r_2","2015IX","num","3.5.2.5","BG323","46"
"r_2","2015IX","num","3.5.2.4","BG323","1819"
"r_2","2015IX","num","3.5.2.6","BG323","54570"
"r_2","2015IX","num","3.5.2.2","BG323","14729"
"r_2","2015IX","num","3.5.2.2.1","BG323","10328"
"r_2","2015IX","num","3.5.2.2.2","BG323","4401"
"r_2","2015IX","num","3.5.2.1","BG323","8031"
"r_2","2015IX","num","3.5.2.1.1","BG323","5728"
"r_2","2015IX","num","3.5.2.1.2","BG323","2303"
"r_2","2015IX","BGN_tabl","3.5.2.3","BG323","665917"
"r_2","2015IX","BGN_tabl","3.5.2.3.1","BG323","420500"
"r_2","2015IX","BGN_tabl","3.5.2.3.2","BG323","245417"
"r_2","2015IX","num","3.5.2.5","BG325","20"
"r_2","2015IX","num","3.5.2.4","BG325","632"
"r_2","2015IX","num","3.5.2.6","BG325","19020"
"r_2","2015IX","num","3.5.2.2","BG325","3044"
"r_2","2015IX","num","3.5.2.2.1","BG325","2321"
"r_2","2015IX","num","3.5.2.2.2","BG325","723"
"r_2","2015IX","num","3.5.2.1","BG325","2217"
"r_2","2015IX","num","3.5.2.1.1","BG325","1753"
"r_2","2015IX","num","3.5.2.1.2","BG325","464"
"r_2","2015IX","BGN_tabl","3.5.2.3","BG325","126358"
"r_2","2015IX","BGN_tabl","3.5.2.3.1","BG325","94206"
"r_2","2015IX","BGN_tabl","3.5.2.3.2","BG325","32152"
"r_2","2015IX","num","3.5.2.5","BG33","498"
