RevisionColumn,PlaceResidence,Units,periods,GenderID,ValueColumn
"r_2","2","1000cp","2007Q1","1","441.6"
"r_2","2","1000cp","2007Q1","2","340.9"
"r_2","0","1000cp","2007Q2","0","3490.9"
"r_2","0","1000cp","2007Q2","1","1849.1"
"r_2","0","1000cp","2007Q2","2","1641.9"
"r_2","1","1000cp","2007Q2","0","2665.9"
"r_2","1","1000cp","2007Q2","1","1386.8"
"r_2","1","1000cp","2007Q2","2","1279.2"
"r_2","2","1000cp","2007Q2","0","825"
"r_2","2","1000cp","2007Q2","1","462.3"
"r_2","2","1000cp","2007Q2","2","362.7"
"r_2","0","1000cp","2007Q3","0","3550.6"
"r_2","0","1000cp","2007Q3","1","1878.6"
"r_2","0","1000cp","2007Q3","2","1672"
"r_2","1","1000cp","2007Q3","0","2704.6"
"r_2","1","1000cp","2007Q3","1","1409.7"
"r_2","1","1000cp","2007Q3","2","1294.9"
"r_2","2","1000cp","2007Q3","0","845.9"
"r_2","2","1000cp","2007Q3","1","468.9"
"r_2","2","1000cp","2007Q3","2","377.1"
"r_2","0","1000cp","2007Q4","0","3521.8"
"r_2","0","1000cp","2007Q4","1","1875.3"
"r_2","0","1000cp","2007Q4","2","1646.5"
"r_2","1","1000cp","2007Q4","0","2694.3"
"r_2","1","1000cp","2007Q4","1","1411.6"
"r_2","1","1000cp","2007Q4","2","1282.7"
"r_2","2","1000cp","2007Q4","0","827.4"
"r_2","2","1000cp","2007Q4","1","463.7"
"r_2","2","1000cp","2007Q4","2","363.8"
"r_2","0","1000cp","2008Q1","0","3518.7"
"r_2","0","1000cp","2008Q1","1","1868.1"
"r_2","0","1000cp","2008Q1","2","1650.6"
"r_2","1","1000cp","2008Q1","0","2691.5"
"r_2","1","1000cp","2008Q1","1","1401.5"
"r_2","1","1000cp","2008Q1","2","1290.1"
"r_2","2","1000cp","2008Q1","0","827.2"
"r_2","2","1000cp","2008Q1","1","466.6"
"r_2","2","1000cp","2008Q1","2","360.5"
"r_2","0","1000cp","2008Q2","0","3579.3"
"r_2","0","1000cp","2008Q2","1","1901"
"r_2","0","1000cp","2008Q2","2","1678.3"
"r_2","1","1000cp","2008Q2","0","2711.3"
"r_2","1","1000cp","2008Q2","1","1409.5"
"r_2","1","1000cp","2008Q2","2","1301.8"
"r_2","2","1000cp","2008Q2","0","868"
"r_2","2","1000cp","2008Q2","1","491.5"
"r_2","2","1000cp","2008Q2","2","376.5"
"r_2","0","1000cp","2008Q3","0","3602.4"
"r_2","0","1000cp","2008Q3","1","1922.4"
"r_2","0","1000cp","2008Q3","2","1679.9"
"r_2","1","1000cp","2008Q3","0","2735.1"
"r_2","1","1000cp","2008Q3","1","1431.8"
"r_2","1","1000cp","2008Q3","2","1303.3"
"r_2","2","1000cp","2008Q3","0","867.3"
"r_2","2","1000cp","2008Q3","1","490.7"
"r_2","2","1000cp","2008Q3","2","376.6"
"r_2","0","1000cp","2008Q4","0","3541.3"
"r_2","0","1000cp","2008Q4","1","1895.7"
"r_2","0","1000cp","2008Q4","2","1645.5"
"r_2","1","1000cp","2008Q4","0","2716.4"
