RevisionColumn,Units,periods,Indicators,ValueColumn
"r_2","1000BGN","2011","3.1.2.3.5.17","-"
"r_2","1000BGN","2012","3.1.2.3.5.17","-"
"r_2","1000BGN","2013","3.1.2.3.5.17","-"
"r_2","1000BGN","2014","3.1.2.3.5.17","-"
"r_2","1000BGN","2015","3.1.2.3.5.17","-"
"r_2","1000BGN","2016","3.1.2.3.5.17","-"
"r_2","1000BGN","2017","3.1.2.3.5.17","0"
"r_2","1000BGN","2018","3.1.2.3.5.17","0"
"r_2","1000BGN","2019","3.1.2.3.5.17","0"
"r_2","1000BGN","2020","3.1.2.3.5.17","0"
"r_2","1000BGN","2005","3.1.2.3.3.10","579295"
"r_2","1000BGN","2006","3.1.2.3.3.10","800718"
"r_2","1000BGN","2007","3.1.2.3.3.10","1056191"
"r_2","1000BGN","2008","3.1.2.3.3.10","1416511"
"r_2","1000BGN","2009","3.1.2.3.3.10","1574418"
"r_2","1000BGN","2010","3.1.2.3.3.10","1681643"
"r_2","1000BGN","2011","3.1.2.3.3.10","1813161"
"r_2","1000BGN","2012","3.1.2.3.3.10","1913873"
"r_2","1000BGN","2013","3.1.2.3.3.10","2062979"
"r_2","1000BGN","2014","3.1.2.3.3.10","2322189"
"r_2","1000BGN","2015","3.1.2.3.3.10","2323625"
"r_2","1000BGN","2016","3.1.2.3.3.10","2470240"
"r_2","1000BGN","2017","3.1.2.3.3.10","3498421"
"r_2","1000BGN","2018","3.1.2.3.3.10","4093696"
"r_2","1000BGN","2019","3.1.2.3.3.10","4515953"
"r_2","1000BGN","2020","3.1.2.3.3.10","4835877"
"r_2","1000BGN","2005","3.1.2.3.3.11","22841"
"r_2","1000BGN","2006","3.1.2.3.3.11","32607"
"r_2","1000BGN","2007","3.1.2.3.3.11","50770"
"r_2","1000BGN","2008","3.1.2.3.3.11","50996"
"r_2","1000BGN","2009","3.1.2.3.3.11","54208"
"r_2","1000BGN","2010","3.1.2.3.3.11","56599"
"r_2","1000BGN","2011","3.1.2.3.3.11","61353"
"r_2","1000BGN","2012","3.1.2.3.3.11","75704"
"r_2","1000BGN","2013","3.1.2.3.3.11","85717"
"r_2","1000BGN","2014","3.1.2.3.3.11","103699"
"r_2","1000BGN","2015","3.1.2.3.3.11","118196"
"r_2","1000BGN","2016","3.1.2.3.3.11","163477"
"r_2","1000BGN","2017","3.1.2.3.3.11","225109"
"r_2","1000BGN","2018","3.1.2.3.3.11","276947"
"r_2","1000BGN","2019","3.1.2.3.3.11","411164"
"r_2","1000BGN","2020","3.1.2.3.3.11","519803"
"r_2","1000BGN","2005","3.1.2.3.5.18","-"
"r_2","1000BGN","2006","3.1.2.3.5.18","-"
"r_2","1000BGN","2007","3.1.2.3.5.18","-"
"r_2","1000BGN","2008","3.1.2.3.5.18","-"
"r_2","1000BGN","2009","3.1.2.3.5.18","-"
"r_2","1000BGN","2010","3.1.2.3.5.18","-"
"r_2","1000BGN","2011","3.1.2.3.5.18","-"
"r_2","1000BGN","2012","3.1.2.3.5.18","-"
"r_2","1000BGN","2013","3.1.2.3.5.18","-"
"r_2","1000BGN","2014","3.1.2.3.5.18","-"
"r_2","1000BGN","2015","3.1.2.3.5.18","-"
"r_2","1000BGN","2016","3.1.2.3.5.18","-"
"r_2","1000BGN","2017","3.1.2.3.5.18","1504"
"r_2","1000BGN","2018","3.1.2.3.5.18",".."
"r_2","1000BGN","2019","3.1.2.3.5.18",".."
"r_2","1000BGN","2020","3.1.2.3.5.18",".."
"r_2","1000BGN","2005","3.1.2.3.3.12","22041"
"r_2","1000BGN","2006","3.1.2.3.3.12","239"
"r_2","1000BGN","2007","3.1.2.3.3.12","167"
"r_2","1000BGN","2008","3.1.2.3.3.12","224"
"r_2","1000BGN","2009","3.1.2.3.3.12","42"
"r_2","1000BGN","2010","3.1.2.3.3.12","27386"
"r_2","1000BGN","2011","3.1.2.3.3.12","31431"
"r_2","1000BGN","2012","3.1.2.3.3.12","44030"
"r_2","1000BGN","2013","3.1.2.3.3.12",".."
"r_2","1000BGN","2014","3.1.2.3.3.12",".."
"r_2","1000BGN","2015","3.1.2.3.3.12",".."
"r_2","1000BGN","2016","3.1.2.3.3.12",".."
"r_2","1000BGN","2017","3.1.2.3.3.12",".."
"r_2","1000BGN","2018","3.1.2.3.3.12",".."
