RevisionColumn,NACE2008A21,periods,SZCLS_EMPL,Indicators,Units,ValueColumn
"r_1","1","2009","4","3.1.1.03.4","1000BGN","48300110"
"r_1","1","2009","4","3.1.1.03.5","1000BGN","46396982"
"r_1","1","2010","4","3.1.1.03.1","num","24368"
"r_1","1","2010","4","3.1.1.03.2","num","481012"
"r_1","1","2010","4","3.1.1.03.3","1000BGN","15986012"
"r_1","1","2010","4","3.1.1.03.4","1000BGN","47438428"
"r_1","1","2010","4","3.1.1.03.5","1000BGN","45772943"
"r_1","1","2011","4","3.1.1.03.1","num","24317"
"r_1","1","2011","4","3.1.1.03.2","num","480551"
"r_1","1","2011","4","3.1.1.03.3","1000BGN","17240049"
"r_1","1","2011","4","3.1.1.03.4","1000BGN","54448532"
"r_1","1","2011","4","3.1.1.03.5","1000BGN","52477312"
"r_1","1","2012","4","3.1.1.03.1","num","23830"
"r_1","1","2012","4","3.1.1.03.2","num","470951"
"r_1","1","2012","4","3.1.1.03.3","1000BGN","17105831"
"r_1","1","2012","4","3.1.1.03.4","1000BGN","55770328"
"r_1","1","2012","4","3.1.1.03.5","1000BGN","53178408"
"r_1","1","2013","4","3.1.1.03.1","num","23768"
"r_1","1","2013","4","3.1.1.03.2","num","469801"
"r_1","1","2013","4","3.1.1.03.3","1000BGN","17550889"
"r_1","1","2013","4","3.1.1.03.4","1000BGN","55590809"
"r_1","1","2013","4","3.1.1.03.5","1000BGN","53066577"
"r_1","1","2014","4","3.1.1.03.1","num","23656"
"r_1","1","2014","4","3.1.1.03.2","num","470027"
"r_1","1","2014","4","3.1.1.03.3","1000BGN","18321171"
"r_1","1","2014","4","3.1.1.03.4","1000BGN","57294721"
"r_1","1","2014","4","3.1.1.03.5","1000BGN","54599518"
"r_1","1","2015","4","3.1.1.03.1","num","24264"
"r_1","1","2015","4","3.1.1.03.2","num","480581"
"r_1","1","2015","4","3.1.1.03.3","1000BGN","18269588"
"r_1","1","2015","4","3.1.1.03.4","1000BGN","63475890"
"r_1","1","2015","4","3.1.1.03.5","1000BGN","60102069"
"r_1","1","2016","4","3.1.1.03.1","num","24500"
"r_1","1","2016","4","3.1.1.03.2","num","485206"
"r_1","1","2016","4","3.1.1.03.3","1000BGN","18841619"
"r_1","1","2016","4","3.1.1.03.4","1000BGN","61759374"
"r_1","1","2016","4","3.1.1.03.5","1000BGN","58336477"
"r_1","1","2017","4","3.1.1.03.1","num","25211"
"r_1","1","2017","4","3.1.1.03.2","num","498859"
"r_1","1","2017","4","3.1.1.03.3","1000BGN","20168503"
"r_1","1","2017","4","3.1.1.03.4","1000BGN","66793041"
"r_1","1","2017","4","3.1.1.03.5","1000BGN","62705138"
"r_1","1","2018","4","3.1.1.03.1","num","24982"
"r_1","1","2018","4","3.1.1.03.2","num","495224"
"r_1","1","2018","4","3.1.1.03.3","1000BGN","20152715"
"r_1","1","2018","4","3.1.1.03.4","1000BGN","70000536"
"r_1","1","2018","4","3.1.1.03.5","1000BGN","65923547"
"r_1","1","2019","4","3.1.1.03.1","num","25204"
"r_1","1","2019","4","3.1.1.03.2","num","494071"
"r_1","1","2019","4","3.1.1.03.3","1000BGN","21389082"
"r_1","1","2019","4","3.1.1.03.4","1000BGN","75305418"
"r_1","1","2019","4","3.1.1.03.5","1000BGN","70522442"
"r_1","1","2020","4","3.1.1.03.1","num","23489"
"r_1","1","2020","4","3.1.1.03.2","num","462195"
"r_1","1","2020","4","3.1.1.03.3","1000BGN","20308072"
"r_1","1","2020","4","3.1.1.03.4","1000BGN","76610816"
"r_1","1","2020","4","3.1.1.03.5","1000BGN","71424744"
"r_1","1","2008","5","3.1.1.03.1","num","5439"
"r_1","1","2008","5","3.1.1.03.2","num","534262"
"r_1","1","2008","5","3.1.1.03.3","1000BGN","17906967"
"r_1","1","2008","5","3.1.1.03.4","1000BGN","54610964"
"r_1","1","2008","5","3.1.1.03.5","1000BGN","51451462"
"r_1","1","2009","5","3.1.1.03.1","num","5071"
"r_1","1","2009","5","3.1.1.03.2","num","489829"
"r_1","1","2009","5","3.1.1.03.3","1000BGN","18552656"
"r_1","1","2009","5","3.1.1.03.4","1000BGN","46333238"
"r_1","1","2009","5","3.1.1.03.5","1000BGN","44632155"
"r_1","1","2010","5","3.1.1.03.1","num","4662"
"r_1","1","2010","5","3.1.1.03.2","num","447336"
"r_1","1","2010","5","3.1.1.03.3","1000BGN","18450482"
"r_1","1","2010","5","3.1.1.03.4","1000BGN","46991815"
"r_1","1","2010","5","3.1.1.03.5","1000BGN","45322854"
"r_1","1","2011","5","3.1.1.03.1","num","4536"
"r_1","1","2011","5","3.1.1.03.2","num","434379"
"r_1","1","2011","5","3.1.1.03.3","1000BGN","17234644"
"r_1","1","2011","5","3.1.1.03.4","1000BGN","52554068"
"r_1","1","2011","5","3.1.1.03.5","1000BGN","50820040"
"r_1","1","2012","5","3.1.1.03.1","num","4535"
"r_1","1","2012","5","3.1.1.03.2","num","437030"
"r_1","1","2012","5","3.1.1.03.3","1000BGN","17649263"
"r_1","1","2012","5","3.1.1.03.4","1000BGN","55711774"
"r_1","1","2012","5","3.1.1.03.5","1000BGN","53810360"
"r_1","1","2013","5","3.1.1.03.1","num","4497"
"r_1","1","2013","5","3.1.1.03.2","num","436191"
"r_1","1","2013","5","3.1.1.03.3","1000BGN","17494818"
"r_1","1","2013","5","3.1.1.03.4","1000BGN","56751824"
"r_1","1","2013","5","3.1.1.03.5","1000BGN","54407950"
"r_1","1","2014","5","3.1.1.03.1","num","4509"
"r_1","1","2014","5","3.1.1.03.2","num","440675"
"r_1","1","2014","5","3.1.1.03.3","1000BGN","17855859"
"r_1","1","2014","5","3.1.1.03.4","1000BGN","60459135"
"r_1","1","2014","5","3.1.1.03.5","1000BGN","57994741"
"r_1","1","2015","5","3.1.1.03.1","num","4552"
"r_1","1","2015","5","3.1.1.03.2","num","446961"
"r_1","1","2015","5","3.1.1.03.3","1000BGN","17277358"
"r_1","1","2015","5","3.1.1.03.4","1000BGN","62310861"
"r_1","1","2015","5","3.1.1.03.5","1000BGN","59134368"
"r_1","1","2016","5","3.1.1.03.1","num","4586"
"r_1","1","2016","5","3.1.1.03.2","num","453068"
"r_1","1","2016","5","3.1.1.03.3","1000BGN","18075592"
"r_1","1","2016","5","3.1.1.03.4","1000BGN","63734599"
"r_1","1","2016","5","3.1.1.03.5","1000BGN","60578247"
"r_1","1","2017","5","3.1.1.03.1","num","4601"
"r_1","1","2017","5","3.1.1.03.2","num","455516"
"r_1","1","2017","5","3.1.1.03.3","1000BGN","18072224"
"r_1","1","2017","5","3.1.1.03.4","1000BGN","69324256"
"r_1","1","2017","5","3.1.1.03.5","1000BGN","65618168"
"r_1","1","2018","5","3.1.1.03.1","num","4666"
"r_1","1","2018","5","3.1.1.03.2","num","463688"
"r_1","1","2018","5","3.1.1.03.3","1000BGN","19362482"
"r_1","1","2018","5","3.1.1.03.4","1000BGN","74639374"
