RevisionColumn,PlaceResidence,GenderID,Units,periods,ValueColumn
"r_2","1","1","1000cp","2011Q1","1198.7"
"r_2","1","1","1000cp","2011Q2","1195.5"
"r_2","1","1","1000cp","2011Q3","1235.8"
"r_2","1","1","1000cp","2011Q4","1201.1"
"r_2","1","1","1000cp","2012Q1","1160.6"
"r_2","1","1","1000cp","2012Q2","1178.3"
"r_2","1","1","1000cp","2012Q3","1220.5"
"r_2","1","1","1000cp","2012Q4","1210.1"
"r_2","1","1","1000cp","2013Q1","1168"
"r_2","1","1","1000cp","2013Q2","1189.5"
"r_2","1","1","1000cp","2013Q3","1230.2"
"r_2","1","1","1000cp","2013Q4","1217.1"
"r_2","1","1","1000cp","2014Q1","1206.6"
"r_2","1","1","1000cp","2014Q2","1224"
"r_2","1","1","1000cp","2014Q3","1259.9"
"r_2","1","1","1000cp","2014Q4","1223.1"
"r_2","1","1","1000cp","2015Q1","1221.3"
"r_2","1","1","1000cp","2015Q2","1245.7"
"r_2","1","1","1000cp","2015Q3","1272.5"
"r_2","1","1","1000cp","2015Q4","1261.9"
"r_2","1","2","1000cp","2003Q1","1014.6"
"r_2","1","2","1000cp","2003Q2","1047.1"
"r_2","1","2","1000cp","2003Q3","1064.2"
"r_2","1","2","1000cp","2003Q4","1042.4"
"r_2","1","2","1000cp","2004Q1","1033.1"
"r_2","1","2","1000cp","2004Q2","1078.6"
"r_2","1","2","1000cp","2004Q3","1093.3"
"r_2","1","2","1000cp","2004Q4","1075.8"
"r_2","1","2","1000cp","2005Q1","1067.7"
"r_2","1","2","1000cp","2005Q2","1100.8"
"r_2","1","2","1000cp","2005Q3","1127.9"
"r_2","1","2","1000cp","2005Q4","1097"
"r_2","1","2","1000cp","2006Q1","1114.8"
"r_2","1","2","1000cp","2006Q2","1173.4"
"r_2","1","2","1000cp","2006Q3","1177.7"
"r_2","1","2","1000cp","2006Q4","1158.4"
"r_2","1","2","1000cp","2007Q1","1176.9"
"r_2","1","2","1000cp","2007Q2","1208.3"
"r_2","1","2","1000cp","2007Q3","1219.7"
"r_2","1","2","1000cp","2007Q4","1214.3"
"r_2","1","2","1000cp","2008Q1","1220.6"
"r_2","1","2","1000cp","2008Q2","1235.4"
"r_2","1","2","1000cp","2008Q3","1248.7"
"r_2","1","2","1000cp","2008Q4","1237.9"
"r_2","1","2","1000cp","2009Q1","1224.5"
"r_2","1","2","1000cp","2009Q2","1225.5"
"r_2","1","2","1000cp","2009Q3","1211.5"
"r_2","1","2","1000cp","2009Q4","1177"
"r_2","1","2","1000cp","2010Q1","1145.2"
"r_2","1","2","1000cp","2010Q2","1157.1"
"r_2","1","2","1000cp","2010Q3","1170.7"
"r_2","1","2","1000cp","2010Q4","1160.6"
"r_2","1","2","1000cp","2011Q1","1114.1"
"r_2","1","2","1000cp","2011Q2","1118"
"r_2","1","2","1000cp","2011Q3","1149.4"
"r_2","1","2","1000cp","2011Q4","1139.4"
"r_2","1","2","1000cp","2012Q1","1112.1"
"r_2","1","2","1000cp","2012Q2","1119.5"
"r_2","1","2","1000cp","2012Q3","1149.5"
"r_2","1","2","1000cp","2012Q4","1131.7"
"r_2","1","2","1000cp","2013Q1","1110.7"
"r_2","1","2","1000cp","2013Q2","1132.6"
"r_2","1","2","1000cp","2013Q3","1146.2"
"r_2","1","2","1000cp","2013Q4","1129.2"
"r_2","1","2","1000cp","2014Q1","1124.1"
"r_2","1","2","1000cp","2014Q2","1144"
"r_2","1","2","1000cp","2014Q3","1170.3"
"r_2","1","2","1000cp","2014Q4","1169.5"
"r_2","1","2","1000cp","2015Q1","1148.5"
"r_2","1","2","1000cp","2015Q2","1156.2"
"r_2","1","2","1000cp","2015Q3","1184.8"
"r_2","1","2","1000cp","2015Q4","1179"
"r_2","2","0","1000cp","2003Q1","602.9"
