RevisionColumn,periods,SZCLS_EMPL,NUTS,Units,Indicators,ValueColumn
"r_1","2012","5","BG","num","3.1.1.03.1","4535"
"r_1","2012","5","BG","num","3.1.1.03.2","437030"
"r_1","2012","5","BG","1000BGN","3.1.1.03.3","17649263"
"r_1","2012","5","BG","1000BGN","3.1.1.03.4","55711774"
"r_1","2012","5","BG","1000BGN","3.1.1.03.5","53810360"
"r_1","2013","5","BG","num","3.1.1.03.1","4497"
"r_1","2013","5","BG","num","3.1.1.03.2","436191"
"r_1","2013","5","BG","1000BGN","3.1.1.03.3","17494818"
"r_1","2013","5","BG","1000BGN","3.1.1.03.4","56751824"
"r_1","2013","5","BG","1000BGN","3.1.1.03.5","54407950"
"r_1","2014","5","BG","num","3.1.1.03.1","4509"
"r_1","2014","5","BG","num","3.1.1.03.2","440675"
"r_1","2014","5","BG","1000BGN","3.1.1.03.3","17855859"
"r_1","2014","5","BG","1000BGN","3.1.1.03.4","60459135"
"r_1","2014","5","BG","1000BGN","3.1.1.03.5","57994741"
"r_1","2015","5","BG","num","3.1.1.03.1","4552"
"r_1","2015","5","BG","num","3.1.1.03.2","446961"
"r_1","2015","5","BG","1000BGN","3.1.1.03.3","17277358"
"r_1","2015","5","BG","1000BGN","3.1.1.03.4","62310861"
"r_1","2015","5","BG","1000BGN","3.1.1.03.5","59134368"
"r_1","2016","5","BG","num","3.1.1.03.1","4586"
"r_1","2016","5","BG","num","3.1.1.03.2","453068"
"r_1","2016","5","BG","1000BGN","3.1.1.03.3","18075592"
"r_1","2016","5","BG","1000BGN","3.1.1.03.4","63734599"
"r_1","2016","5","BG","1000BGN","3.1.1.03.5","60578247"
"r_1","2017","5","BG","num","3.1.1.03.1","4601"
"r_1","2017","5","BG","num","3.1.1.03.2","455516"
"r_1","2017","5","BG","1000BGN","3.1.1.03.3","18072224"
"r_1","2017","5","BG","1000BGN","3.1.1.03.4","69324256"
"r_1","2017","5","BG","1000BGN","3.1.1.03.5","65618168"
"r_1","2018","5","BG","num","3.1.1.03.1","4666"
"r_1","2018","5","BG","num","3.1.1.03.2","463688"
"r_1","2018","5","BG","1000BGN","3.1.1.03.3","19362482"
"r_1","2018","5","BG","1000BGN","3.1.1.03.4","74639374"
"r_1","2018","5","BG","1000BGN","3.1.1.03.5","70636617"
"r_1","2019","5","BG","num","3.1.1.03.1","4738"
"r_1","2019","5","BG","num","3.1.1.03.2","467303"
"r_1","2019","5","BG","1000BGN","3.1.1.03.3","20991725"
"r_1","2019","5","BG","1000BGN","3.1.1.03.4","80520601"
"r_1","2019","5","BG","1000BGN","3.1.1.03.5","76176536"
"r_1","2020","5","BG","num","3.1.1.03.1","4344"
"r_1","2020","5","BG","num","3.1.1.03.2","428032"
"r_1","2020","5","BG","1000BGN","3.1.1.03.3","18147540"
"r_1","2020","5","BG","1000BGN","3.1.1.03.4","74021046"
"r_1","2020","5","BG","1000BGN","3.1.1.03.5","69657910"
"r_1","2008","6","BG","num","3.1.1.03.1","831"
"r_1","2008","6","BG","num","3.1.1.03.2","565195"
"r_1","2008","6","BG","1000BGN","3.1.1.03.3","36148247"
"r_1","2008","6","BG","1000BGN","3.1.1.03.4","74568035"
"r_1","2008","6","BG","1000BGN","3.1.1.03.5","72995924"
"r_1","2009","6","BG","num","3.1.1.03.1","766"
"r_1","2009","6","BG","num","3.1.1.03.2","519260"
"r_1","2009","6","BG","1000BGN","3.1.1.03.3","38408180"
"r_1","2009","6","BG","1000BGN","3.1.1.03.4","59348838"
"r_1","2009","6","BG","1000BGN","3.1.1.03.5","58552712"
"r_1","2010","6","BG","num","3.1.1.03.1","752"
"r_1","2010","6","BG","num","3.1.1.03.2","509139"
"r_1","2010","6","BG","1000BGN","3.1.1.03.3","39163905"
"r_1","2010","6","BG","1000BGN","3.1.1.03.4","64942883"
"r_1","2010","6","BG","1000BGN","3.1.1.03.5","62641716"
"r_1","2011","6","BG","num","3.1.1.03.1","756"
"r_1","2011","6","BG","num","3.1.1.03.2","514167"
"r_1","2011","6","BG","1000BGN","3.1.1.03.3","38956820"
"r_1","2011","6","BG","1000BGN","3.1.1.03.4","71992433"
"r_1","2011","6","BG","1000BGN","3.1.1.03.5","69439248"
"r_1","2012","6","BG","num","3.1.1.03.1","737"
"r_1","2012","6","BG","num","3.1.1.03.2","505673"
"r_1","2012","6","BG","1000BGN","3.1.1.03.3","41363683"
"r_1","2012","6","BG","1000BGN","3.1.1.03.4","73579751"
"r_1","2012","6","BG","1000BGN","3.1.1.03.5","71148921"
"r_1","2013","6","BG","num","3.1.1.03.1","746"
"r_1","2013","6","BG","num","3.1.1.03.2","509764"
"r_1","2013","6","BG","1000BGN","3.1.1.03.3","42968123"
"r_1","2013","6","BG","1000BGN","3.1.1.03.4","73219540"
"r_1","2013","6","BG","1000BGN","3.1.1.03.5","71481373"
"r_1","2014","6","BG","num","3.1.1.03.1","752"
"r_1","2014","6","BG","num","3.1.1.03.2","526397"
"r_1","2014","6","BG","1000BGN","3.1.1.03.3","45024193"
"r_1","2014","6","BG","1000BGN","3.1.1.03.4","73580590"
"r_1","2014","6","BG","1000BGN","3.1.1.03.5","72953017"
"r_1","2015","6","BG","num","3.1.1.03.1","739"
"r_1","2015","6","BG","num","3.1.1.03.2","531485"
"r_1","2015","6","BG","1000BGN","3.1.1.03.3","48062288"
"r_1","2015","6","BG","1000BGN","3.1.1.03.4","77366773"
"r_1","2015","6","BG","1000BGN","3.1.1.03.5","74272957"
"r_1","2016","6","BG","num","3.1.1.03.1","728"
"r_1","2016","6","BG","num","3.1.1.03.2","541244"
"r_1","2016","6","BG","1000BGN","3.1.1.03.3","48658406"
"r_1","2016","6","BG","1000BGN","3.1.1.03.4","75437715"
"r_1","2016","6","BG","1000BGN","3.1.1.03.5","71401829"
"r_1","2017","6","BG","num","3.1.1.03.1","744"
"r_1","2017","6","BG","num","3.1.1.03.2","553429"
"r_1","2017","6","BG","1000BGN","3.1.1.03.3","49878791"
"r_1","2017","6","BG","1000BGN","3.1.1.03.4","85716482"
"r_1","2017","6","BG","1000BGN","3.1.1.03.5","80778691"
"r_1","2018","6","BG","num","3.1.1.03.1","753"
"r_1","2018","6","BG","num","3.1.1.03.2","561095"
"r_1","2018","6","BG","1000BGN","3.1.1.03.3","51600013"
"r_1","2018","6","BG","1000BGN","3.1.1.03.4","92716620"
"r_1","2018","6","BG","1000BGN","3.1.1.03.5","88866716"
"r_1","2019","6","BG","num","3.1.1.03.1","759"
"r_1","2019","6","BG","num","3.1.1.03.2","557618"
"r_1","2019","6","BG","1000BGN","3.1.1.03.3","54829984"
"r_1","2019","6","BG","1000BGN","3.1.1.03.4","98335557"
