RevisionColumn,periods,Units,NUTS,Residence,GenderID,Age,ValueColumn
"r_1","2010","num","BG3","1","1","5 - 9","63291"
"r_1","2010","num","BG3","1","2","5 - 9","59431"
"r_1","2010","num","BG3","2","0","5 - 9","57972"
"r_1","2010","num","BG3","2","1","5 - 9","29716"
"r_1","2010","num","BG3","2","2","5 - 9","28256"
"r_1","2010","num","BG3","0","0","10 - 14","171618"
"r_1","2010","num","BG3","0","1","10 - 14","87972"
"r_1","2010","num","BG3","0","2","10 - 14","83646"
"r_1","2010","num","BG3","1","0","10 - 14","115043"
"r_1","2010","num","BG3","1","1","10 - 14","58912"
"r_1","2010","num","BG3","1","2","10 - 14","56131"
"r_1","2010","num","BG3","2","0","10 - 14","56575"
"r_1","2010","num","BG3","2","1","10 - 14","29060"
"r_1","2010","num","BG3","2","2","10 - 14","27515"
"r_1","2010","num","BG3","0","0","15 - 19","206595"
"r_1","2010","num","BG3","0","1","15 - 19","105808"
"r_1","2010","num","BG3","0","2","15 - 19","100787"
"r_1","2010","num","BG3","1","0","15 - 19","139740"
"r_1","2010","num","BG3","1","1","15 - 19","71254"
"r_1","2010","num","BG3","1","2","15 - 19","68486"
"r_1","2010","num","BG3","2","0","15 - 19","66855"
"r_1","2010","num","BG3","2","1","15 - 19","34554"
"r_1","2010","num","BG3","2","2","15 - 19","32301"
"r_1","2010","num","BG3","0","0","20 - 24","257284"
"r_1","2010","num","BG3","0","1","20 - 24","132329"
"r_1","2010","num","BG3","0","2","20 - 24","124955"
"r_1","2010","num","BG3","1","0","20 - 24","186341"
"r_1","2010","num","BG3","1","1","20 - 24","94430"
"r_1","2010","num","BG3","1","2","20 - 24","91911"
"r_1","2010","num","BG3","2","0","20 - 24","70943"
"r_1","2010","num","BG3","2","1","20 - 24","37899"
"r_1","2010","num","BG3","2","2","20 - 24","33044"
"r_1","2010","num","BG3","0","0","25 - 29","252926"
"r_1","2010","num","BG3","0","1","25 - 29","131325"
"r_1","2010","num","BG3","0","2","25 - 29","121601"
"r_1","2010","num","BG3","1","0","25 - 29","189822"
"r_1","2010","num","BG3","1","1","25 - 29","97361"
"r_1","2010","num","BG3","1","2","25 - 29","92461"
"r_1","2010","num","BG3","2","0","25 - 29","63104"
"r_1","2010","num","BG3","2","1","25 - 29","33964"
"r_1","2010","num","BG3","2","2","25 - 29","29140"
"r_1","2010","num","BG3","0","0","30 - 34","269767"
"r_1","2010","num","BG3","0","1","30 - 34","138805"
"r_1","2010","num","BG3","0","2","30 - 34","130962"
"r_1","2010","num","BG3","1","0","30 - 34","198111"
"r_1","2010","num","BG3","1","1","30 - 34","100739"
"r_1","2010","num","BG3","1","2","30 - 34","97372"
"r_1","2010","num","BG3","2","0","30 - 34","71656"
"r_1","2010","num","BG3","2","1","30 - 34","38066"
"r_1","2010","num","BG3","2","2","30 - 34","33590"
"r_1","2010","num","BG3","0","0","35 - 39","281172"
"r_1","2010","num","BG3","0","1","35 - 39","142897"
"r_1","2010","num","BG3","0","2","35 - 39","138275"
"r_1","2010","num","BG3","1","0","35 - 39","206627"
"r_1","2010","num","BG3","1","1","35 - 39","103351"
"r_1","2010","num","BG3","1","2","35 - 39","103276"
"r_1","2010","num","BG3","2","0","35 - 39","74545"
"r_1","2010","num","BG3","2","1","35 - 39","39546"
"r_1","2010","num","BG3","2","2","35 - 39","34999"
"r_1","2010","num","BG3","0","0","40 - 44","270312"
"r_1","2010","num","BG3","0","1","40 - 44","137022"
"r_1","2010","num","BG3","0","2","40 - 44","133290"
"r_1","2010","num","BG3","1","0","40 - 44","196248"
"r_1","2010","num","BG3","1","1","40 - 44","97282"
"r_1","2010","num","BG3","1","2","40 - 44","98966"
"r_1","2010","num","BG3","2","0","40 - 44","74064"
"r_1","2010","num","BG3","2","1","40 - 44","39740"
"r_1","2010","num","BG3","2","2","40 - 44","34324"
"r_1","2010","num","BG3","0","0","45 - 49","263592"
"r_1","2010","num","BG3","0","1","45 - 49","131891"
"r_1","2010","num","BG3","0","2","45 - 49","131701"
"r_1","2010","num","BG3","1","0","45 - 49","190372"
"r_1","2010","num","BG3","1","1","45 - 49","92613"
"r_1","2010","num","BG3","1","2","45 - 49","97759"
"r_1","2010","num","BG3","2","0","45 - 49","73220"
"r_1","2010","num","BG3","2","1","45 - 49","39278"
"r_1","2010","num","BG3","2","2","45 - 49","33942"
"r_1","2010","num","BG3","0","0","50 - 54","266400"
"r_1","2010","num","BG3","0","1","50 - 54","131176"
"r_1","2010","num","BG3","0","2","50 - 54","135224"
"r_1","2010","num","BG3","1","0","50 - 54","191452"
"r_1","2010","num","BG3","1","1","50 - 54","91728"
"r_1","2010","num","BG3","1","2","50 - 54","99724"
"r_1","2010","num","BG3","2","0","50 - 54","74948"
"r_1","2010","num","BG3","2","1","50 - 54","39448"
"r_1","2010","num","BG3","2","2","50 - 54","35500"
"r_1","2010","num","BG3","0","0","55 - 59","271091"
"r_1","2010","num","BG3","0","1","55 - 59","130158"
"r_1","2010","num","BG3","0","2","55 - 59","140933"
"r_1","2010","num","BG3","1","0","55 - 59","189330"
"r_1","2010","num","BG3","1","1","55 - 59","89125"
"r_1","2010","num","BG3","1","2","55 - 59","100205"
"r_1","2010","num","BG3","2","0","55 - 59","81761"
"r_1","2010","num","BG3","2","1","55 - 59","41033"
"r_1","2010","num","BG3","2","2","55 - 59","40728"
"r_1","2010","num","BG3","0","0","60 - 64","281523"
"r_1","2010","num","BG3","0","1","60 - 64","129800"
"r_1","2010","num","BG3","0","2","60 - 64","151723"
"r_1","2010","num","BG3","1","0","60 - 64","184403"
"r_1","2010","num","BG3","1","1","60 - 64","84156"
"r_1","2010","num","BG3","1","2","60 - 64","100247"
"r_1","2010","num","BG3","2","0","60 - 64","97120"
"r_1","2010","num","BG3","2","1","60 - 64","45644"
"r_1","2010","num","BG3","2","2","60 - 64","51476"
"r_1","2010","num","BG3","0","0","65 - 69","218334"
"r_1","2010","num","BG3","0","1","65 - 69","95799"
"r_1","2010","num","BG3","0","2","65 - 69","122535"
"r_1","2010","num","BG3","1","0","65 - 69","125357"
"r_1","2010","num","BG3","1","1","65 - 69","55632"
"r_1","2010","num","BG3","1","2","65 - 69","69725"
"r_1","2010","num","BG3","2","0","65 - 69","92977"
"r_1","2010","num","BG3","2","1","65 - 69","40167"
"r_1","2010","num","BG3","2","2","65 - 69","52810"
"r_1","2010","num","BG3","0","0","70 - 74","181198"
"r_1","2010","num","BG3","0","1","70 - 74","75221"
"r_1","2010","num","BG3","0","2","70 - 74","105977"
"r_1","2010","num","BG3","1","0","70 - 74","95315"
"r_1","2010","num","BG3","1","1","70 - 74","38899"
"r_1","2010","num","BG3","1","2","70 - 74","56416"
"r_1","2010","num","BG3","2","0","70 - 74","85883"
"r_1","2010","num","BG3","2","1","70 - 74","36322"
