RevisionColumn,Units,periods,Indicators,ValueColumn
"r_2","1000BGN","2007","3.1.2.1.3.1.3.1","15617"
"r_2","1000BGN","2008","3.1.2.1.3.1.3.1","16364"
"r_2","1000BGN","2009","3.1.2.1.3.1.3.1","17558"
"r_2","1000BGN","2010","3.1.2.1.3.1.3.1","18377"
"r_2","1000BGN","2011","3.1.2.1.3.1.3.1","19104"
"r_2","1000BGN","2012","3.1.2.1.3.1.3.1","38183"
"r_2","1000BGN","2013","3.1.2.1.3.1.3.1","32319"
"r_2","1000BGN","2014","3.1.2.1.3.1.3.1","22229"
"r_2","1000BGN","2015","3.1.2.1.3.1.3.1","28184"
"r_2","1000BGN","2016","3.1.2.1.3.1.3.1","35087"
"r_2","1000BGN","2017","3.1.2.1.3.1.3.1","34103"
"r_2","1000BGN","2018","3.1.2.1.3.1.3.1","42148"
"r_2","1000BGN","2019","3.1.2.1.3.1.3.1","40891"
"r_2","1000BGN","2020","3.1.2.1.3.1.3.1","27679"
"r_2","1000BGN","2005","3.1.2.1.3.1.3.2","43901"
"r_2","1000BGN","2006","3.1.2.1.3.1.3.2","46465"
"r_2","1000BGN","2007","3.1.2.1.3.1.3.2","60259"
"r_2","1000BGN","2008","3.1.2.1.3.1.3.2","56164"
"r_2","1000BGN","2009","3.1.2.1.3.1.3.2","83524"
"r_2","1000BGN","2010","3.1.2.1.3.1.3.2","96906"
"r_2","1000BGN","2011","3.1.2.1.3.1.3.2","101811"
"r_2","1000BGN","2012","3.1.2.1.3.1.3.2","107503"
"r_2","1000BGN","2013","3.1.2.1.3.1.3.2","105182"
"r_2","1000BGN","2014","3.1.2.1.3.1.3.2","123335"
"r_2","1000BGN","2015","3.1.2.1.3.1.3.2","112650"
"r_2","1000BGN","2016","3.1.2.1.3.1.3.2","127873"
"r_2","1000BGN","2017","3.1.2.1.3.1.3.2","156851"
"r_2","1000BGN","2018","3.1.2.1.3.1.3.2","172400"
"r_2","1000BGN","2019","3.1.2.1.3.1.3.2","1180121"
"r_2","1000BGN","2020","3.1.2.1.3.1.3.2","185279"
"r_2","1000BGN","2005","3.1.2.1.3.1.3.3","."
"r_2","1000BGN","2006","3.1.2.1.3.1.3.3","."
"r_2","1000BGN","2007","3.1.2.1.3.1.3.3","."
"r_2","1000BGN","2008","3.1.2.1.3.1.3.3","."
"r_2","1000BGN","2009","3.1.2.1.3.1.3.3","2439"
"r_2","1000BGN","2010","3.1.2.1.3.1.3.3","3452"
"r_2","1000BGN","2011","3.1.2.1.3.1.3.3","2873"
"r_2","1000BGN","2012","3.1.2.1.3.1.3.3","3937"
"r_2","1000BGN","2013","3.1.2.1.3.1.3.3","6126"
"r_2","1000BGN","2014","3.1.2.1.3.1.3.3","5998"
"r_2","1000BGN","2015","3.1.2.1.3.1.3.3","15859"
"r_2","1000BGN","2016","3.1.2.1.3.1.3.3","15861"
"r_2","1000BGN","2017","3.1.2.1.3.1.3.3","14851"
"r_2","1000BGN","2018","3.1.2.1.3.1.3.3","15206"
"r_2","1000BGN","2019","3.1.2.1.3.1.3.3","13772"
"r_2","1000BGN","2020","3.1.2.1.3.1.3.3","13042"
"r_2","1000BGN","2005","3.1.2.1.3.1.3.4","142082"
"r_2","1000BGN","2006","3.1.2.1.3.1.3.4","184465"
"r_2","1000BGN","2007","3.1.2.1.3.1.3.4","194147"
"r_2","1000BGN","2008","3.1.2.1.3.1.3.4","224806"
"r_2","1000BGN","2009","3.1.2.1.3.1.3.4","257671"
"r_2","1000BGN","2010","3.1.2.1.3.1.3.4","259141"
"r_2","1000BGN","2011","3.1.2.1.3.1.3.4","283815"
"r_2","1000BGN","2012","3.1.2.1.3.1.3.4","337920"
"r_2","1000BGN","2013","3.1.2.1.3.1.3.4","365139"
"r_2","1000BGN","2014","3.1.2.1.3.1.3.4","373849"
"r_2","1000BGN","2015","3.1.2.1.3.1.3.4","398578"
"r_2","1000BGN","2016","3.1.2.1.3.1.3.4","410440"
"r_2","1000BGN","2017","3.1.2.1.3.1.3.4","417238"
"r_2","1000BGN","2018","3.1.2.1.3.1.3.4","468013"
"r_2","1000BGN","2019","3.1.2.1.3.1.3.4","516743"
"r_2","1000BGN","2020","3.1.2.1.3.1.3.4","568372"
"r_2","1000BGN","2005","3.1.2.1.3.1.4","4542"
"r_2","1000BGN","2006","3.1.2.1.3.1.4","6157"
"r_2","1000BGN","2007","3.1.2.1.3.1.4","12979"
"r_2","1000BGN","2008","3.1.2.1.3.1.4","10422"
"r_2","1000BGN","2009","3.1.2.1.3.1.4","19813"
"r_2","1000BGN","2010","3.1.2.1.3.1.4","27126"
"r_2","1000BGN","2011","3.1.2.1.3.1.4","23696"
"r_2","1000BGN","2012","3.1.2.1.3.1.4","22100"
"r_2","1000BGN","2013","3.1.2.1.3.1.4","33814"
"r_2","1000BGN","2014","3.1.2.1.3.1.4",".."
"r_2","1000BGN","2015","3.1.2.1.3.1.4",".."
"r_2","1000BGN","2016","3.1.2.1.3.1.4","24764"
"r_2","1000BGN","2017","3.1.2.1.3.1.4","29957"
"r_2","1000BGN","2018","3.1.2.1.3.1.4",".."
"r_2","1000BGN","2019","3.1.2.1.3.1.4","39226"
"r_2","1000BGN","2020","3.1.2.1.3.1.4","34260"
"r_2","1000BGN","2005","3.1.2.1.3.1","395670"
"r_2","1000BGN","2006","3.1.2.1.3.1","455304"
"r_2","1000BGN","2007","3.1.2.1.3.1","518094"
"r_2","1000BGN","2008","3.1.2.1.3.1","579262"
"r_2","1000BGN","2009","3.1.2.1.3.1","690518"
"r_2","1000BGN","2010","3.1.2.1.3.1","740215"
"r_2","1000BGN","2011","3.1.2.1.3.1","775970"
"r_2","1000BGN","2012","3.1.2.1.3.1","866455"
"r_2","1000BGN","2013","3.1.2.1.3.1","898816"
"r_2","1000BGN","2014","3.1.2.1.3.1","942500"
"r_2","1000BGN","2015","3.1.2.1.3.1","1010213"
"r_2","1000BGN","2016","3.1.2.1.3.1","1049191"
"r_2","1000BGN","2017","3.1.2.1.3.1","1084393"
"r_2","1000BGN","2018","3.1.2.1.3.1","1196174"
"r_2","1000BGN","2019","3.1.2.1.3.1","2772747"
"r_2","1000BGN","2020","3.1.2.1.3.1","1311711"
"r_2","1000BGN","2005","3.1.2.1.3.2.1","243038"
"r_2","1000BGN","2006","3.1.2.1.3.2.1","298529"
"r_2","1000BGN","2007","3.1.2.1.3.2.1","329793"
"r_2","1000BGN","2008","3.1.2.1.3.2.1","381796"
"r_2","1000BGN","2009","3.1.2.1.3.2.1","431536"
"r_2","1000BGN","2010","3.1.2.1.3.2.1","455614"
"r_2","1000BGN","2011","3.1.2.1.3.2.1","494714"
"r_2","1000BGN","2012","3.1.2.1.3.2.1","535032"
"r_2","1000BGN","2013","3.1.2.1.3.2.1","565574"
"r_2","1000BGN","2014","3.1.2.1.3.2.1","588762"
"r_2","1000BGN","2015","3.1.2.1.3.2.1","635445"
"r_2","1000BGN","2016","3.1.2.1.3.2.1","668900"
"r_2","1000BGN","2017","3.1.2.1.3.2.1","670986"
"r_2","1000BGN","2018","3.1.2.1.3.2.1","678784"
"r_2","1000BGN","2019","3.1.2.1.3.2.1","1204775"
"r_2","1000BGN","2020","3.1.2.1.3.2.1","724592"
"r_2","1000BGN","2005","3.1.2.1.3.2.2","."
"r_2","1000BGN","2006","3.1.2.1.3.2.2","."
"r_2","1000BGN","2007","3.1.2.1.3.2.2","."
"r_2","1000BGN","2008","3.1.2.1.3.2.2","."
"r_2","1000BGN","2009","3.1.2.1.3.2.2","1053"
"r_2","1000BGN","2010","3.1.2.1.3.2.2","1157"
"r_2","1000BGN","2011","3.1.2.1.3.2.2","1051"
"r_2","1000BGN","2012","3.1.2.1.3.2.2","2566"
"r_2","1000BGN","2013","3.1.2.1.3.2.2","3494"
"r_2","1000BGN","2014","3.1.2.1.3.2.2","3259"
"r_2","1000BGN","2015","3.1.2.1.3.2.2","2651"
"r_2","1000BGN","2016","3.1.2.1.3.2.2","2544"
"r_2","1000BGN","2017","3.1.2.1.3.2.2","3308"
"r_2","1000BGN","2018","3.1.2.1.3.2.2",".."
"r_2","1000BGN","2019","3.1.2.1.3.2.2",".."
"r_2","1000BGN","2020","3.1.2.1.3.2.2",".."
"r_2","1000BGN","2005","3.1.2.1.3.2.3","."
"r_2","1000BGN","2006","3.1.2.1.3.2.3","."
"r_2","1000BGN","2007","3.1.2.1.3.2.3","."
"r_2","1000BGN","2008","3.1.2.1.3.2.3","."
"r_2","1000BGN","2009","3.1.2.1.3.2.3","126481"
"r_2","1000BGN","2010","3.1.2.1.3.2.3","137454"
"r_2","1000BGN","2011","3.1.2.1.3.2.3","135091"
"r_2","1000BGN","2012","3.1.2.1.3.2.3","158152"
"r_2","1000BGN","2013","3.1.2.1.3.2.3","161274"
"r_2","1000BGN","2014","3.1.2.1.3.2.3","186004"
"r_2","1000BGN","2015","3.1.2.1.3.2.3","184906"
"r_2","1000BGN","2016","3.1.2.1.3.2.3","187259"
"r_2","1000BGN","2017","3.1.2.1.3.2.3","206947"
"r_2","1000BGN","2018","3.1.2.1.3.2.3","263591"
"r_2","1000BGN","2019","3.1.2.1.3.2.3",".."
"r_2","1000BGN","2020","3.1.2.1.3.2.3","300431"
"r_2","1000BGN","2005","3.1.2.1.3.2.4","46319"
"r_2","1000BGN","2006","3.1.2.1.3.2.4","47517"
"r_2","1000BGN","2007","3.1.2.1.3.2.4","53798"
"r_2","1000BGN","2008","3.1.2.1.3.2.4","62352"
"r_2","1000BGN","2009","3.1.2.1.3.2.4","131448"
"r_2","1000BGN","2010","3.1.2.1.3.2.4","145990"
