RevisionColumn,HBS_Meassure,HBS_PD,periods,Residence,ValueColumn
"r_1","2","11","2012","2","3047"
"r_1","2","11","2013","0","4481"
"r_1","2","11","2013","1","4876"
"r_1","2","11","2013","2","3246"
"r_1","2","11","2014","0","4591"
"r_1","2","11","2014","1","4985"
"r_1","2","11","2014","2","3330"
"r_1","2","111","2008","0","1816"
"r_1","2","111","2008","1","2137"
"r_1","2","111","2008","2","1080"
"r_1","2","111","2009","0","1928"
"r_1","2","111","2009","1","2244"
"r_1","2","111","2009","2","1183"
"r_1","2","111","2010","0","1857"
"r_1","2","111","2010","1","2097"
"r_1","2","111","2010","2","1217"
"r_1","2","111","2011","0","1960"
"r_1","2","111","2011","1","2225"
"r_1","2","111","2011","2","1243"
"r_1","2","111","2012","0","2281"
"r_1","2","111","2012","1","2586"
"r_1","2","111","2012","2","1375"
"r_1","2","111","2013","0","2557"
"r_1","2","111","2013","1","2909"
"r_1","2","111","2013","2","1458"
"r_1","2","111","2014","0","2610"
"r_1","2","111","2014","1","2976"
"r_1","2","111","2014","2","1435"
"r_1","2","112","2008","0","170"
"r_1","2","112","2008","1","190"
"r_1","2","112","2008","2","125"
"r_1","2","112","2009","0","151"
"r_1","2","112","2009","1","165"
"r_1","2","112","2009","2","119"
"r_1","2","112","2010","0","76"
"r_1","2","112","2010","1","81"
"r_1","2","112","2010","2","62"
"r_1","2","112","2011","0","49"
"r_1","2","112","2011","1","54"
"r_1","2","112","2011","2","38"
"r_1","2","112","2012","0","108"
"r_1","2","112","2012","1","122"
"r_1","2","112","2012","2","68"
"r_1","2","112","2013","0","181"
"r_1","2","112","2013","1","203"
"r_1","2","112","2013","2","111"
"r_1","2","112","2014","0","166"
"r_1","2","112","2014","1","177"
"r_1","2","112","2014","2","129"
"r_1","2","113","2008","0","178"
"r_1","2","113","2008","1","182"
"r_1","2","113","2008","2","168"
"r_1","2","113","2009","0","176"
"r_1","2","113","2009","1","175"
"r_1","2","113","2009","2","178"
"r_1","2","113","2010","0","174"
"r_1","2","113","2010","1","189"
"r_1","2","113","2010","2","132"
"r_1","2","113","2011","0","241"
"r_1","2","113","2011","1","285"
"r_1","2","113","2011","2","121"
"r_1","2","113","2012","0","275"
"r_1","2","113","2012","1","306"
"r_1","2","113","2012","2","182"
"r_1","2","113","2013","0","274"
"r_1","2","113","2013","1","306"
"r_1","2","113","2013","2","173"
"r_1","2","113","2014","0","313"
"r_1","2","113","2014","1","341"
"r_1","2","113","2014","2","222"
"r_1","2","114","2008","0","31"
"r_1","2","114","2008","1","37"
"r_1","2","114","2008","2","17"
"r_1","2","114","2009","0","24"
"r_1","2","114","2009","1","29"
