RevisionColumn,Units,periods,Indicators,ValueColumn
"r_2","1000BGN","2013","3.1.2.5.3.1.3","4445306"
"r_2","1000BGN","2014","3.1.2.5.3.1.3","4848177"
"r_2","1000BGN","2015","3.1.2.5.3.1.3","4392540"
"r_2","1000BGN","2016","3.1.2.5.3.1.3","6834501"
"r_2","1000BGN","2017","3.1.2.5.3.1.3","6102459"
"r_2","1000BGN","2018","3.1.2.5.3.1.3","5649863"
"r_2","1000BGN","2019","3.1.2.5.3.1.3","5378851"
"r_2","1000BGN","2020","3.1.2.5.3.1.3","5566952"
"r_2","1000BGN","2005","3.1.2.5.3.1.3.1","."
"r_2","1000BGN","2006","3.1.2.5.3.1.3.1","."
"r_2","1000BGN","2007","3.1.2.5.3.1.3.1","."
"r_2","1000BGN","2008","3.1.2.5.3.1.3.1","."
"r_2","1000BGN","2009","3.1.2.5.3.1.3.1","4026592"
"r_2","1000BGN","2010","3.1.2.5.3.1.3.1","4589034"
"r_2","1000BGN","2011","3.1.2.5.3.1.3.1","6429876"
"r_2","1000BGN","2012","3.1.2.5.3.1.3.1","7276004"
"r_2","1000BGN","2013","3.1.2.5.3.1.3.1","4376530"
"r_2","1000BGN","2014","3.1.2.5.3.1.3.1","4741855"
"r_2","1000BGN","2015","3.1.2.5.3.1.3.1","4303521"
"r_2","1000BGN","2016","3.1.2.5.3.1.3.1","6709113"
"r_2","1000BGN","2017","3.1.2.5.3.1.3.1","5960918"
"r_2","1000BGN","2018","3.1.2.5.3.1.3.1","5507997"
"r_2","1000BGN","2019","3.1.2.5.3.1.3.1","5191373"
"r_2","1000BGN","2020","3.1.2.5.3.1.3.1","5316178"
"r_2","1000BGN","2005","3.1.2.5.3.1.3.2","."
"r_2","1000BGN","2006","3.1.2.5.3.1.3.2","."
"r_2","1000BGN","2007","3.1.2.5.3.1.3.2","."
"r_2","1000BGN","2008","3.1.2.5.3.1.3.2","."
"r_2","1000BGN","2009","3.1.2.5.3.1.3.2","53132"
"r_2","1000BGN","2010","3.1.2.5.3.1.3.2","52290"
"r_2","1000BGN","2011","3.1.2.5.3.1.3.2","46881"
"r_2","1000BGN","2012","3.1.2.5.3.1.3.2","53394"
"r_2","1000BGN","2013","3.1.2.5.3.1.3.2","68776"
"r_2","1000BGN","2014","3.1.2.5.3.1.3.2","106322"
"r_2","1000BGN","2015","3.1.2.5.3.1.3.2","89019"
"r_2","1000BGN","2016","3.1.2.5.3.1.3.2","125388"
"r_2","1000BGN","2017","3.1.2.5.3.1.3.2","141541"
"r_2","1000BGN","2018","3.1.2.5.3.1.3.2","141866"
"r_2","1000BGN","2019","3.1.2.5.3.1.3.2","187478"
"r_2","1000BGN","2020","3.1.2.5.3.1.3.2","250774"
"r_2","1000BGN","2005","3.1.2.5.3.1","932747"
"r_2","1000BGN","2006","3.1.2.5.3.1","2826231"
"r_2","1000BGN","2007","3.1.2.5.3.1","7003847"
"r_2","1000BGN","2008","3.1.2.5.3.1","3473612"
"r_2","1000BGN","2009","3.1.2.5.3.1","5588335"
"r_2","1000BGN","2010","3.1.2.5.3.1","6790368"
"r_2","1000BGN","2011","3.1.2.5.3.1","9024353"
"r_2","1000BGN","2012","3.1.2.5.3.1","9523089"
"r_2","1000BGN","2013","3.1.2.5.3.1","6853492"
"r_2","1000BGN","2014","3.1.2.5.3.1","7372524"
"r_2","1000BGN","2015","3.1.2.5.3.1","6942871"
"r_2","1000BGN","2016","3.1.2.5.3.1","9705654"
"r_2","1000BGN","2017","3.1.2.5.3.1","9310272"
"r_2","1000BGN","2018","3.1.2.5.3.1","9109973"
"r_2","1000BGN","2019","3.1.2.5.3.1","9096751"
"r_2","1000BGN","2020","3.1.2.5.3.1","9450543"
"r_2","1000BGN","2005","3.1.2.5.3.2.1","175191"
"r_2","1000BGN","2006","3.1.2.5.3.2.1","411712"
"r_2","1000BGN","2007","3.1.2.5.3.2.1","1566474"
"r_2","1000BGN","2008","3.1.2.5.3.2.1","930171"
"r_2","1000BGN","2009","3.1.2.5.3.2.1","1121983"
"r_2","1000BGN","2010","3.1.2.5.3.2.1","1470430"
"r_2","1000BGN","2011","3.1.2.5.3.2.1","1812962"
"r_2","1000BGN","2012","3.1.2.5.3.2.1","1492500"
"r_2","1000BGN","2013","3.1.2.5.3.2.1","1733190"
"r_2","1000BGN","2014","3.1.2.5.3.2.1","1833083"
"r_2","1000BGN","2015","3.1.2.5.3.2.1","1905135"
"r_2","1000BGN","2016","3.1.2.5.3.2.1","2220579"
"r_2","1000BGN","2017","3.1.2.5.3.2.1","2566906"
"r_2","1000BGN","2018","3.1.2.5.3.2.1","2815668"
"r_2","1000BGN","2019","3.1.2.5.3.2.1","3041190"
"r_2","1000BGN","2020","3.1.2.5.3.2.1","3203847"
"r_2","1000BGN","2005","3.1.2.5.3.2.1.1","126850"
"r_2","1000BGN","2006","3.1.2.5.3.2.1.1","290470"
"r_2","1000BGN","2007","3.1.2.5.3.2.1.1","720237"
"r_2","1000BGN","2008","3.1.2.5.3.2.1.1","720030"
"r_2","1000BGN","2009","3.1.2.5.3.2.1.1","919564"
"r_2","1000BGN","2010","3.1.2.5.3.2.1.1","1204374"
"r_2","1000BGN","2011","3.1.2.5.3.2.1.1","1533904"
"r_2","1000BGN","2012","3.1.2.5.3.2.1.1","1228269"
"r_2","1000BGN","2013","3.1.2.5.3.2.1.1","1412260"
"r_2","1000BGN","2014","3.1.2.5.3.2.1.1","1469822"
"r_2","1000BGN","2015","3.1.2.5.3.2.1.1","1499807"
"r_2","1000BGN","2016","3.1.2.5.3.2.1.1","1761705"
"r_2","1000BGN","2017","3.1.2.5.3.2.1.1","2029454"
"r_2","1000BGN","2018","3.1.2.5.3.2.1.1","2103376"
"r_2","1000BGN","2019","3.1.2.5.3.2.1.1","2294441"
"r_2","1000BGN","2020","3.1.2.5.3.2.1.1","2498294"
"r_2","1000BGN","2005","3.1.2.5.3.2.1.2","26764"
"r_2","1000BGN","2006","3.1.2.5.3.2.1.2","70536"
"r_2","1000BGN","2007","3.1.2.5.3.2.1.2","339205"
"r_2","1000BGN","2008","3.1.2.5.3.2.1.2","241746"
"r_2","1000BGN","2009","3.1.2.5.3.2.1.2","292921"
"r_2","1000BGN","2010","3.1.2.5.3.2.1.2","377079"
"r_2","1000BGN","2011","3.1.2.5.3.2.1.2","359709"
"r_2","1000BGN","2012","3.1.2.5.3.2.1.2","363464"
"r_2","1000BGN","2013","3.1.2.5.3.2.1.2",".."
"r_2","1000BGN","2014","3.1.2.5.3.2.1.2","399798"
"r_2","1000BGN","2015","3.1.2.5.3.2.1.2","355758"
"r_2","1000BGN","2016","3.1.2.5.3.2.1.2","289041"
"r_2","1000BGN","2017","3.1.2.5.3.2.1.2","289394"
"r_2","1000BGN","2018","3.1.2.5.3.2.1.2","391518"
"r_2","1000BGN","2019","3.1.2.5.3.2.1.2","438078"
"r_2","1000BGN","2020","3.1.2.5.3.2.1.2","406555"
"r_2","1000BGN","2005","3.1.2.5.3.2.1.3","109"
"r_2","1000BGN","2006","3.1.2.5.3.2.1.3","57"
"r_2","1000BGN","2007","3.1.2.5.3.2.1.3","30"
"r_2","1000BGN","2008","3.1.2.5.3.2.1.3","-1346"
"r_2","1000BGN","2009","3.1.2.5.3.2.1.3","-768"
"r_2","1000BGN","2010","3.1.2.5.3.2.1.3","-947"
"r_2","1000BGN","2011","3.1.2.5.3.2.1.3","-1164"
"r_2","1000BGN","2012","3.1.2.5.3.2.1.3","-1038"
"r_2","1000BGN","2013","3.1.2.5.3.2.1.3",".."
"r_2","1000BGN","2014","3.1.2.5.3.2.1.3","-1073"
"r_2","1000BGN","2015","3.1.2.5.3.2.1.3","89"
"r_2","1000BGN","2016","3.1.2.5.3.2.1.3","-349"
"r_2","1000BGN","2017","3.1.2.5.3.2.1.3","59"
"r_2","1000BGN","2018","3.1.2.5.3.2.1.3","257"
"r_2","1000BGN","2019","3.1.2.5.3.2.1.3",".."
"r_2","1000BGN","2020","3.1.2.5.3.2.1.3","505"
"r_2","1000BGN","2005","3.1.2.5.3.2.1.4","21468"
"r_2","1000BGN","2006","3.1.2.5.3.2.1.4","50649"
"r_2","1000BGN","2007","3.1.2.5.3.2.1.4","507002"
"r_2","1000BGN","2008","3.1.2.5.3.2.1.4","-30259"
"r_2","1000BGN","2009","3.1.2.5.3.2.1.4","-89734"
"r_2","1000BGN","2010","3.1.2.5.3.2.1.4","-110076"
"r_2","1000BGN","2011","3.1.2.5.3.2.1.4","-79748"
"r_2","1000BGN","2012","3.1.2.5.3.2.1.4","-98195"
"r_2","1000BGN","2013","3.1.2.5.3.2.1.4","-53335"
"r_2","1000BGN","2014","3.1.2.5.3.2.1.4","-35464"
"r_2","1000BGN","2015","3.1.2.5.3.2.1.4","49481"
"r_2","1000BGN","2016","3.1.2.5.3.2.1.4","170182"
"r_2","1000BGN","2017","3.1.2.5.3.2.1.4","247999"
"r_2","1000BGN","2018","3.1.2.5.3.2.1.4","320517"
"r_2","1000BGN","2019","3.1.2.5.3.2.1.4",".."
"r_2","1000BGN","2020","3.1.2.5.3.2.1.4","298493"
"r_2","1000BGN","2005","3.1.2.5.3.2.2","555"
"r_2","1000BGN","2006","3.1.2.5.3.2.2","16126"
"r_2","1000BGN","2007","3.1.2.5.3.2.2","113146"
"r_2","1000BGN","2008","3.1.2.5.3.2.2","150879"
"r_2","1000BGN","2009","3.1.2.5.3.2.2","236061"
"r_2","1000BGN","2010","3.1.2.5.3.2.2","405447"
"r_2","1000BGN","2011","3.1.2.5.3.2.2","347599"
"r_2","1000BGN","2012","3.1.2.5.3.2.2","301689"
"r_2","1000BGN","2013","3.1.2.5.3.2.2",".."
"r_2","1000BGN","2014","3.1.2.5.3.2.2","366277"
"r_2","1000BGN","2015","3.1.2.5.3.2.2","380747"
"r_2","1000BGN","2016","3.1.2.5.3.2.2","345600"
"r_2","1000BGN","2017","3.1.2.5.3.2.2","372673"
"r_2","1000BGN","2018","3.1.2.5.3.2.2","378224"
"r_2","1000BGN","2019","3.1.2.5.3.2.2","407887"
"r_2","1000BGN","2020","3.1.2.5.3.2.2","385736"
"r_2","1000BGN","2005","3.1.2.5.3.2.3","757001"
"r_2","1000BGN","2006","3.1.2.5.3.2.3","2397040"
"r_2","1000BGN","2007","3.1.2.5.3.2.3","5322378"
"r_2","1000BGN","2008","3.1.2.5.3.2.3","2392517"
"r_2","1000BGN","2009","3.1.2.5.3.2.3","4228597"
"r_2","1000BGN","2010","3.1.2.5.3.2.3","4912092"
"r_2","1000BGN","2011","3.1.2.5.3.2.3","6860844"
"r_2","1000BGN","2012","3.1.2.5.3.2.3","7725403"
"r_2","1000BGN","2013","3.1.2.5.3.2.3","4824131"
"r_2","1000BGN","2014","3.1.2.5.3.2.3","5166184"
"r_2","1000BGN","2015","3.1.2.5.3.2.3","4648924"
"r_2","1000BGN","2016","3.1.2.5.3.2.3","7116346"
"r_2","1000BGN","2017","3.1.2.5.3.2.3","6359125"
"r_2","1000BGN","2018","3.1.2.5.3.2.3","5901371"
"r_2","1000BGN","2019","3.1.2.5.3.2.3","5636890"
"r_2","1000BGN","2020","3.1.2.5.3.2.3","5848083"
