RevisionColumn,EKATTE,Units,Edu_schYear,ValueColumn
"r_1","VID33","num","2000/2001","103"
"r_1","VID33","num","2001/2002","108"
"r_1","VID33","num","2002/2003","116"
"r_1","VID33","num","2003/2004","144"
"r_1","VID33","num","2004/2005","148"
"r_1","VID33","num","2005/2006","152"
"r_1","VID33","num","2006/2007","163"
"r_1","VID33","num","2007/2008","167"
"r_1","VID33","num","2008/2009","158"
"r_1","VID33","num","2009/2010","136"
"r_1","VID33","num","2010/2011","145"
"r_1","VID33","num","2011/2012","147"
"r_1","VID33","num","2012/2013","116"
"r_1","VID33","num","2013/2014","119"
"r_1","VID33","num","2014/2015","116"
"r_1","VID37","num","2000/2001","39"
"r_1","VID37","num","2001/2002","39"
"r_1","VID37","num","2002/2003","41"
"r_1","VID37","num","2003/2004","35"
"r_1","VID37","num","2004/2005","32"
"r_1","VID37","num","2005/2006","36"
"r_1","VID37","num","2006/2007","37"
"r_1","VID37","num","2007/2008","39"
"r_1","VID37","num","2008/2009","44"
"r_1","VID37","num","2009/2010","50"
"r_1","VID37","num","2010/2011","66"
"r_1","VID37","num","2011/2012","65"
"r_1","VID37","num","2012/2013","66"
"r_1","VID37","num","2013/2014","62"
"r_1","VID37","num","2014/2015","49"
"r_1","VRC","num","2000/2001","6930"
"r_1","VRC","num","2001/2002","6406"
"r_1","VRC","num","2002/2003","6527"
"r_1","VRC","num","2003/2004","6424"
"r_1","VRC","num","2004/2005","6423"
"r_1","VRC","num","2005/2006","6300"
"r_1","VRC","num","2006/2007","6117"
"r_1","VRC","num","2007/2008","6005"
"r_1","VRC","num","2008/2009","6193"
"r_1","VRC","num","2009/2010","6265"
"r_1","VRC","num","2010/2011","6188"
"r_1","VRC","num","2011/2012","6137"
"r_1","VRC","num","2012/2013","6164"
"r_1","VRC","num","2013/2014","6090"
"r_1","VRC","num","2014/2015","5997"
"r_1","VRC05","num","2000/2001","200"
"r_1","VRC05","num","2001/2002","181"
"r_1","VRC05","num","2002/2003","199"
"r_1","VRC05","num","2003/2004","193"
"r_1","VRC05","num","2004/2005","191"
"r_1","VRC05","num","2005/2006","196"
"r_1","VRC05","num","2006/2007","200"
"r_1","VRC05","num","2007/2008","192"
"r_1","VRC05","num","2008/2009","216"
"r_1","VRC05","num","2009/2010","218"
"r_1","VRC05","num","2010/2011","227"
"r_1","VRC05","num","2011/2012","210"
"r_1","VRC05","num","2012/2013","202"
"r_1","VRC05","num","2013/2014","213"
"r_1","VRC05","num","2014/2015","214"
"r_1","VRC08","num","2000/2001","670"
"r_1","VRC08","num","2001/2002","652"
"r_1","VRC08","num","2002/2003","684"
"r_1","VRC08","num","2003/2004","720"
"r_1","VRC08","num","2004/2005","733"
"r_1","VRC08","num","2005/2006","725"
"r_1","VRC08","num","2006/2007","760"
"r_1","VRC08","num","2007/2008","756"
"r_1","VRC08","num","2008/2009","753"
"r_1","VRC08","num","2009/2010","796"
"r_1","VRC08","num","2010/2011","825"
"r_1","VRC08","num","2011/2012","844"
"r_1","VRC08","num","2012/2013","860"
"r_1","VRC08","num","2013/2014","825"
"r_1","VRC08","num","2014/2015","870"
"r_1","VRC10","num","2000/2001","2471"
"r_1","VRC10","num","2001/2002","2478"
"r_1","VRC10","num","2002/2003","2521"
"r_1","VRC10","num","2003/2004","2477"
"r_1","VRC10","num","2004/2005","2472"
"r_1","VRC10","num","2005/2006","2480"
"r_1","VRC10","num","2006/2007","2418"
"r_1","VRC10","num","2007/2008","2378"
"r_1","VRC10","num","2008/2009","2443"
"r_1","VRC10","num","2009/2010","2505"
"r_1","VRC10","num","2010/2011","2513"
"r_1","VRC10","num","2011/2012","2456"
"r_1","VRC10","num","2012/2013","2497"
"r_1","VRC10","num","2013/2014","2462"
"r_1","VRC10","num","2014/2015","2414"
"r_1","VRC19","num","2000/2001","438"
"r_1","VRC19","num","2001/2002","x"
"r_1","VRC19","num","2002/2003","x"
"r_1","VRC19","num","2003/2004","x"
"r_1","VRC19","num","2004/2005","x"
"r_1","VRC19","num","2005/2006","x"
"r_1","VRC19","num","2006/2007","x"
"r_1","VRC19","num","2007/2008","x"
"r_1","VRC19","num","2008/2009","x"
"r_1","VRC19","num","2009/2010","x"
"r_1","VRC19","num","2010/2011","x"
"r_1","VRC19","num","2011/2012","x"
"r_1","VRC19","num","2012/2013","x"
"r_1","VRC19","num","2013/2014","x"
"r_1","VRC19","num","2014/2015","x"
"r_1","VRC20","num","2000/2001","989"
"r_1","VRC20","num","2001/2002","966"
"r_1","VRC20","num","2002/2003","990"
"r_1","VRC20","num","2003/2004","997"
"r_1","VRC20","num","2004/2005","985"
"r_1","VRC20","num","2005/2006","928"
"r_1","VRC20","num","2006/2007","843"
"r_1","VRC20","num","2007/2008","810"
"r_1","VRC20","num","2008/2009","769"
"r_1","VRC20","num","2009/2010","780"
"r_1","VRC20","num","2010/2011","758"
"r_1","VRC20","num","2011/2012","790"
"r_1","VRC20","num","2012/2013","832"
"r_1","VRC20","num","2013/2014","792"
"r_1","VRC20","num","2014/2015","758"
"r_1","VRC21","num","2000/2001","234"
"r_1","VRC21","num","2001/2002","233"
"r_1","VRC21","num","2002/2003","237"
"r_1","VRC21","num","2003/2004","222"
"r_1","VRC21","num","2004/2005","254"
"r_1","VRC21","num","2005/2006","244"
"r_1","VRC21","num","2006/2007","234"
"r_1","VRC21","num","2007/2008","230"
"r_1","VRC21","num","2008/2009","299"
"r_1","VRC21","num","2009/2010","276"
"r_1","VRC21","num","2010/2011","261"
"r_1","VRC21","num","2011/2012","264"
"r_1","VRC21","num","2012/2013","226"
"r_1","VRC21","num","2013/2014","249"
"r_1","VRC21","num","2014/2015","248"
"r_1","VRC27","num","2000/2001","910"
"r_1","VRC27","num","2001/2002","874"
"r_1","VRC27","num","2002/2003","853"
"r_1","VRC27","num","2003/2004","793"
"r_1","VRC27","num","2004/2005","759"
"r_1","VRC27","num","2005/2006","741"
"r_1","VRC27","num","2006/2007","736"
"r_1","VRC27","num","2007/2008","724"
"r_1","VRC27","num","2008/2009","759"
"r_1","VRC27","num","2009/2010","748"
"r_1","VRC27","num","2010/2011","694"
"r_1","VRC27","num","2011/2012","708"
"r_1","VRC27","num","2012/2013","748"
"r_1","VRC27","num","2013/2014","710"
"r_1","VRC27","num","2014/2015","670"
"r_1","VRC28","num","2000/2001","326"
"r_1","VRC28","num","2001/2002","322"
"r_1","VRC28","num","2002/2003","343"
"r_1","VRC28","num","2003/2004","348"
"r_1","VRC28","num","2004/2005","310"
"r_1","VRC28","num","2005/2006","321"
"r_1","VRC28","num","2006/2007","300"
"r_1","VRC28","num","2007/2008","294"
"r_1","VRC28","num","2008/2009","305"
"r_1","VRC28","num","2009/2010","295"
"r_1","VRC28","num","2010/2011","285"
"r_1","VRC28","num","2011/2012","260"
"r_1","VRC28","num","2012/2013","237"
"r_1","VRC28","num","2013/2014","231"
"r_1","VRC28","num","2014/2015","201"
"r_1","VRC31","num","2000/2001","307"
"r_1","VRC31","num","2001/2002","301"
"r_1","VRC31","num","2002/2003","327"
"r_1","VRC31","num","2003/2004","302"
"r_1","VRC31","num","2004/2005","345"
"r_1","VRC31","num","2005/2006","326"
"r_1","VRC31","num","2006/2007","320"
"r_1","VRC31","num","2007/2008","295"
"r_1","VRC31","num","2008/2009","330"
"r_1","VRC31","num","2009/2010","316"
"r_1","VRC31","num","2010/2011","333"
"r_1","VRC31","num","2011/2012","313"
"r_1","VRC31","num","2012/2013","249"
"r_1","VRC31","num","2013/2014","289"
"r_1","VRC31","num","2014/2015","308"
"r_1","VRC32","num","2000/2001","229"
"r_1","VRC32","num","2001/2002","239"
"r_1","VRC32","num","2002/2003","225"
"r_1","VRC32","num","2003/2004","218"
"r_1","VRC32","num","2004/2005","214"
"r_1","VRC32","num","2005/2006","185"
"r_1","VRC32","num","2006/2007","171"
"r_1","VRC32","num","2007/2008","190"
"r_1","VRC32","num","2008/2009","197"
"r_1","VRC32","num","2009/2010","207"
"r_1","VRC32","num","2010/2011","196"
"r_1","VRC32","num","2011/2012","207"
"r_1","VRC32","num","2012/2013","200"
"r_1","VRC32","num","2013/2014","199"
"r_1","VRC32","num","2014/2015","206"
"r_1","VRC35","num","2000/2001","156"
"r_1","VRC35","num","2001/2002","160"
"r_1","VRC35","num","2002/2003","148"
"r_1","VRC35","num","2003/2004","154"
"r_1","VRC35","num","2004/2005","160"
"r_1","VRC35","num","2005/2006","154"
"r_1","VRC35","num","2006/2007","135"
"r_1","VRC35","num","2007/2008","136"
"r_1","VRC35","num","2008/2009","122"
"r_1","VRC35","num","2009/2010","124"
"r_1","VRC35","num","2010/2011","96"
"r_1","VRC35","num","2011/2012","85"
"r_1","VRC35","num","2012/2013","113"
"r_1","VRC35","num","2013/2014","120"
"r_1","VRC35","num","2014/2015","108"
"r_1","LOV","num","2000/2001","4067"
"r_1","LOV","num","2001/2002","4136"
"r_1","LOV","num","2002/2003","4209"
"r_1","LOV","num","2003/2004","4274"
"r_1","LOV","num","2004/2005","4397"
"r_1","LOV","num","2005/2006","4357"
"r_1","LOV","num","2006/2007","4356"
"r_1","LOV","num","2007/2008","4304"
"r_1","LOV","num","2008/2009","4282"
"r_1","LOV","num","2009/2010","4201"
"r_1","LOV","num","2010/2011","4213"
"r_1","LOV","num","2011/2012","4174"
"r_1","LOV","num","2012/2013","4383"
"r_1","LOV","num","2013/2014","4403"
"r_1","LOV","num","2014/2015","4298"
"r_1","LOV02","num","2000/2001","103"
"r_1","LOV02","num","2001/2002","113"
"r_1","LOV02","num","2002/2003","101"
"r_1","LOV02","num","2003/2004","88"
"r_1","LOV02","num","2004/2005","89"
"r_1","LOV02","num","2005/2006","93"
"r_1","LOV02","num","2006/2007","86"
"r_1","LOV02","num","2007/2008","78"
"r_1","LOV02","num","2008/2009","74"
"r_1","LOV02","num","2009/2010","73"
"r_1","LOV02","num","2010/2011","68"
"r_1","LOV02","num","2011/2012","71"
"r_1","LOV02","num","2012/2013","74"
"r_1","LOV02","num","2013/2014","73"
"r_1","LOV02","num","2014/2015","86"
"r_1","LOV17","num","2000/2001","158"
"r_1","LOV17","num","2001/2002","184"
"r_1","LOV17","num","2002/2003","165"
"r_1","LOV17","num","2003/2004","142"
"r_1","LOV17","num","2004/2005","185"
"r_1","LOV17","num","2005/2006","183"
"r_1","LOV17","num","2006/2007","170"
"r_1","LOV17","num","2007/2008","149"
"r_1","LOV17","num","2008/2009","160"
"r_1","LOV17","num","2009/2010","165"
"r_1","LOV17","num","2010/2011","165"
"r_1","LOV17","num","2011/2012","166"
"r_1","LOV17","num","2012/2013","165"
"r_1","LOV17","num","2013/2014","150"
"r_1","LOV17","num","2014/2015","145"
"r_1","LOV18","num","2000/2001","1446"
"r_1","LOV18","num","2001/2002","1503"
"r_1","LOV18","num","2002/2003","1510"
"r_1","LOV18","num","2003/2004","1502"
"r_1","LOV18","num","2004/2005","1488"
"r_1","LOV18","num","2005/2006","1424"
"r_1","LOV18","num","2006/2007","1469"
"r_1","LOV18","num","2007/2008","1503"
"r_1","LOV18","num","2008/2009","1487"
"r_1","LOV18","num","2009/2010","1423"
"r_1","LOV18","num","2010/2011","1418"
"r_1","LOV18","num","2011/2012","1383"
"r_1","LOV18","num","2012/2013","1402"
"r_1","LOV18","num","2013/2014","1363"
"r_1","LOV18","num","2014/2015","1271"
"r_1","LOV19","num","2000/2001","523"
"r_1","LOV19","num","2001/2002","484"
"r_1","LOV19","num","2002/2003","508"
"r_1","LOV19","num","2003/2004","484"
"r_1","LOV19","num","2004/2005","477"
"r_1","LOV19","num","2005/2006","502"
"r_1","LOV19","num","2006/2007","467"
"r_1","LOV19","num","2007/2008","451"
"r_1","LOV19","num","2008/2009","474"
"r_1","LOV19","num","2009/2010","490"
"r_1","LOV19","num","2010/2011","477"
"r_1","LOV19","num","2011/2012","468"
"r_1","LOV19","num","2012/2013","522"
"r_1","LOV19","num","2013/2014","587"
"r_1","LOV19","num","2014/2015","583"
"r_1","LOV33","num","2000/2001","513"
"r_1","LOV33","num","2001/2002","555"
"r_1","LOV33","num","2002/2003","593"
"r_1","LOV33","num","2003/2004","676"
"r_1","LOV33","num","2004/2005","742"
"r_1","LOV33","num","2005/2006","698"
"r_1","LOV33","num","2006/2007","703"
"r_1","LOV33","num","2007/2008","711"
"r_1","LOV33","num","2008/2009","663"
"r_1","LOV33","num","2009/2010","677"
"r_1","LOV33","num","2010/2011","686"
"r_1","LOV33","num","2011/2012","684"
"r_1","LOV33","num","2012/2013","772"
"r_1","LOV33","num","2013/2014","734"
"r_1","LOV33","num","2014/2015","751"
"r_1","LOV34","num","2000/2001","987"
"r_1","LOV34","num","2001/2002","953"
"r_1","LOV34","num","2002/2003","965"
"r_1","LOV34","num","2003/2004","994"
"r_1","LOV34","num","2004/2005","1019"
"r_1","LOV34","num","2005/2006","1005"
"r_1","LOV34","num","2006/2007","965"
"r_1","LOV34","num","2007/2008","938"
"r_1","LOV34","num","2008/2009","964"
"r_1","LOV34","num","2009/2010","929"
"r_1","LOV34","num","2010/2011","954"
"r_1","LOV34","num","2011/2012","975"
"r_1","LOV34","num","2012/2013","975"
"r_1","LOV34","num","2013/2014","994"
"r_1","LOV34","num","2014/2015","943"
"r_1","LOV36","num","2000/2001","173"
"r_1","LOV36","num","2001/2002","193"
"r_1","LOV36","num","2002/2003","195"
"r_1","LOV36","num","2003/2004","201"
"r_1","LOV36","num","2004/2005","194"
"r_1","LOV36","num","2005/2006","212"
"r_1","LOV36","num","2006/2007","254"
"r_1","LOV36","num","2007/2008","232"
"r_1","LOV36","num","2008/2009","226"
"r_1","LOV36","num","2009/2010","215"
"r_1","LOV36","num","2010/2011","217"
"r_1","LOV36","num","2011/2012","199"
"r_1","LOV36","num","2012/2013","227"
"r_1","LOV36","num","2013/2014","239"
"r_1","LOV36","num","2014/2015","239"
"r_1","LOV38","num","2000/2001","164"
"r_1","LOV38","num","2001/2002","151"
"r_1","LOV38","num","2002/2003","172"
"r_1","LOV38","num","2003/2004","187"
"r_1","LOV38","num","2004/2005","203"
"r_1","LOV38","num","2005/2006","240"
"r_1","LOV38","num","2006/2007","242"
"r_1","LOV38","num","2007/2008","242"
"r_1","LOV38","num","2008/2009","234"
"r_1","LOV38","num","2009/2010","229"
"r_1","LOV38","num","2010/2011","228"
"r_1","LOV38","num","2011/2012","228"
"r_1","LOV38","num","2012/2013","246"
"r_1","LOV38","num","2013/2014","263"
"r_1","LOV38","num","2014/2015","280"
"r_1","MON","num","2000/2001","4298"
"r_1","MON","num","2001/2002","4284"
"r_1","MON","num","2002/2003","4164"
"r_1","MON","num","2003/2004","4251"
"r_1","MON","num","2004/2005","4424"
"r_1","MON","num","2005/2006","4207"
"r_1","MON","num","2006/2007","4214"
"r_1","MON","num","2007/2008","4301"
"r_1","MON","num","2008/2009","4242"
"r_1","MON","num","2009/2010","4284"
"r_1","MON","num","2010/2011","4329"
"r_1","MON","num","2011/2012","4379"
"r_1","MON","num","2012/2013","4338"
"r_1","MON","num","2013/2014","4441"
"r_1","MON","num","2014/2015","4369"
"r_1","MON02","num","2000/2001","504"
"r_1","MON02","num","2001/2002","490"
"r_1","MON02","num","2002/2003","494"
"r_1","MON02","num","2003/2004","554"
"r_1","MON02","num","2004/2005","541"
"r_1","MON02","num","2005/2006","519"
"r_1","MON02","num","2006/2007","536"
"r_1","MON02","num","2007/2008","549"
"r_1","MON02","num","2008/2009","537"
"r_1","MON02","num","2009/2010","573"
"r_1","MON02","num","2010/2011","470"
"r_1","MON02","num","2011/2012","514"
"r_1","MON02","num","2012/2013","521"
"r_1","MON02","num","2013/2014","542"
"r_1","MON02","num","2014/2015","519"
"r_1","MON04","num","2000/2001","264"
"r_1","MON04","num","2001/2002","240"
"r_1","MON04","num","2002/2003","296"
"r_1","MON04","num","2003/2004","299"
"r_1","MON04","num","2004/2005","302"
"r_1","MON04","num","2005/2006","330"
"r_1","MON04","num","2006/2007","310"
"r_1","MON04","num","2007/2008","296"
"r_1","MON04","num","2008/2009","278"
"r_1","MON04","num","2009/2010","299"
"r_1","MON04","num","2010/2011","290"
"r_1","MON04","num","2011/2012","294"
"r_1","MON04","num","2012/2013","282"
"r_1","MON04","num","2013/2014","294"
"r_1","MON04","num","2014/2015","301"
"r_1","MON07","num","2000/2001","145"
"r_1","MON07","num","2001/2002","150"
"r_1","MON07","num","2002/2003","141"
