RevisionColumn,GenderID,SILC_Activity,SILC_Age,Units,periods,ValueColumn
"r_2","1","3","2","perc_pop_fig","2010","80.7"
"r_2","1","3","2","perc_pop_fig","2011","81.5"
"r_2","1","3","2","perc_pop_fig","2012","77.6"
"r_2","1","3","2","perc_pop_fig","2013","78.8"
"r_2","1","3","2","perc_pop_fig","2014","75.6"
"r_2","2","3","2","perc_pop_fig","2008","75.3"
"r_2","2","3","2","perc_pop_fig","2009","72.1"
"r_2","2","3","2","perc_pop_fig","2010","78.9"
"r_2","2","3","2","perc_pop_fig","2011","75.8"
"r_2","2","3","2","perc_pop_fig","2012","77.8"
"r_2","2","3","2","perc_pop_fig","2013","80"
"r_2","2","3","2","perc_pop_fig","2014","69"
"r_2","0","3","9","perc_pop_fig","2008","76.5"
"r_2","0","3","9","perc_pop_fig","2009","75.5"
"r_2","0","3","9","perc_pop_fig","2010","79.8"
"r_2","0","3","9","perc_pop_fig","2011","78.9"
"r_2","0","3","9","perc_pop_fig","2012","77.7"
"r_2","0","3","9","perc_pop_fig","2013","79.4"
"r_2","0","3","9","perc_pop_fig","2014","72.8"
"r_2","1","3","9","perc_pop_fig","2008","77.7"
"r_2","1","3","9","perc_pop_fig","2009","79.3"
"r_2","1","3","9","perc_pop_fig","2010","80.7"
"r_2","1","3","9","perc_pop_fig","2011","81.5"
"r_2","1","3","9","perc_pop_fig","2012","77.5"
"r_2","1","3","9","perc_pop_fig","2013","78.9"
"r_2","1","3","9","perc_pop_fig","2014","75.8"
"r_2","2","3","9","perc_pop_fig","2008","75.4"
"r_2","2","3","9","perc_pop_fig","2009","72.1"
"r_2","2","3","9","perc_pop_fig","2010","78.9"
"r_2","2","3","9","perc_pop_fig","2011","75.8"
"r_2","2","3","9","perc_pop_fig","2012","77.8"
"r_2","2","3","9","perc_pop_fig","2013","80"
"r_2","2","3","9","perc_pop_fig","2014","68.9"
"r_2","0","4","2","perc_pop_fig","2008","60.6"
"r_2","0","4","2","perc_pop_fig","2009","55.6"
"r_2","0","4","2","perc_pop_fig","2010","58.6"
"r_2","0","4","2","perc_pop_fig","2011","54"
"r_2","0","4","2","perc_pop_fig","2012","55"
"r_2","0","4","2","perc_pop_fig","2013","50.2"
"r_2","0","4","2","perc_pop_fig","2014","41.1"
"r_2","1","4","2","perc_pop_fig","2008","58.1"
"r_2","1","4","2","perc_pop_fig","2009","48.2"
"r_2","1","4","2","perc_pop_fig","2010","52.9"
"r_2","1","4","2","perc_pop_fig","2011","48"
"r_2","1","4","2","perc_pop_fig","2012","50.7"
"r_2","1","4","2","perc_pop_fig","2013","45.3"
"r_2","1","4","2","perc_pop_fig","2014","37.7"
"r_2","2","4","2","perc_pop_fig","2008","62.1"
"r_2","2","4","2","perc_pop_fig","2009","60.3"
"r_2","2","4","2","perc_pop_fig","2010","62.1"
"r_2","2","4","2","perc_pop_fig","2011","58.2"
