RevisionColumn,NUTS,SILC_Median,SILC_HHType,Units,periods,ValueColumn
"r_5","BG411","1","1","BGN_fig","2016","3781"
"r_5","BG411","1","2","BGN_fig","2016","7939"
"r_5","BG411","2","1","BGN_fig","2016","4726"
"r_5","BG411","2","2","BGN_fig","2016","9924"
"r_5","BG411","3","1","BGN_fig","2016","5671"
"r_5","BG411","3","2","BGN_fig","2016","11909"
"r_5","BG411","4","1","BGN_fig","2016","6616"
"r_5","BG411","4","2","BGN_fig","2016","13894"
"r_5","BG42","1","1","Euro","2016","1081"
"r_5","BG42","1","2","Euro","2016","2271"
"r_5","BG42","2","1","Euro","2016","1352"
"r_5","BG42","2","2","Euro","2016","2839"
"r_5","BG42","3","1","Euro","2016","1622"
"r_5","BG42","3","2","Euro","2016","3406"
"r_5","BG42","4","1","Euro","2016","1892"
"r_5","BG42","4","2","Euro","2016","3974"
"r_5","BG42","1","1","BGN_fig","2016","2115"
"r_5","BG42","1","2","BGN_fig","2016","4441"
"r_5","BG42","2","1","BGN_fig","2016","2644"
"r_5","BG42","2","2","BGN_fig","2016","5552"
"r_5","BG42","3","1","BGN_fig","2016","3172"
"r_5","BG42","3","2","BGN_fig","2016","6662"
"r_5","BG42","4","1","BGN_fig","2016","3701"
"r_5","BG42","4","2","BGN_fig","2016","7772"
"r_5","BG425","1","1","BGN_fig","2016","1770"
"r_5","BG425","1","2","BGN_fig","2016","3717"
"r_5","BG425","2","1","BGN_fig","2016","2213"
"r_5","BG425","2","2","BGN_fig","2016","4646"
"r_5","BG425","3","1","BGN_fig","2016","2655"
"r_5","BG425","3","2","BGN_fig","2016","5576"
"r_5","BG425","4","1","BGN_fig","2016","3098"
"r_5","BG425","4","2","BGN_fig","2016","6505"
"r_5","BG423","1","1","BGN_fig","2016","1632"
"r_5","BG423","1","2","BGN_fig","2016","3428"
"r_5","BG423","2","1","BGN_fig","2016","2040"
"r_5","BG423","2","2","BGN_fig","2016","4285"
"r_5","BG423","3","1","BGN_fig","2016","2448"
"r_5","BG423","3","2","BGN_fig","2016","5142"
"r_5","BG423","4","1","BGN_fig","2016","2856"
"r_5","BG423","4","2","BGN_fig","2016","5999"
"r_5","BG421","1","1","BGN_fig","2016","2308"
"r_5","BG421","1","2","BGN_fig","2016","4846"
"r_5","BG421","2","1","BGN_fig","2016","2885"
"r_5","BG421","2","2","BGN_fig","2016","6057"
"r_5","BG421","3","1","BGN_fig","2016","3461"
