RevisionColumn,NUTS,Units,periods,GenderID,ValueColumn
"r_2","BG31","perc","2007Q4","2","54.2"
"r_2","BG31","perc","2008Q1","0","57.7"
"r_2","BG31","perc","2008Q1","1","59.7"
"r_2","BG31","perc","2008Q1","2","55.7"
"r_2","BG31","perc","2008Q2","0","58.5"
"r_2","BG31","perc","2008Q2","1","61"
"r_2","BG31","perc","2008Q2","2","55.9"
"r_2","BG31","perc","2008Q3","0","60.4"
"r_2","BG31","perc","2008Q3","1","63.9"
"r_2","BG31","perc","2008Q3","2","56.8"
"r_2","BG31","perc","2008Q4","0","60.5"
"r_2","BG31","perc","2008Q4","1","63.7"
"r_2","BG31","perc","2008Q4","2","57.4"
"r_2","BG31","perc","2009Q1","0","58"
"r_2","BG31","perc","2009Q1","1","60.4"
"r_2","BG31","perc","2009Q1","2","55.6"
"r_2","BG31","perc","2009Q2","0","57"
"r_2","BG31","perc","2009Q2","1","59.5"
"r_2","BG31","perc","2009Q2","2","54.4"
"r_2","BG31","perc","2009Q3","0","57.9"
"r_2","BG31","perc","2009Q3","1","60.6"
"r_2","BG31","perc","2009Q3","2","55.1"
"r_2","BG31","perc","2009Q4","0","57.3"
"r_2","BG31","perc","2009Q4","1","59.3"
"r_2","BG31","perc","2009Q4","2","55.2"
"r_2","BG31","perc","2010Q1","0","55.5"
"r_2","BG31","perc","2010Q1","1","57.6"
"r_2","BG31","perc","2010Q1","2","53.3"
"r_2","BG31","perc","2010Q2","0","55.4"
"r_2","BG31","perc","2010Q2","1","58"
"r_2","BG31","perc","2010Q2","2","52.6"
"r_2","BG31","perc","2010Q3","0","54.3"
"r_2","BG31","perc","2010Q3","1","56.3"
"r_2","BG31","perc","2010Q3","2","52.2"
"r_2","BG31","perc","2010Q4","0","54.3"
"r_2","BG31","perc","2010Q4","1","55.2"
"r_2","BG31","perc","2010Q4","2","53.3"
"r_2","BG31","perc","2011Q1","0","52.6"
"r_2","BG31","perc","2011Q1","1","53.7"
"r_2","BG31","perc","2011Q1","2","51.4"
"r_2","BG31","perc","2011Q2","0","52.6"
"r_2","BG31","perc","2011Q2","1","54.2"
"r_2","BG31","perc","2011Q2","2","50.9"
"r_2","BG31","perc","2011Q3","0","54"
"r_2","BG31","perc","2011Q3","1","56.6"
"r_2","BG31","perc","2011Q3","2","51.2"
"r_2","BG31","perc","2011Q4","0","55.1"
"r_2","BG31","perc","2011Q4","1","57.6"
"r_2","BG31","perc","2011Q4","2","52.5"
"r_2","BG31","perc","2012Q1","0","53.7"
"r_2","BG31","perc","2012Q1","1","54.9"
"r_2","BG31","perc","2012Q1","2","52.3"
"r_2","BG31","perc","2012Q2","0","51.4"
"r_2","BG31","perc","2012Q2","1","53.1"
"r_2","BG31","perc","2012Q2","2","49.6"
"r_2","BG31","perc","2012Q3","0","53.6"
"r_2","BG31","perc","2012Q3","1","56.7"
"r_2","BG31","perc","2012Q3","2","50.2"
"r_2","BG31","perc","2012Q4","0","55.8"
"r_2","BG31","perc","2012Q4","1","57.9"
"r_2","BG31","perc","2012Q4","2","53.5"
"r_2","BG31","perc","2013Q1","0","54"
"r_2","BG31","perc","2013Q1","1","55.2"
"r_2","BG31","perc","2013Q1","2","52.6"
"r_2","BG31","perc","2013Q2","0","52.9"
"r_2","BG31","perc","2013Q2","1","54"
"r_2","BG31","perc","2013Q2","2","51.8"
"r_2","BG31","perc","2013Q3","0","56.3"
"r_2","BG31","perc","2013Q3","1","57"
"r_2","BG31","perc","2013Q3","2","55.6"
"r_2","BG31","perc","2013Q4","0","55.2"
"r_2","BG31","perc","2013Q4","1","58"
"r_2","BG31","perc","2013Q4","2","52.3"
"r_2","BG31","perc","2014Q1","0","53.7"
"r_2","BG31","perc","2014Q1","1","55.8"
"r_2","BG31","perc","2014Q1","2","51.5"
"r_2","BG31","perc","2014Q2","0","54.1"
"r_2","BG31","perc","2014Q2","1","53"
"r_2","BG31","perc","2014Q2","2","55.2"
"r_2","BG31","perc","2014Q3","0","56.5"
"r_2","BG31","perc","2014Q3","1","55.7"
"r_2","BG31","perc","2014Q3","2","57.4"
"r_2","BG31","perc","2014Q4","0","55.9"
"r_2","BG31","perc","2014Q4","1","57"
"r_2","BG31","perc","2014Q4","2","54.7"
"r_2","BG31","perc","2015Q1","0","54.1"
"r_2","BG31","perc","2015Q1","1","55.6"
"r_2","BG31","perc","2015Q1","2","52.4"
"r_2","BG31","perc","2015Q2","0","56.3"
"r_2","BG31","perc","2015Q2","1","57.4"
"r_2","BG31","perc","2015Q2","2","55.1"
"r_2","BG31","perc","2015Q3","0","57.9"
"r_2","BG31","perc","2015Q3","1","58.5"
"r_2","BG31","perc","2015Q3","2","57.2"
"r_2","BG31","perc","2015Q4","0","56.1"
"r_2","BG31","perc","2015Q4","1","58.1"
"r_2","BG31","perc","2015Q4","2","54"
"r_2","BG311","perc","2003Q1","0","38.2"
"r_2","BG311","perc","2003Q1","1","39.5"
"r_2","BG311","perc","2003Q1","2","37.1"
"r_2","BG311","perc","2003Q2","0","44.8"
"r_2","BG311","perc","2003Q2","1","45.9"
"r_2","BG311","perc","2003Q2","2","43.6"
"r_2","BG311","perc","2003Q3","0","46.5"
"r_2","BG311","perc","2003Q3","1","47.4"
"r_2","BG311","perc","2003Q3","2","45.6"
"r_2","BG311","perc","2003Q4","0","40.5"
"r_2","BG311","perc","2003Q4","1","42.8"
"r_2","BG311","perc","2003Q4","2","38.4"
"r_2","BG311","perc","2004Q1","0","41.9"
"r_2","BG311","perc","2004Q1","1","45.2"
"r_2","BG311","perc","2004Q1","2","38.8"
"r_2","BG311","perc","2004Q2","0","44.5"
"r_2","BG311","perc","2004Q2","1","46.2"
"r_2","BG311","perc","2004Q2","2","43"
"r_2","BG311","perc","2004Q3","0","42"
"r_2","BG311","perc","2004Q3","1","42.3"
"r_2","BG311","perc","2004Q3","2","41.8"
"r_2","BG311","perc","2004Q4","0","40.2"
"r_2","BG311","perc","2004Q4","1","42.1"
"r_2","BG311","perc","2004Q4","2","38.3"
"r_2","BG311","perc","2005Q1","0","39.1"
"r_2","BG311","perc","2005Q1","1","42.9"
"r_2","BG311","perc","2005Q1","2","35.7"
"r_2","BG311","perc","2005Q2","0","44.9"
"r_2","BG311","perc","2005Q2","1","49.7"
"r_2","BG311","perc","2005Q2","2","40.5"
"r_2","BG311","perc","2005Q3","0","44.7"
"r_2","BG311","perc","2005Q3","1","43.2"
"r_2","BG311","perc","2005Q3","2","46.1"
"r_2","BG311","perc","2005Q4","0","40.3"
"r_2","BG311","perc","2005Q4","1","45.9"
"r_2","BG311","perc","2005Q4","2","34.9"
"r_2","BG311","perc","2006Q1","0","40.3"
"r_2","BG311","perc","2006Q1","1","43.2"
"r_2","BG311","perc","2006Q1","2","37.5"
"r_2","BG311","perc","2006Q2","0","47"
"r_2","BG311","perc","2006Q2","1","47.4"
"r_2","BG311","perc","2006Q2","2","46.6"
"r_2","BG311","perc","2006Q3","0","49.6"
"r_2","BG311","perc","2006Q3","1","55.7"
"r_2","BG311","perc","2006Q3","2","43.7"
"r_2","BG311","perc","2006Q4","0","49.8"
"r_2","BG311","perc","2006Q4","1","55.9"
"r_2","BG311","perc","2006Q4","2","44"
"r_2","BG311","perc","2007Q1","0","46.7"
"r_2","BG311","perc","2007Q1","1","49.7"
"r_2","BG311","perc","2007Q1","2","43.9"
"r_2","BG311","perc","2007Q2","0","51.6"
"r_2","BG311","perc","2007Q2","1","52.2"
"r_2","BG311","perc","2007Q2","2","51.1"
"r_2","BG311","perc","2007Q3","0","55"
"r_2","BG311","perc","2007Q3","1","57.3"
"r_2","BG311","perc","2007Q3","2","52.7"
"r_2","BG311","perc","2007Q4","0","53.2"
"r_2","BG311","perc","2007Q4","1","57.7"
