RevisionColumn,Age10_LFS,Units,periods,GenderID,ValueColumn
"r_2","65+","1000cp","2004Q4","2","14.1"
"r_2","0","1000cp","2005Q1","0","3200.7"
"r_2","0","1000cp","2005Q1","1","1712"
"r_2","0","1000cp","2005Q1","2","1488.7"
"r_2","15 - 64","1000cp","2005Q1","0","3164.4"
"r_2","15 - 64","1000cp","2005Q1","1","1686.2"
"r_2","15 - 64","1000cp","2005Q1","2","1478.2"
"r_2","20 - 64","1000cp","2005Q1","0","3128.4"
"r_2","20 - 64","1000cp","2005Q1","1","1670"
"r_2","20 - 64","1000cp","2005Q1","2","1458.4"
"r_2","15 - 29","1000cp","2005Q1","0","648.4"
"r_2","15 - 29","1000cp","2005Q1","1","372.9"
"r_2","15 - 29","1000cp","2005Q1","2","275.4"
"r_2","15 - 24","1000cp","2005Q1","0","280.2"
"r_2","15 - 24","1000cp","2005Q1","1","158.2"
"r_2","15 - 24","1000cp","2005Q1","2","122"
"r_2","25 - 34","1000cp","2005Q1","0","798.6"
"r_2","25 - 34","1000cp","2005Q1","1","440.5"
"r_2","25 - 34","1000cp","2005Q1","2","358.1"
"r_2","35 - 44","1000cp","2005Q1","0","876.9"
"r_2","35 - 44","1000cp","2005Q1","1","449.9"
"r_2","35 - 44","1000cp","2005Q1","2","427"
"r_2","45 - 54","1000cp","2005Q1","0","867.8"
"r_2","45 - 54","1000cp","2005Q1","1","434.1"
"r_2","45 - 54","1000cp","2005Q1","2","433.7"
"r_2","55 - 64","1000cp","2005Q1","0","340.9"
"r_2","55 - 64","1000cp","2005Q1","1","203.5"
"r_2","55 - 64","1000cp","2005Q1","2","137.4"
"r_2","65+","1000cp","2005Q1","0","36.2"
"r_2","65+","1000cp","2005Q1","1","25.8"
"r_2","65+","1000cp","2005Q1","2","10.5"
"r_2","0","1000cp","2005Q2","0","3341.8"
"r_2","0","1000cp","2005Q2","1","1787.4"
"r_2","0","1000cp","2005Q2","2","1554.4"
"r_2","15 - 64","1000cp","2005Q2","0","3304.2"
"r_2","15 - 64","1000cp","2005Q2","1","1761.4"
"r_2","15 - 64","1000cp","2005Q2","2","1542.7"
"r_2","20 - 64","1000cp","2005Q2","0","3265.4"
"r_2","20 - 64","1000cp","2005Q2","1","1742.5"
"r_2","20 - 64","1000cp","2005Q2","2","1522.9"
"r_2","15 - 29","1000cp","2005Q2","0","656.4"
"r_2","15 - 29","1000cp","2005Q2","1","376.7"
"r_2","15 - 29","1000cp","2005Q2","2","279.7"
"r_2","15 - 24","1000cp","2005Q2","0","291.8"
"r_2","15 - 24","1000cp","2005Q2","1","166.8"
"r_2","15 - 24","1000cp","2005Q2","2","125"
"r_2","25 - 34","1000cp","2005Q2","0","807.5"
"r_2","25 - 34","1000cp","2005Q2","1","445.7"
"r_2","25 - 34","1000cp","2005Q2","2","361.9"
"r_2","35 - 44","1000cp","2005Q2","0","919.7"
"r_2","35 - 44","1000cp","2005Q2","1","463.3"
"r_2","35 - 44","1000cp","2005Q2","2","456.5"
"r_2","45 - 54","1000cp","2005Q2","0","913.1"
"r_2","45 - 54","1000cp","2005Q2","1","465.8"
"r_2","45 - 54","1000cp","2005Q2","2","447.4"
"r_2","55 - 64","1000cp","2005Q2","0","372"
"r_2","55 - 64","1000cp","2005Q2","1","220"
"r_2","55 - 64","1000cp","2005Q2","2","152"
"r_2","65+","1000cp","2005Q2","0","37.6"
"r_2","65+","1000cp","2005Q2","1","26"
