RevisionColumn,SILC_HHType,Units,periods,ValueColumn
"r_8","1","perc_pop_fig","2020","34.5"
"r_8","4","perc_pop_fig","2020","24.7"
"r_8","5","perc_pop_fig","2020","41.1"
"r_8","12","perc_pop_fig","2020","27.9"
"r_8","6","perc_pop_fig","2020","37.6"
"r_8","7","perc_pop_fig","2020","30"
"r_8","20","perc_pop_fig","2020","18.5"
"r_8","8","perc_pop_fig","2020","14.6"
"r_8","9","perc_pop_fig","2020","21.9"
"r_8","13","perc_pop_fig","2020","10.2"
"r_8","14","perc_pop_fig","2020","10.6"
"r_8","15","perc_pop_fig","2020","46.9"
"r_8","18","perc_pop_fig","2020","15.8"
"r_8","17","perc_pop_fig","2020","16.6"
"r_8","10","perc_pop_fig","2020","11.8"
"r_8","16","perc_pop_fig","2020","19.7"
"r_8","3","perc_pop_fig","2020","21.4"
"r_8","11","perc_pop_fig","2020","17.3"
