RevisionColumn,NUTS,GenderID,Units,periods,SILC_Age,ValueColumn
"r_2","BG312","1","perc_pop_fig","2008","0","19.1"
"r_2","BG312","1","perc_pop_fig","2009","0","37.3"
"r_2","BG312","1","perc_pop_fig","2010","0","35.9"
"r_2","BG312","1","perc_pop_fig","2011","0","29.6"
"r_2","BG312","1","perc_pop_fig","2012","0","24.5"
"r_2","BG312","1","perc_pop_fig","2013","0","23.7"
"r_2","BG312","1","perc_pop_fig","2014","0","19.8"
"r_2","BG312","2","perc_pop_fig","2008","0","19.4"
"r_2","BG312","2","perc_pop_fig","2009","0","32.5"
"r_2","BG312","2","perc_pop_fig","2010","0","36.5"
"r_2","BG312","2","perc_pop_fig","2011","0","27.4"
"r_2","BG312","2","perc_pop_fig","2012","0","22.2"
"r_2","BG312","2","perc_pop_fig","2013","0","23.8"
"r_2","BG312","2","perc_pop_fig","2014","0","19.8"
"r_2","BG314","0","perc_pop_fig","2008","0","35"
"r_2","BG314","0","perc_pop_fig","2009","0","50.5"
"r_2","BG314","0","perc_pop_fig","2010","0","44.3"
"r_2","BG314","0","perc_pop_fig","2011","0","43.5"
"r_2","BG314","0","perc_pop_fig","2012","0","45.9"
"r_2","BG314","0","perc_pop_fig","2013","0","40.9"
"r_2","BG314","0","perc_pop_fig","2014","0","29.3"
"r_2","BG314","1","perc_pop_fig","2008","0","35.3"
"r_2","BG314","1","perc_pop_fig","2009","0","49.9"
"r_2","BG314","1","perc_pop_fig","2010","0","44.1"
"r_2","BG314","1","perc_pop_fig","2011","0","43.5"
"r_2","BG314","1","perc_pop_fig","2012","0","42.6"
"r_2","BG314","1","perc_pop_fig","2013","0","37.7"
"r_2","BG314","1","perc_pop_fig","2014","0","27.7"
"r_2","BG314","2","perc_pop_fig","2008","0","34.7"
"r_2","BG314","2","perc_pop_fig","2009","0","51"
"r_2","BG314","2","perc_pop_fig","2010","0","44.4"
"r_2","BG314","2","perc_pop_fig","2011","0","43.5"
"r_2","BG314","2","perc_pop_fig","2012","0","49"
"r_2","BG314","2","perc_pop_fig","2013","0","44"
"r_2","BG314","2","perc_pop_fig","2014","0","30.9"
"r_2","BG32","0","perc_pop_fig","2008","0","51.3"
"r_2","BG32","0","perc_pop_fig","2009","0","52.9"
"r_2","BG32","0","perc_pop_fig","2010","0","55.2"
"r_2","BG32","0","perc_pop_fig","2011","0","51.6"
"r_2","BG32","0","perc_pop_fig","2012","0","47"
"r_2","BG32","0","perc_pop_fig","2013","0","43.3"
"r_2","BG32","0","perc_pop_fig","2014","0","35.8"
"r_2","BG32","1","perc_pop_fig","2008","0","50.9"
"r_2","BG32","1","perc_pop_fig","2009","0","51.4"
"r_2","BG32","1","perc_pop_fig","2010","0","53.6"
