RevisionColumn,periods,Units,NUTS,SILC_Age,GenderID,ValueColumn
"r_2","2009","perc_pop_fig","BG325","0","0","39.2"
"r_2","2010","perc_pop_fig","BG325","0","0","53.6"
"r_2","2011","perc_pop_fig","BG325","0","0","49.7"
"r_2","2012","perc_pop_fig","BG325","0","0","37.9"
"r_2","2013","perc_pop_fig","BG325","0","0","39.4"
"r_2","2014","perc_pop_fig","BG325","0","0","53.8"
"r_2","2008","perc_pop_fig","BG325","0","1","37.3"
"r_2","2009","perc_pop_fig","BG325","0","1","35.1"
"r_2","2010","perc_pop_fig","BG325","0","1","49.3"
"r_2","2011","perc_pop_fig","BG325","0","1","47.8"
"r_2","2012","perc_pop_fig","BG325","0","1","37.5"
"r_2","2013","perc_pop_fig","BG325","0","1","38.5"
"r_2","2014","perc_pop_fig","BG325","0","1","53.4"
"r_2","2008","perc_pop_fig","BG325","0","2","39.3"
"r_2","2009","perc_pop_fig","BG325","0","2","43"
"r_2","2010","perc_pop_fig","BG325","0","2","57.5"
"r_2","2011","perc_pop_fig","BG325","0","2","51.9"
"r_2","2012","perc_pop_fig","BG325","0","2","38.4"
"r_2","2013","perc_pop_fig","BG325","0","2","40.7"
"r_2","2014","perc_pop_fig","BG325","0","2","54.2"
"r_2","2008","perc_pop_fig","BG33","0","0","31.7"
"r_2","2009","perc_pop_fig","BG33","0","0","40.6"
"r_2","2010","perc_pop_fig","BG33","0","0","42.9"
"r_2","2011","perc_pop_fig","BG33","0","0","42.1"
"r_2","2012","perc_pop_fig","BG33","0","0","42.2"
"r_2","2013","perc_pop_fig","BG33","0","0","42.2"
"r_2","2014","perc_pop_fig","BG33","0","0","47"
"r_2","2008","perc_pop_fig","BG33","0","1","31.1"
"r_2","2009","perc_pop_fig","BG33","0","1","38.8"
"r_2","2010","perc_pop_fig","BG33","0","1","41"
"r_2","2011","perc_pop_fig","BG33","0","1","39.6"
"r_2","2012","perc_pop_fig","BG33","0","1","41"
"r_2","2013","perc_pop_fig","BG33","0","1","42"
"r_2","2014","perc_pop_fig","BG33","0","1","45.7"
"r_2","2008","perc_pop_fig","BG33","0","2","32.3"
"r_2","2009","perc_pop_fig","BG33","0","2","42.3"
"r_2","2010","perc_pop_fig","BG33","0","2","44.7"
"r_2","2011","perc_pop_fig","BG33","0","2","44.5"
"r_2","2012","perc_pop_fig","BG33","0","2","43.3"
"r_2","2013","perc_pop_fig","BG33","0","2","42.4"
"r_2","2014","perc_pop_fig","BG33","0","2","48.2"
"r_2","2008","perc_pop_fig","BG331","0","0","35.1"
"r_2","2009","perc_pop_fig","BG331","0","0","43.6"
"r_2","2010","perc_pop_fig","BG331","0","0","39.3"
"r_2","2011","perc_pop_fig","BG331","0","0","42.4"
"r_2","2012","perc_pop_fig","BG331","0","0","42.9"
"r_2","2013","perc_pop_fig","BG331","0","0","42.9"
"r_2","2014","perc_pop_fig","BG331","0","0","50.4"
"r_2","2008","perc_pop_fig","BG331","0","1","32.8"
"r_2","2009","perc_pop_fig","BG331","0","1","39.6"
"r_2","2010","perc_pop_fig","BG331","0","1","36.9"
"r_2","2011","perc_pop_fig","BG331","0","1","39.2"
"r_2","2012","perc_pop_fig","BG331","0","1","41.2"
"r_2","2013","perc_pop_fig","BG331","0","1","43.8"
"r_2","2014","perc_pop_fig","BG331","0","1","49.4"
"r_2","2008","perc_pop_fig","BG331","0","2","37.1"
"r_2","2009","perc_pop_fig","BG331","0","2","47.1"
"r_2","2010","perc_pop_fig","BG331","0","2","41.4"
"r_2","2011","perc_pop_fig","BG331","0","2","45.5"
"r_2","2012","perc_pop_fig","BG331","0","2","44.6"
"r_2","2013","perc_pop_fig","BG331","0","2","42.1"
"r_2","2014","perc_pop_fig","BG331","0","2","51.3"
"r_2","2008","perc_pop_fig","BG332","0","0","33.2"
"r_2","2009","perc_pop_fig","BG332","0","0","36.9"
"r_2","2010","perc_pop_fig","BG332","0","0","44.3"
"r_2","2011","perc_pop_fig","BG332","0","0","42.4"
"r_2","2012","perc_pop_fig","BG332","0","0","36.2"
"r_2","2013","perc_pop_fig","BG332","0","0","36.6"
"r_2","2014","perc_pop_fig","BG332","0","0","37.6"
"r_2","2008","perc_pop_fig","BG332","0","1","31.6"
"r_2","2009","perc_pop_fig","BG332","0","1","33"
"r_2","2010","perc_pop_fig","BG332","0","1","44.1"
"r_2","2011","perc_pop_fig","BG332","0","1","41.3"
"r_2","2012","perc_pop_fig","BG332","0","1","35.8"
"r_2","2013","perc_pop_fig","BG332","0","1","34.7"
"r_2","2014","perc_pop_fig","BG332","0","1","37.4"
"r_2","2008","perc_pop_fig","BG332","0","2","34.8"
"r_2","2009","perc_pop_fig","BG332","0","2","40.6"
"r_2","2010","perc_pop_fig","BG332","0","2","44.4"
"r_2","2011","perc_pop_fig","BG332","0","2","43.4"
"r_2","2012","perc_pop_fig","BG332","0","2","36.6"
"r_2","2013","perc_pop_fig","BG332","0","2","38.1"
"r_2","2014","perc_pop_fig","BG332","0","2","37.7"
"r_2","2008","perc_pop_fig","BG334","0","0","23.9"
"r_2","2009","perc_pop_fig","BG334","0","0","38.2"
"r_2","2010","perc_pop_fig","BG334","0","0","49.6"
"r_2","2011","perc_pop_fig","BG334","0","0","51.3"
"r_2","2012","perc_pop_fig","BG334","0","0","42.3"
"r_2","2013","perc_pop_fig","BG334","0","0","48.1"
"r_2","2014","perc_pop_fig","BG334","0","0","40.1"
"r_2","2008","perc_pop_fig","BG334","0","1","24.8"
"r_2","2009","perc_pop_fig","BG334","0","1","36.2"
"r_2","2010","perc_pop_fig","BG334","0","1","48.2"
"r_2","2011","perc_pop_fig","BG334","0","1","48.4"
"r_2","2012","perc_pop_fig","BG334","0","1","41.2"
"r_2","2013","perc_pop_fig","BG334","0","1","48.4"
"r_2","2014","perc_pop_fig","BG334","0","1","37.4"
"r_2","2008","perc_pop_fig","BG334","0","2","23.1"
"r_2","2009","perc_pop_fig","BG334","0","2","40.1"
"r_2","2010","perc_pop_fig","BG334","0","2","50.8"
"r_2","2011","perc_pop_fig","BG334","0","2","53.8"
"r_2","2012","perc_pop_fig","BG334","0","2","43.4"
"r_2","2013","perc_pop_fig","BG334","0","2","47.8"
"r_2","2014","perc_pop_fig","BG334","0","2","42.8"
"r_2","2008","perc_pop_fig","BG333","0","0","38.8"
"r_2","2009","perc_pop_fig","BG333","0","0","43.7"
"r_2","2010","perc_pop_fig","BG333","0","0","39.8"
"r_2","2011","perc_pop_fig","BG333","0","0","39.6"
"r_2","2012","perc_pop_fig","BG333","0","0","44.5"
"r_2","2013","perc_pop_fig","BG333","0","0","43.3"
"r_2","2014","perc_pop_fig","BG333","0","0","46.9"
"r_2","2008","perc_pop_fig","BG333","0","1","42.8"
"r_2","2009","perc_pop_fig","BG333","0","1","43.3"
"r_2","2010","perc_pop_fig","BG333","0","1","39.7"
"r_2","2011","perc_pop_fig","BG333","0","1","36.8"
"r_2","2012","perc_pop_fig","BG333","0","1","44.4"
"r_2","2013","perc_pop_fig","BG333","0","1","42.4"
"r_2","2014","perc_pop_fig","BG333","0","1","44.3"
"r_2","2008","perc_pop_fig","BG333","0","2","35.1"
"r_2","2009","perc_pop_fig","BG333","0","2","44.2"
"r_2","2010","perc_pop_fig","BG333","0","2","39.9"
"r_2","2011","perc_pop_fig","BG333","0","2","42.2"
"r_2","2012","perc_pop_fig","BG333","0","2","44.7"
"r_2","2013","perc_pop_fig","BG333","0","2","44.1"
"r_2","2014","perc_pop_fig","BG333","0","2","49.6"
"r_2","2008","perc_pop_fig","BG34","0","0","43.7"
"r_2","2009","perc_pop_fig","BG34","0","0","39.3"
"r_2","2010","perc_pop_fig","BG34","0","0","40.9"
"r_2","2011","perc_pop_fig","BG34","0","0","43"
"r_2","2012","perc_pop_fig","BG34","0","0","42.8"
"r_2","2013","perc_pop_fig","BG34","0","0","41.6"
"r_2","2014","perc_pop_fig","BG34","0","0","44.8"
"r_2","2008","perc_pop_fig","BG34","0","1","41.3"
"r_2","2009","perc_pop_fig","BG34","0","1","36.5"
"r_2","2010","perc_pop_fig","BG34","0","1","38.8"
"r_2","2011","perc_pop_fig","BG34","0","1","41.1"
"r_2","2012","perc_pop_fig","BG34","0","1","40.7"
"r_2","2013","perc_pop_fig","BG34","0","1","38.6"
"r_2","2014","perc_pop_fig","BG34","0","1","42.3"
"r_2","2008","perc_pop_fig","BG34","0","2","45.9"
"r_2","2009","perc_pop_fig","BG34","0","2","41.8"
"r_2","2010","perc_pop_fig","BG34","0","2","42.9"
"r_2","2011","perc_pop_fig","BG34","0","2","44.8"
"r_2","2012","perc_pop_fig","BG34","0","2","44.9"
"r_2","2013","perc_pop_fig","BG34","0","2","44.5"
"r_2","2014","perc_pop_fig","BG34","0","2","47.1"
"r_2","2008","perc_pop_fig","BG341","0","0","35.9"
"r_2","2009","perc_pop_fig","BG341","0","0","37.2"
"r_2","2010","perc_pop_fig","BG341","0","0","34.5"
"r_2","2011","perc_pop_fig","BG341","0","0","35.8"
"r_2","2012","perc_pop_fig","BG341","0","0","34.9"
"r_2","2013","perc_pop_fig","BG341","0","0","35.6"
"r_2","2014","perc_pop_fig","BG341","0","0","39.9"
"r_2","2008","perc_pop_fig","BG341","0","1","32"
"r_2","2009","perc_pop_fig","BG341","0","1","32.1"
"r_2","2010","perc_pop_fig","BG341","0","1","29.9"
"r_2","2011","perc_pop_fig","BG341","0","1","32.8"
"r_2","2012","perc_pop_fig","BG341","0","1","32.2"
"r_2","2013","perc_pop_fig","BG341","0","1","32.9"
"r_2","2014","perc_pop_fig","BG341","0","1","38.4"
"r_2","2008","perc_pop_fig","BG341","0","2","39.6"
"r_2","2009","perc_pop_fig","BG341","0","2","42"
"r_2","2010","perc_pop_fig","BG341","0","2","38.9"
"r_2","2011","perc_pop_fig","BG341","0","2","38.6"
"r_2","2012","perc_pop_fig","BG341","0","2","37.4"
"r_2","2013","perc_pop_fig","BG341","0","2","38.3"
