RevisionColumn,Labour_SES_nkpd1996,Units,periods,GenderID,ValueColumn
"r_1","5","1000cp","2004Q3","0","434.4"
"r_1","5","1000cp","2004Q3","1","147.2"
"r_1","5","1000cp","2004Q3","2","287.2"
"r_1","5","1000cp","2004Q4","0","427.3"
"r_1","5","1000cp","2004Q4","1","149.3"
"r_1","5","1000cp","2004Q4","2","278"
"r_1","5","1000cp","2005Q1","0","430.8"
"r_1","5","1000cp","2005Q1","1","159.1"
"r_1","5","1000cp","2005Q1","2","271.6"
"r_1","5","1000cp","2005Q2","0","448.1"
"r_1","5","1000cp","2005Q2","1","151.7"
"r_1","5","1000cp","2005Q2","2","296.4"
"r_1","5","1000cp","2005Q3","0","459.2"
"r_1","5","1000cp","2005Q3","1","151"
"r_1","5","1000cp","2005Q3","2","308.3"
"r_1","5","1000cp","2005Q4","0","441.9"
"r_1","5","1000cp","2005Q4","1","153.6"
"r_1","5","1000cp","2005Q4","2","288.3"
"r_1","6","1000cp","2003Q1","0","132.2"
"r_1","6","1000cp","2003Q1","1","79.8"
"r_1","6","1000cp","2003Q1","2","52.4"
"r_1","6","1000cp","2003Q2","0","218.5"
"r_1","6","1000cp","2003Q2","1","128.2"
"r_1","6","1000cp","2003Q2","2","90.4"
"r_1","6","1000cp","2003Q3","0","233.4"
"r_1","6","1000cp","2003Q3","1","131.8"
"r_1","6","1000cp","2003Q3","2","101.6"
"r_1","6","1000cp","2003Q4","0","172"
"r_1","6","1000cp","2003Q4","1","101.1"
"r_1","6","1000cp","2003Q4","2","70.9"
"r_1","6","1000cp","2004Q1","0","151.4"
"r_1","6","1000cp","2004Q1","1","92.9"
"r_1","6","1000cp","2004Q1","2","58.5"
"r_1","6","1000cp","2004Q2","0","222.6"
"r_1","6","1000cp","2004Q2","1","129.1"
"r_1","6","1000cp","2004Q2","2","93.5"
"r_1","6","1000cp","2004Q3","0","224"
"r_1","6","1000cp","2004Q3","1","126"
"r_1","6","1000cp","2004Q3","2","97.9"
"r_1","6","1000cp","2004Q4","0","152.3"
"r_1","6","1000cp","2004Q4","1","89.5"
"r_1","6","1000cp","2004Q4","2","62.8"
"r_1","6","1000cp","2005Q1","0","137.5"
"r_1","6","1000cp","2005Q1","1","80.8"
"r_1","6","1000cp","2005Q1","2","56.7"
"r_1","6","1000cp","2005Q2","0","188.2"
"r_1","6","1000cp","2005Q2","1","105.3"
"r_1","6","1000cp","2005Q2","2","82.9"
"r_1","6","1000cp","2005Q3","0","200.9"
"r_1","6","1000cp","2005Q3","1","113.1"
"r_1","6","1000cp","2005Q3","2","87.7"
"r_1","6","1000cp","2005Q4","0","149.4"
"r_1","6","1000cp","2005Q4","1","84.8"
"r_1","6","1000cp","2005Q4","2","64.6"
"r_1","7","1000cp","2003Q1","0","380.8"
"r_1","7","1000cp","2003Q1","1","265.5"
"r_1","7","1000cp","2003Q1","2","115.3"
"r_1","7","1000cp","2003Q2","0","390.2"
"r_1","7","1000cp","2003Q2","1","277.2"
"r_1","7","1000cp","2003Q2","2","112.9"
"r_1","7","1000cp","2003Q3","0","413.5"
"r_1","7","1000cp","2003Q3","1","291.2"
"r_1","7","1000cp","2003Q3","2","122.3"
"r_1","7","1000cp","2003Q4","0","405.8"
"r_1","7","1000cp","2003Q4","1","292.5"
"r_1","7","1000cp","2003Q4","2","113.3"
"r_1","7","1000cp","2004Q1","0","388.3"
"r_1","7","1000cp","2004Q1","1","282"
"r_1","7","1000cp","2004Q1","2","106.4"
"r_1","7","1000cp","2004Q2","0","420.9"
"r_1","7","1000cp","2004Q2","1","305.4"
"r_1","7","1000cp","2004Q2","2","115.5"
"r_1","7","1000cp","2004Q3","0","405"
"r_1","7","1000cp","2004Q3","1","299.6"
"r_1","7","1000cp","2004Q3","2","105.4"
"r_1","7","1000cp","2004Q4","0","409.7"
"r_1","7","1000cp","2004Q4","1","300.5"
"r_1","7","1000cp","2004Q4","2","109.2"
"r_1","7","1000cp","2005Q1","0","406.8"
"r_1","7","1000cp","2005Q1","1","299.4"
"r_1","7","1000cp","2005Q1","2","107.4"
"r_1","7","1000cp","2005Q2","0","429.6"
"r_1","7","1000cp","2005Q2","1","318.9"
"r_1","7","1000cp","2005Q2","2","110.8"
"r_1","7","1000cp","2005Q3","0","442.2"
"r_1","7","1000cp","2005Q3","1","330.9"
"r_1","7","1000cp","2005Q3","2","111.3"
"r_1","7","1000cp","2005Q4","0","440.5"
"r_1","7","1000cp","2005Q4","1","329.7"
"r_1","7","1000cp","2005Q4","2","110.8"
"r_1","8","1000cp","2003Q1","0","397.3"
"r_1","8","1000cp","2003Q1","1","275.6"
"r_1","8","1000cp","2003Q1","2","121.7"
"r_1","8","1000cp","2003Q2","0","422.8"
"r_1","8","1000cp","2003Q2","1","291.9"
