RevisionColumn,periods,NUTS,Units,Ages_COD,GenderID,COD_ICD10ch,ValueColumn
"r_1","2015","BG","num","22","0","2","-"
"r_1","2015","BG","num","22","1","2","-"
"r_1","2015","BG","num","22","2","2","-"
"r_1","2015","BG","num","0","0","3","140"
"r_1","2015","BG","num","0","1","3","73"
"r_1","2015","BG","num","0","2","3","67"
"r_1","2015","BG","num","1","0","3","2"
"r_1","2015","BG","num","1","1","3","2"
"r_1","2015","BG","num","1","2","3","-"
"r_1","2015","BG","num","2","0","3","-"
"r_1","2015","BG","num","2","1","3","-"
"r_1","2015","BG","num","2","2","3","-"
"r_1","2015","BG","num","3","0","3","-"
"r_1","2015","BG","num","3","1","3","-"
"r_1","2015","BG","num","3","2","3","-"
"r_1","2015","BG","num","4","0","3","-"
"r_1","2015","BG","num","4","1","3","-"
"r_1","2015","BG","num","4","2","3","-"
"r_1","2015","BG","num","5","0","3","1"
"r_1","2015","BG","num","5","1","3","-"
"r_1","2015","BG","num","5","2","3","1"
"r_1","2015","BG","num","6","0","3","2"
"r_1","2015","BG","num","6","1","3","1"
"r_1","2015","BG","num","6","2","3","1"
"r_1","2015","BG","num","7","0","3","6"
"r_1","2015","BG","num","7","1","3","3"
"r_1","2015","BG","num","7","2","3","3"
"r_1","2015","BG","num","8","0","3","5"
"r_1","2015","BG","num","8","1","3","3"
"r_1","2015","BG","num","8","2","3","2"
"r_1","2015","BG","num","9","0","3","5"
"r_1","2015","BG","num","9","1","3","4"
"r_1","2015","BG","num","9","2","3","1"
"r_1","2015","BG","num","10","0","3","1"
"r_1","2015","BG","num","10","1","3","1"
"r_1","2015","BG","num","10","2","3","-"
"r_1","2015","BG","num","11","0","3","6"
"r_1","2015","BG","num","11","1","3","3"
"r_1","2015","BG","num","11","2","3","3"
"r_1","2015","BG","num","12","0","3","3"
"r_1","2015","BG","num","12","1","3","2"
"r_1","2015","BG","num","12","2","3","1"
"r_1","2015","BG","num","13","0","3","6"
"r_1","2015","BG","num","13","1","3","4"
"r_1","2015","BG","num","13","2","3","2"
"r_1","2015","BG","num","14","0","3","7"
"r_1","2015","BG","num","14","1","3","3"
"r_1","2015","BG","num","14","2","3","4"
"r_1","2015","BG","num","15","0","3","13"
"r_1","2015","BG","num","15","1","3","7"
"r_1","2015","BG","num","15","2","3","6"
"r_1","2015","BG","num","16","0","3","22"
"r_1","2015","BG","num","16","1","3","15"
