RevisionColumn,periods,Units,Indicators,ValueColumn
"r_1","2014","1000BGN","3.1.2.4.1.1.6","4469"
"r_1","2015","1000BGN","3.1.2.4.1.1.6","5482"
"r_1","2016","1000BGN","3.1.2.4.1.1.6","6188"
"r_1","2017","1000BGN","3.1.2.4.1.1.6","6497"
"r_1","2018","1000BGN","3.1.2.4.1.1.6","6518"
"r_1","2019","1000BGN","3.1.2.4.1.1.6","6188"
"r_1","2020","1000BGN","3.1.2.4.1.1.6","6272"
"r_1","2005","1000BGN","3.1.2.4.1.1.7","4340"
"r_1","2006","1000BGN","3.1.2.4.1.1.7","11522"
"r_1","2007","1000BGN","3.1.2.4.1.1.7","33608"
"r_1","2008","1000BGN","3.1.2.4.1.1.7","14276"
"r_1","2009","1000BGN","3.1.2.4.1.1.7","19023"
"r_1","2010","1000BGN","3.1.2.4.1.1.7","20579"
"r_1","2011","1000BGN","3.1.2.4.1.1.7","24767"
"r_1","2012","1000BGN","3.1.2.4.1.1.7","32367"
"r_1","2013","1000BGN","3.1.2.4.1.1.7","38382"
"r_1","2014","1000BGN","3.1.2.4.1.1.7","42181"
"r_1","2015","1000BGN","3.1.2.4.1.1.7","48429"
"r_1","2016","1000BGN","3.1.2.4.1.1.7","59067"
"r_1","2017","1000BGN","3.1.2.4.1.1.7","61597"
"r_1","2018","1000BGN","3.1.2.4.1.1.7","59571"
"r_1","2019","1000BGN","3.1.2.4.1.1.7","54047"
"r_1","2020","1000BGN","3.1.2.4.1.1.7","56233"
"r_1","2005","1000BGN","3.1.2.4.1.1","34613"
"r_1","2006","1000BGN","3.1.2.4.1.1","45269"
"r_1","2007","1000BGN","3.1.2.4.1.1","84524"
"r_1","2008","1000BGN","3.1.2.4.1.1","93167"
"r_1","2009","1000BGN","3.1.2.4.1.1","81541"
"r_1","2010","1000BGN","3.1.2.4.1.1","87227"
"r_1","2011","1000BGN","3.1.2.4.1.1","101011"
"r_1","2012","1000BGN","3.1.2.4.1.1","114316"
"r_1","2013","1000BGN","3.1.2.4.1.1","131594"
"r_1","2014","1000BGN","3.1.2.4.1.1","150017"
"r_1","2015","1000BGN","3.1.2.4.1.1","170005"
"r_1","2016","1000BGN","3.1.2.4.1.1","184280"
"r_1","2017","1000BGN","3.1.2.4.1.1","186270"
"r_1","2018","1000BGN","3.1.2.4.1.1","184849"
"r_1","2019","1000BGN","3.1.2.4.1.1","199382"
"r_1","2020","1000BGN","3.1.2.4.1.1","217616"
"r_1","2005","1000BGN","3.1.2.4.1.2.1",""
"r_1","2006","1000BGN","3.1.2.4.1.2.1",""
"r_1","2007","1000BGN","3.1.2.4.1.2.1",""
"r_1","2008","1000BGN","3.1.2.4.1.2.1",""
"r_1","2009","1000BGN","3.1.2.4.1.2.1",""
"r_1","2010","1000BGN","3.1.2.4.1.2.1",""
"r_1","2011","1000BGN","3.1.2.4.1.2.1",""
"r_1","2012","1000BGN","3.1.2.4.1.2.1",""
"r_1","2013","1000BGN","3.1.2.4.1.2.1",""
"r_1","2014","1000BGN","3.1.2.4.1.2.1",""
"r_1","2015","1000BGN","3.1.2.4.1.2.1",""
"r_1","2016","1000BGN","3.1.2.4.1.2.1",""
"r_1","2017","1000BGN","3.1.2.4.1.2.1",""
"r_1","2018","1000BGN","3.1.2.4.1.2.1",""
"r_1","2019","1000BGN","3.1.2.4.1.2.1",""
"r_1","2020","1000BGN","3.1.2.4.1.2.1",""
"r_1","2005","1000BGN","3.1.2.4.1.2.1.1","25690"
"r_1","2006","1000BGN","3.1.2.4.1.2.1.1","32074"
"r_1","2007","1000BGN","3.1.2.4.1.2.1.1","54079"
"r_1","2008","1000BGN","3.1.2.4.1.2.1.1","54331"
"r_1","2009","1000BGN","3.1.2.4.1.2.1.1","65037"
"r_1","2010","1000BGN","3.1.2.4.1.2.1.1","73433"
"r_1","2011","1000BGN","3.1.2.4.1.2.1.1","80125"
"r_1","2012","1000BGN","3.1.2.4.1.2.1.1","92968"
"r_1","2013","1000BGN","3.1.2.4.1.2.1.1","107693"
"r_1","2014","1000BGN","3.1.2.4.1.2.1.1","123773"
"r_1","2015","1000BGN","3.1.2.4.1.2.1.1","140381"
"r_1","2016","1000BGN","3.1.2.4.1.2.1.1","140981"
"r_1","2017","1000BGN","3.1.2.4.1.2.1.1","155124"
"r_1","2018","1000BGN","3.1.2.4.1.2.1.1","155256"
"r_1","2019","1000BGN","3.1.2.4.1.2.1.1","169875"
"r_1","2020","1000BGN","3.1.2.4.1.2.1.1","177910"
"r_1","2005","1000BGN","3.1.2.4.1.2.1.2","6926"
"r_1","2006","1000BGN","3.1.2.4.1.2.1.2","11898"
"r_1","2007","1000BGN","3.1.2.4.1.2.1.2","28552"
"r_1","2008","1000BGN","3.1.2.4.1.2.1.2","14242"
"r_1","2009","1000BGN","3.1.2.4.1.2.1.2","11320"
"r_1","2010","1000BGN","3.1.2.4.1.2.1.2","10202"
"r_1","2011","1000BGN","3.1.2.4.1.2.1.2","13376"
"r_1","2012","1000BGN","3.1.2.4.1.2.1.2","13217"
"r_1","2013","1000BGN","3.1.2.4.1.2.1.2","16226"
"r_1","2014","1000BGN","3.1.2.4.1.2.1.2","15817"
"r_1","2015","1000BGN","3.1.2.4.1.2.1.2","11937"
"r_1","2016","1000BGN","3.1.2.4.1.2.1.2","25411"
"r_1","2017","1000BGN","3.1.2.4.1.2.1.2","20249"
"r_1","2018","1000BGN","3.1.2.4.1.2.1.2","15483"
"r_1","2019","1000BGN","3.1.2.4.1.2.1.2","16820"
"r_1","2020","1000BGN","3.1.2.4.1.2.1.2","21237"
"r_1","2005","1000BGN","3.1.2.4.1.2.1.3","313"
"r_1","2006","1000BGN","3.1.2.4.1.2.1.3","405"
"r_1","2007","1000BGN","3.1.2.4.1.2.1.3","1406"
"r_1","2008","1000BGN","3.1.2.4.1.2.1.3","1744"
"r_1","2009","1000BGN","3.1.2.4.1.2.1.3","2635"
"r_1","2010","1000BGN","3.1.2.4.1.2.1.3","2920"
"r_1","2011","1000BGN","3.1.2.4.1.2.1.3","3635"
"r_1","2012","1000BGN","3.1.2.4.1.2.1.3","7418"
"r_1","2013","1000BGN","3.1.2.4.1.2.1.3",".."
"r_1","2014","1000BGN","3.1.2.4.1.2.1.3",".."
"r_1","2015","1000BGN","3.1.2.4.1.2.1.3",".."
"r_1","2016","1000BGN","3.1.2.4.1.2.1.3",".."
"r_1","2017","1000BGN","3.1.2.4.1.2.1.3",".."
"r_1","2018","1000BGN","3.1.2.4.1.2.1.3",".."
"r_1","2019","1000BGN","3.1.2.4.1.2.1.3",".."
"r_1","2020","1000BGN","3.1.2.4.1.2.1.3","15368"
"r_1","2005","1000BGN","3.1.2.4.1.2.1.4","0"
"r_1","2006","1000BGN","3.1.2.4.1.2.1.4","0"
"r_1","2007","1000BGN","3.1.2.4.1.2.1.4","0"
"r_1","2008","1000BGN","3.1.2.4.1.2.1.4","1162"
"r_1","2009","1000BGN","3.1.2.4.1.2.1.4","123"
"r_1","2010","1000BGN","3.1.2.4.1.2.1.4","12"
"r_1","2011","1000BGN","3.1.2.4.1.2.1.4","1816"
"r_1","2012","1000BGN","3.1.2.4.1.2.1.4","0"
"r_1","2013","1000BGN","3.1.2.4.1.2.1.4",".."
"r_1","2014","1000BGN","3.1.2.4.1.2.1.4","0"
"r_1","2015","1000BGN","3.1.2.4.1.2.1.4",".."
"r_1","2016","1000BGN","3.1.2.4.1.2.1.4",".."
"r_1","2017","1000BGN","3.1.2.4.1.2.1.4",".."
"r_1","2018","1000BGN","3.1.2.4.1.2.1.4",".."
"r_1","2019","1000BGN","3.1.2.4.1.2.1.4",".."
"r_1","2020","1000BGN","3.1.2.4.1.2.1.4",".."
"r_1","2005","1000BGN","3.1.2.4.1.2.4","33171"
"r_1","2006","1000BGN","3.1.2.4.1.2.4","44377"
"r_1","2007","1000BGN","3.1.2.4.1.2.4","84037"
"r_1","2008","1000BGN","3.1.2.4.1.2.4","71479"
"r_1","2009","1000BGN","3.1.2.4.1.2.4","79115"
"r_1","2010","1000BGN","3.1.2.4.1.2.4","86567"
"r_1","2011","1000BGN","3.1.2.4.1.2.4","98952"
"r_1","2012","1000BGN","3.1.2.4.1.2.4","113603"
"r_1","2013","1000BGN","3.1.2.4.1.2.4","130127"
"r_1","2014","1000BGN","3.1.2.4.1.2.4",".."
"r_1","2015","1000BGN","3.1.2.4.1.2.4","170005"
"r_1","2016","1000BGN","3.1.2.4.1.2.4",".."
"r_1","2017","1000BGN","3.1.2.4.1.2.4",".."
"r_1","2018","1000BGN","3.1.2.4.1.2.4",".."
"r_1","2019","1000BGN","3.1.2.4.1.2.4","199329"
"r_1","2020","1000BGN","3.1.2.4.1.2.4",".."
"r_1","2005","1000BGN","3.1.2.4.1.2.5","1684"
"r_1","2006","1000BGN","3.1.2.4.1.2.5","857"
"r_1","2007","1000BGN","3.1.2.4.1.2.5","487"
"r_1","2008","1000BGN","3.1.2.4.1.2.5","21711"
"r_1","2009","1000BGN","3.1.2.4.1.2.5","2435"
"r_1","2010","1000BGN","3.1.2.4.1.2.5","660"
"r_1","2011","1000BGN","3.1.2.4.1.2.5","0"
"r_1","2012","1000BGN","3.1.2.4.1.2.5","713"
"r_1","2013","1000BGN","3.1.2.4.1.2.5","1519"
"r_1","2014","1000BGN","3.1.2.4.1.2.5",".."
"r_1","2015","1000BGN","3.1.2.4.1.2.5","0"
"r_1","2016","1000BGN","3.1.2.4.1.2.5",".."
"r_1","2017","1000BGN","3.1.2.4.1.2.5",".."
"r_1","2018","1000BGN","3.1.2.4.1.2.5",".."
"r_1","2019","1000BGN","3.1.2.4.1.2.5",".."
"r_1","2020","1000BGN","3.1.2.4.1.2.5",".."
"r_1","2005","1000BGN","3.1.2.4.1.2.6","1442"
"r_1","2006","1000BGN","3.1.2.4.1.2.6","892"
"r_1","2007","1000BGN","3.1.2.4.1.2.6","487"
"r_1","2008","1000BGN","3.1.2.4.1.2.6","21688"
"r_1","2009","1000BGN","3.1.2.4.1.2.6","2426"
"r_1","2010","1000BGN","3.1.2.4.1.2.6","660"
"r_1","2011","1000BGN","3.1.2.4.1.2.6","2059"
"r_1","2012","1000BGN","3.1.2.4.1.2.6","713"
"r_1","2013","1000BGN","3.1.2.4.1.2.6","1467"
"r_1","2014","1000BGN","3.1.2.4.1.2.6",".."
"r_1","2015","1000BGN","3.1.2.4.1.2.6","0"
"r_1","2016","1000BGN","3.1.2.4.1.2.6",".."
"r_1","2017","1000BGN","3.1.2.4.1.2.6",".."
"r_1","2018","1000BGN","3.1.2.4.1.2.6",".."
"r_1","2019","1000BGN","3.1.2.4.1.2.6",".."
"r_1","2020","1000BGN","3.1.2.4.1.2.6",".."
"r_1","2005","1000BGN","3.1.2.4.1.2","34613"
"r_1","2006","1000BGN","3.1.2.4.1.2","45269"
"r_1","2007","1000BGN","3.1.2.4.1.2","84524"
"r_1","2008","1000BGN","3.1.2.4.1.2","93167"
"r_1","2009","1000BGN","3.1.2.4.1.2","81541"
"r_1","2010","1000BGN","3.1.2.4.1.2","87227"
"r_1","2011","1000BGN","3.1.2.4.1.2","101011"
"r_1","2012","1000BGN","3.1.2.4.1.2","114316"
"r_1","2013","1000BGN","3.1.2.4.1.2","131594"
"r_1","2014","1000BGN","3.1.2.4.1.2","150017"
"r_1","2015","1000BGN","3.1.2.4.1.2","170005"
"r_1","2016","1000BGN","3.1.2.4.1.2","184280"
"r_1","2017","1000BGN","3.1.2.4.1.2","186270"
"r_1","2018","1000BGN","3.1.2.4.1.2","184849"
"r_1","2019","1000BGN","3.1.2.4.1.2","199382"
"r_1","2020","1000BGN","3.1.2.4.1.2","217616"
"r_2","2021","1000BGN","3.1.2.4.1.1.1",""
"r_2","2021","1000BGN","3.1.2.4.1.1.1.1","106323"
"r_2","2021","1000BGN","3.1.2.4.1.1.1.2","0"
"r_2","2021","1000BGN","3.1.2.4.1.1.1.3","25313"
"r_2","2021","1000BGN","3.1.2.4.1.1.1.4","13061"
"r_2","2021","1000BGN","3.1.2.4.1.1.1.5","106516"
"r_2","2021","1000BGN","3.1.2.4.1.1.4","251213"
"r_2","2021","1000BGN","3.1.2.4.1.1.5","81751"
"r_2","2021","1000BGN","3.1.2.4.1.1.6","8095"
"r_2","2021","1000BGN","3.1.2.4.1.1.7","73580"
"r_2","2021","1000BGN","3.1.2.4.1.1","332888"
"r_2","2021","1000BGN","3.1.2.4.1.2.1",""
"r_2","2021","1000BGN","3.1.2.4.1.2.1.1","209269"
"r_2","2021","1000BGN","3.1.2.4.1.2.1.2","18893"
"r_2","2021","1000BGN","3.1.2.4.1.2.1.3",".."
"r_2","2021","1000BGN","3.1.2.4.1.2.1.4","93577"
"r_2","2021","1000BGN","3.1.2.4.1.2.4",".."
"r_2","2021","1000BGN","3.1.2.4.1.2.5",".."
"r_2","2021","1000BGN","3.1.2.4.1.2.6",".."
"r_2","2021","1000BGN","3.1.2.4.1.2","332888"
"r_3","2022","1000BGN","3.1.2.4.1.1.1",""
"r_3","2022","1000BGN","3.1.2.4.1.1.1.1","115466"
"r_3","2022","1000BGN","3.1.2.4.1.1.1.2","0"
"r_3","2022","1000BGN","3.1.2.4.1.1.1.3","43956"
"r_3","2022","1000BGN","3.1.2.4.1.1.1.4","35908"
"r_3","2022","1000BGN","3.1.2.4.1.1.1.5","24516"
"r_3","2022","1000BGN","3.1.2.4.1.1.4","219846"
"r_3","2022","1000BGN","3.1.2.4.1.1.5",".."
"r_3","2022","1000BGN","3.1.2.4.1.1.6","7721"
"r_3","2022","1000BGN","3.1.2.4.1.1.7",".."
"r_3","2022","1000BGN","3.1.2.4.1.1","300271"
"r_3","2022","1000BGN","3.1.2.4.1.2.1",""
"r_3","2022","1000BGN","3.1.2.4.1.2.1.1","213732"
"r_3","2022","1000BGN","3.1.2.4.1.2.1.2","36403"
"r_3","2022","1000BGN","3.1.2.4.1.2.1.3","17146"
"r_3","2022","1000BGN","3.1.2.4.1.2.1.4","28948"
"r_3","2022","1000BGN","3.1.2.4.1.2.4","296229"
"r_3","2022","1000BGN","3.1.2.4.1.2.5",".."
"r_3","2022","1000BGN","3.1.2.4.1.2.6",".."
"r_3","2022","1000BGN","3.1.2.4.1.2","300271"
"r_4","2023","1000BGN","3.1.2.4.1.1.1",""
"r_4","2023","1000BGN","3.1.2.4.1.1.1.1","125000"
"r_4","2023","1000BGN","3.1.2.4.1.1.1.2",".."
"r_4","2023","1000BGN","3.1.2.4.1.1.1.3","20731"
"r_4","2023","1000BGN","3.1.2.4.1.1.1.4",".."
"r_4","2023","1000BGN","3.1.2.4.1.1.1.5","46177"
"r_4","2023","1000BGN","3.1.2.4.1.1.4","200351"
"r_4","2023","1000BGN","3.1.2.4.1.1.5","105709"
"r_4","2023","1000BGN","3.1.2.4.1.1.6","10508"
"r_4","2023","1000BGN","3.1.2.4.1.1.7","95158"
"r_4","2023","1000BGN","3.1.2.4.1.1","306017"
"r_4","2023","1000BGN","3.1.2.4.1.2.1",""
"r_4","2023","1000BGN","3.1.2.4.1.2.1.1","251170"
"r_4","2023","1000BGN","3.1.2.4.1.2.1.2","27814"
"r_4","2023","1000BGN","3.1.2.4.1.2.1.3","22860"
"r_4","2023","1000BGN","3.1.2.4.1.2.1.4",".."
"r_4","2023","1000BGN","3.1.2.4.1.2.4",".."
"r_4","2023","1000BGN","3.1.2.4.1.2.5",".."
"r_4","2023","1000BGN","3.1.2.4.1.2.6",".."
"r_4","2023","1000BGN","3.1.2.4.1.2","306017"
"r_5","2024","1000BGN","3.1.2.4.1.1.1","218635"
"r_5","2024","1000BGN","3.1.2.4.1.1.1.1","140646"
"r_5","2024","1000BGN","3.1.2.4.1.1.1.2",".."
"r_5","2024","1000BGN","3.1.2.4.1.1.1.3","18783"
"r_5","2024","1000BGN","3.1.2.4.1.1.1.4",".."
"r_5","2024","1000BGN","3.1.2.4.1.1.1.5","49267"
"r_5","2024","1000BGN","3.1.2.4.1.1.4","218635"
"r_5","2024","1000BGN","3.1.2.4.1.1.5","134651"
"r_5","2024","1000BGN","3.1.2.4.1.1.6","13376"
"r_5","2024","1000BGN","3.1.2.4.1.1.7","121147"
"r_5","2024","1000BGN","3.1.2.4.1.1","353158"
"r_5","2024","1000BGN","3.1.2.4.1.2.1","352006"
"r_5","2024","1000BGN","3.1.2.4.1.2.1.1","292266"
"r_5","2024","1000BGN","3.1.2.4.1.2.1.2","33886"
"r_5","2024","1000BGN","3.1.2.4.1.2.1.3","20101"
"r_5","2024","1000BGN","3.1.2.4.1.2.1.4","5753"
"r_5","2024","1000BGN","3.1.2.4.1.2.4","352006"
"r_5","2024","1000BGN","3.1.2.4.1.2.5",".."
"r_5","2024","1000BGN","3.1.2.4.1.2.6",".."
"r_5","2024","1000BGN","3.1.2.4.1.2","353158"
