RevisionColumn,EKATTE,Units,periods,Residence,GenderID,ValueColumn
"r_1","BLG01","num","2001","0","2","6892"
"r_1","BLG01","num","2001","1","0","9204"
"r_1","BLG01","num","2001","1","1","4648"
"r_1","BLG01","num","2001","1","2","4556"
"r_1","BLG01","num","2001","2","0","4633"
"r_1","BLG01","num","2001","2","1","2297"
"r_1","BLG01","num","2001","2","2","2336"
"r_1","BLG01","num","2002","0","0","13542"
"r_1","BLG01","num","2002","0","1","6804"
"r_1","BLG01","num","2002","0","2","6738"
"r_1","BLG01","num","2002","1","0","9054"
"r_1","BLG01","num","2002","1","1","4570"
"r_1","BLG01","num","2002","1","2","4484"
"r_1","BLG01","num","2002","2","0","4488"
"r_1","BLG01","num","2002","2","1","2234"
"r_1","BLG01","num","2002","2","2","2254"
"r_1","BLG01","num","2003","0","0","13394"
"r_1","BLG01","num","2003","0","1","6728"
"r_1","BLG01","num","2003","0","2","6666"
"r_1","BLG01","num","2003","1","0","9000"
"r_1","BLG01","num","2003","1","1","4552"
"r_1","BLG01","num","2003","1","2","4448"
"r_1","BLG01","num","2003","2","0","4394"
"r_1","BLG01","num","2003","2","1","2176"
"r_1","BLG01","num","2003","2","2","2218"
"r_1","BLG01","num","2004","0","0","13255"
"r_1","BLG01","num","2004","0","1","6674"
"r_1","BLG01","num","2004","0","2","6581"
"r_1","BLG01","num","2004","1","0","8911"
"r_1","BLG01","num","2004","1","1","4512"
"r_1","BLG01","num","2004","1","2","4399"
"r_1","BLG01","num","2004","2","0","4344"
"r_1","BLG01","num","2004","2","1","2162"
"r_1","BLG01","num","2004","2","2","2182"
"r_1","BLG01","num","2005","0","0","13114"
"r_1","BLG01","num","2005","0","1","6597"
"r_1","BLG01","num","2005","0","2","6517"
"r_1","BLG01","num","2005","1","0","8841"
"r_1","BLG01","num","2005","1","1","4471"
"r_1","BLG01","num","2005","1","2","4370"
"r_1","BLG01","num","2005","2","0","4273"
"r_1","BLG01","num","2005","2","1","2126"
"r_1","BLG01","num","2005","2","2","2147"
"r_1","BLG01","num","2006","0","0","12895"
"r_1","BLG01","num","2006","0","1","6439"
"r_1","BLG01","num","2006","0","2","6456"
"r_1","BLG01","num","2006","1","0","11446"
"r_1","BLG01","num","2006","1","1","5709"
"r_1","BLG01","num","2006","1","2","5737"
"r_1","BLG01","num","2006","2","0","1449"
"r_1","BLG01","num","2006","2","1","730"
"r_1","BLG01","num","2006","2","2","719"
"r_1","BLG01","num","2007","0","0","12970"
"r_1","BLG01","num","2007","0","1","6466"
"r_1","BLG01","num","2007","0","2","6504"
"r_1","BLG01","num","2007","1","0","11544"
"r_1","BLG01","num","2007","1","1","5748"
"r_1","BLG01","num","2007","1","2","5796"
"r_1","BLG01","num","2007","2","0","1426"
"r_1","BLG01","num","2007","2","1","718"
"r_1","BLG01","num","2007","2","2","708"
"r_1","BLG01","num","2008","0","0","12794"
"r_1","BLG01","num","2008","0","1","6341"
"r_1","BLG01","num","2008","0","2","6453"
"r_1","BLG01","num","2008","1","0","11400"
"r_1","BLG01","num","2008","1","1","5639"
"r_1","BLG01","num","2008","1","2","5761"
"r_1","BLG01","num","2008","2","0","1394"
"r_1","BLG01","num","2008","2","1","702"
"r_1","BLG01","num","2008","2","2","692"
"r_1","BLG01","num","2009","0","0","12731"
"r_1","BLG01","num","2009","0","1","6308"
"r_1","BLG01","num","2009","0","2","6423"
"r_1","BLG01","num","2009","1","0","11368"
"r_1","BLG01","num","2009","1","1","5629"
"r_1","BLG01","num","2009","1","2","5739"
"r_1","BLG01","num","2009","2","0","1363"
"r_1","BLG01","num","2009","2","1","679"
"r_1","BLG01","num","2009","2","2","684"
"r_1","BLG01","num","2010","0","0","12556"
"r_1","BLG01","num","2010","0","1","6216"
"r_1","BLG01","num","2010","0","2","6340"
"r_1","BLG01","num","2010","1","0","11243"
"r_1","BLG01","num","2010","1","1","5568"
"r_1","BLG01","num","2010","1","2","5675"
"r_1","BLG01","num","2010","2","0","1313"
"r_1","BLG01","num","2010","2","1","648"
"r_1","BLG01","num","2010","2","2","665"
"r_1","BLG01","num","2011","0","0","13014"
"r_1","BLG01","num","2011","0","1","6339"
"r_1","BLG01","num","2011","0","2","6675"
"r_1","BLG01","num","2011","1","0","11759"
"r_1","BLG01","num","2011","1","1","5735"
"r_1","BLG01","num","2011","1","2","6024"
"r_1","BLG01","num","2011","2","0","1255"
"r_1","BLG01","num","2011","2","1","604"
"r_1","BLG01","num","2011","2","2","651"
"r_1","BLG01","num","2012","0","0","12912"
"r_1","BLG01","num","2012","0","1","6284"
"r_1","BLG01","num","2012","0","2","6628"
"r_1","BLG01","num","2012","1","0","11680"
"r_1","BLG01","num","2012","1","1","5693"
"r_1","BLG01","num","2012","1","2","5987"
"r_1","BLG01","num","2012","2","0","1232"
"r_1","BLG01","num","2012","2","1","591"
"r_1","BLG01","num","2012","2","2","641"
"r_1","BLG01","num","2013","0","0","12854"
"r_1","BLG01","num","2013","0","1","6249"
"r_1","BLG01","num","2013","0","2","6605"
"r_1","BLG01","num","2013","1","0","11628"
"r_1","BLG01","num","2013","1","1","5666"
