RevisionColumn,EKATTE,Units,periods,Gender_Child,ValueColumn
"r_1","BLG03","num","2006","1","394"
"r_1","BLG03","num","2006","2","359"
"r_1","BLG03","num","2007","0","769"
"r_1","BLG03","num","2007","1","391"
"r_1","BLG03","num","2007","2","378"
"r_1","BLG03","num","2008","0","809"
"r_1","BLG03","num","2008","1","415"
"r_1","BLG03","num","2008","2","394"
"r_1","BLG03","num","2009","0","821"
"r_1","BLG03","num","2009","1","427"
"r_1","BLG03","num","2009","2","394"
"r_1","BLG03","num","2010","0","827"
"r_1","BLG03","num","2010","1","431"
"r_1","BLG03","num","2010","2","396"
"r_1","BLG03","num","2011","0","753"
"r_1","BLG03","num","2011","1","360"
"r_1","BLG03","num","2011","2","393"
"r_1","BLG03","num","2012","0","776"
"r_1","BLG03","num","2012","1","399"
"r_1","BLG03","num","2012","2","377"
"r_1","BLG03","num","2013","0","676"
"r_1","BLG03","num","2013","1","362"
"r_1","BLG03","num","2013","2","314"
"r_1","BLG03","num","2014","0","786"
"r_1","BLG03","num","2014","1","403"
"r_1","BLG03","num","2014","2","383"
"r_1","BLG11","num","2000","0","329"
"r_1","BLG11","num","2000","1","160"
"r_1","BLG11","num","2000","2","169"
"r_1","BLG11","num","2001","0","335"
"r_1","BLG11","num","2001","1","181"
"r_1","BLG11","num","2001","2","154"
"r_1","BLG11","num","2002","0","293"
"r_1","BLG11","num","2002","1","153"
"r_1","BLG11","num","2002","2","140"
"r_1","BLG11","num","2003","0","291"
"r_1","BLG11","num","2003","1","151"
"r_1","BLG11","num","2003","2","140"
"r_1","BLG11","num","2004","0","332"
"r_1","BLG11","num","2004","1","165"
"r_1","BLG11","num","2004","2","167"
"r_1","BLG11","num","2005","0","328"
"r_1","BLG11","num","2005","1","170"
"r_1","BLG11","num","2005","2","158"
"r_1","BLG11","num","2006","0","357"
"r_1","BLG11","num","2006","1","189"
"r_1","BLG11","num","2006","2","168"
"r_1","BLG11","num","2007","0","350"
"r_1","BLG11","num","2007","1","178"
"r_1","BLG11","num","2007","2","172"
"r_1","BLG11","num","2008","0","399"
"r_1","BLG11","num","2008","1","211"
"r_1","BLG11","num","2008","2","188"
"r_1","BLG11","num","2009","0","376"
"r_1","BLG11","num","2009","1","203"
"r_1","BLG11","num","2009","2","173"
"r_1","BLG11","num","2010","0","287"
"r_1","BLG11","num","2010","1","155"
"r_1","BLG11","num","2010","2","132"
"r_1","BLG11","num","2011","0","309"
"r_1","BLG11","num","2011","1","176"
"r_1","BLG11","num","2011","2","133"
"r_1","BLG11","num","2012","0","306"
"r_1","BLG11","num","2012","1","159"
"r_1","BLG11","num","2012","2","147"
"r_1","BLG11","num","2013","0","309"
"r_1","BLG11","num","2013","1","158"
"r_1","BLG11","num","2013","2","151"
"r_1","BLG11","num","2014","0","303"
"r_1","BLG11","num","2014","1","151"
"r_1","BLG11","num","2014","2","152"
"r_1","BLG13","num","2000","0","203"
"r_1","BLG13","num","2000","1","106"
"r_1","BLG13","num","2000","2","97"
"r_1","BLG13","num","2001","0","186"
"r_1","BLG13","num","2001","1","92"
"r_1","BLG13","num","2001","2","94"
"r_1","BLG13","num","2002","0","176"
"r_1","BLG13","num","2002","1","91"
"r_1","BLG13","num","2002","2","85"
"r_1","BLG13","num","2003","0","187"
"r_1","BLG13","num","2003","1","92"
"r_1","BLG13","num","2003","2","95"
"r_1","BLG13","num","2004","0","186"
"r_1","BLG13","num","2004","1","93"
"r_1","BLG13","num","2004","2","93"
"r_1","BLG13","num","2005","0","157"
"r_1","BLG13","num","2005","1","82"
"r_1","BLG13","num","2005","2","75"
"r_1","BLG13","num","2006","0","194"
"r_1","BLG13","num","2006","1","96"
"r_1","BLG13","num","2006","2","98"
"r_1","BLG13","num","2007","0","216"
"r_1","BLG13","num","2007","1","102"
"r_1","BLG13","num","2007","2","114"
"r_1","BLG13","num","2008","0","207"
"r_1","BLG13","num","2008","1","112"
"r_1","BLG13","num","2008","2","95"
"r_1","BLG13","num","2009","0","220"
"r_1","BLG13","num","2009","1","113"
"r_1","BLG13","num","2009","2","107"
"r_1","BLG13","num","2010","0","219"
"r_1","BLG13","num","2010","1","112"
"r_1","BLG13","num","2010","2","107"
"r_1","BLG13","num","2011","0","159"
"r_1","BLG13","num","2011","1","80"
"r_1","BLG13","num","2011","2","79"
