RevisionColumn,Age10_LFS,NUTS,GenderID,periods,Units,ValueColumn
"r_2","0","BG32","0","2004Q2","1000cp","425.3"
"r_2","0","BG32","1","2004Q2","1000cp","178.1"
"r_2","0","BG32","2","2004Q2","1000cp","247.1"
"r_2","0","BG33","0","2004Q2","1000cp","404.8"
"r_2","0","BG33","1","2004Q2","1000cp","170.8"
"r_2","0","BG33","2","2004Q2","1000cp","234"
"r_2","0","BG34","0","2004Q2","1000cp","478"
"r_2","0","BG34","1","2004Q2","1000cp","201.8"
"r_2","0","BG34","2","2004Q2","1000cp","276.2"
"r_2","0","BG41","0","2004Q2","1000cp","838.6"
"r_2","0","BG41","1","2004Q2","1000cp","359.4"
"r_2","0","BG41","2","2004Q2","1000cp","479.3"
"r_2","0","BG42","0","2004Q2","1000cp","672.1"
"r_2","0","BG42","1","2004Q2","1000cp","286.7"
"r_2","0","BG42","2","2004Q2","1000cp","385.4"
"r_2","15 - 64_gr","BG","0","2004Q2","1000cp","1973.2"
"r_2","15 - 64_gr","BG","1","2004Q2","1000cp","861.4"
"r_2","15 - 64_gr","BG","2","2004Q2","1000cp","1111.8"
"r_2","15 - 64_gr","BG31","0","2004Q2","1000cp","280"
"r_2","15 - 64_gr","BG31","1","2004Q2","1000cp","125.3"
"r_2","15 - 64_gr","BG31","2","2004Q2","1000cp","154.8"
"r_2","15 - 64_gr","BG32","0","2004Q2","1000cp","258.1"
"r_2","15 - 64_gr","BG32","1","2004Q2","1000cp","110"
"r_2","15 - 64_gr","BG32","2","2004Q2","1000cp","148.1"
"r_2","15 - 64_gr","BG33","0","2004Q2","1000cp","247"
"r_2","15 - 64_gr","BG33","1","2004Q2","1000cp","106.7"
"r_2","15 - 64_gr","BG33","2","2004Q2","1000cp","140.3"
"r_2","15 - 64_gr","BG34","0","2004Q2","1000cp","278.9"
"r_2","15 - 64_gr","BG34","1","2004Q2","1000cp","118.8"
"r_2","15 - 64_gr","BG34","2","2004Q2","1000cp","160.1"
"r_2","15 - 64_gr","BG41","0","2004Q2","1000cp","496.7"
