RevisionColumn,GenderID,Units,periods,ValueColumn
"r_11","0","1000cp","2018Q1","2733.5"
"r_11","1","1000cp","2018Q1","1417.8"
"r_11","2","1000cp","2018Q1","1315.8"
"r_12","0","1000cp","2018Q2","2785.6"
"r_12","1","1000cp","2018Q2","1435"
"r_12","2","1000cp","2018Q2","1350.6"
"r_13","0","1000cp","2018Q3","2831.9"
"r_13","1","1000cp","2018Q3","1468.6"
"r_13","2","1000cp","2018Q3","1363.3"
"r_14","0","1000cp","2018Q4","2790.6"
"r_14","1","1000cp","2018Q4","1455.9"
"r_14","2","1000cp","2018Q4","1334.7"
"r_15","0","1000cp","2019Q1","2789.8"
"r_15","1","1000cp","2019Q1","1446.8"
"r_15","2","1000cp","2019Q1","1343"
"r_16","0","1000cp","2019Q2","2912.6"
"r_16","1","1000cp","2019Q2","1506.8"
"r_16","2","1000cp","2019Q2","1405.8"
"r_17","0","1000cp","2019Q3","2953.3"
"r_17","1","1000cp","2019Q3","1544.9"
"r_17","2","1000cp","2019Q3","1408.4"
"r_18","0","1000cp","2019Q4","2876.8"
"r_18","1","1000cp","2019Q4","1515.1"
"r_18","2","1000cp","2019Q4","1361.7"
"r_19","0","1000cp","2020Q1","2777.4"
"r_19","1","1000cp","2020Q1","1454.9"
"r_19","2","1000cp","2020Q1","1322.5"
"r_20","0","1000cp","2020Q2","2728.7"
"r_20","1","1000cp","2020Q2","1416.7"
"r_20","2","1000cp","2020Q2","1312"
"r_21","0","1000cp","2020Q3","2818.1"
"r_21","1","1000cp","2020Q3","1471.7"
"r_21","2","1000cp","2020Q3","1346.4"
"r_22","0","1000cp","2020Q4","2780.1"
"r_22","1","1000cp","2020Q4","1455.9"
"r_22","2","1000cp","2020Q4","1324.2"
"r_31","0","1000cp","2023Q1","2590.3"
"r_31","1","1000cp","2023Q1","1328.1"
"r_31","2","1000cp","2023Q1","1262.2"
"r_32","0","1000cp","2023Q2","2601.1"
"r_32","1","1000cp","2023Q2","1343.2"
"r_32","2","1000cp","2023Q2","1257.9"
"r_33","0","1000cp","2023Q3","2635.2"
"r_33","1","1000cp","2023Q3","1358.6"
"r_33","2","1000cp","2023Q3","1276.6"
"r_34","0","1000cp","2022Q1","2562.6"
"r_34","1","1000cp","2022Q1","1317.1"
"r_34","2","1000cp","2022Q1","1245.5"
"r_37","0","1000cp","2022Q4","2631.2"
"r_37","1","1000cp","2022Q4","1364.3"
"r_37","2","1000cp","2022Q4","1266.9"
"r_35","0","1000cp","2022Q2","2600.2"
"r_35","1","1000cp","2022Q2","1337.2"
"r_35","2","1000cp","2022Q2","1263"
"r_36","0","1000cp","2022Q3","2651.7"
"r_36","1","1000cp","2022Q3","1374.7"
"r_36","2","1000cp","2022Q3","1277"
"r_38","0","1000cp","2023Q4","2576.5"
"r_38","1","1000cp","2023Q4","1341"
"r_38","2","1000cp","2023Q4","1235.5"
"r_39","0","1000cp","2024Q1","2569.6"
"r_39","1","1000cp","2024Q1","1333"
"r_39","2","1000cp","2024Q1","1236.6"
"r_40","0","1000cp","2021Q1","2542.3"
"r_40","1","1000cp","2021Q1","1321.3"
"r_40","2","1000cp","2021Q1","1221"
