RevisionColumn,Indicators,periods,PRODPROM,Units,ValueColumn
"r_16","3.1.1.2.2","2008","10.41.55","kg_fig","-"
"r_16","3.1.1.2.3","2008","10.41.55","kg_fig","-"
"r_16","3.1.1.2.1","2008","10.41.56","kg_fig",".."
"r_16","3.1.1.2.2","2008","10.41.56","kg_fig",".."
"r_16","3.1.1.2.3","2008","10.41.56","kg_fig",".."
"r_16","3.1.1.2.1","2008","10.41.57","kg_fig","-"
"r_16","3.1.1.2.2","2008","10.41.57","kg_fig","-"
"r_16","3.1.1.2.3","2008","10.41.57","kg_fig","-"
"r_16","3.1.1.2.1","2008","10.41.58","kg_fig","-"
"r_16","3.1.1.2.2","2008","10.41.58","kg_fig","-"
"r_16","3.1.1.2.3","2008","10.41.58","kg_fig","-"
"r_16","3.1.1.2.1","2008","10.41.59","kg_fig","-"
"r_16","3.1.1.2.2","2008","10.41.59","kg_fig","-"
"r_16","3.1.1.2.3","2008","10.41.59","kg_fig","-"
"r_16","3.1.1.2.1","2008","10.41.60","kg_fig","-"
"r_16","3.1.1.2.2","2008","10.41.60","kg_fig","-"
"r_16","3.1.1.2.3","2008","10.41.60","kg_fig","-"
"r_16","3.1.1.2.1","2008","10.41.71","kg_fig","-"
"r_16","3.1.1.2.2","2008","10.41.71","kg_fig","-"
"r_16","3.1.1.2.3","2008","10.41.71","kg_fig","-"
"r_16","3.1.1.2.1","2008","10.41.72","kg_fig",".."
"r_16","3.1.1.2.2","2008","10.41.72","kg_fig",".."
"r_16","3.1.1.2.3","2008","10.41.72","kg_fig",".."
"r_16","3.1.1.2.1","2008","10.42.10","kg_fig",".."
"r_16","3.1.1.2.2","2008","10.42.10","kg_fig",".."
"r_16","3.1.1.2.3","2008","10.42.10","kg_fig",".."
"r_16","3.1.1.2.1","2008","10.52.10","l","23918698"
"r_16","3.1.1.2.2","2008","10.52.10","l","23434909"
"r_16","3.1.1.2.3","2008","10.52.10","l","75057"
"r_16","3.1.1.2.1","2008","10.61.11","kg_fig",".."
"r_16","3.1.1.2.2","2008","10.61.11","kg_fig",".."
"r_16","3.1.1.2.3","2008","10.61.11","kg_fig",".."
"r_16","3.1.1.2.1","2008","10.61.12","kg_fig","12353777"
"r_16","3.1.1.2.2","2008","10.61.12","kg_fig","11794436"
"r_16","3.1.1.2.3","2008","10.61.12","kg_fig","10375"
"r_16","3.1.1.2.1","2008","10.61.21","kg_fig","533483731"
"r_16","3.1.1.2.2","2008","10.61.21","kg_fig","424427688"
"r_16","3.1.1.2.3","2008","10.61.21","kg_fig","233753"
"r_16","3.1.1.2.1","2008","10.61.22","kg_fig","5266495"
"r_16","3.1.1.2.2","2008","10.61.22","kg_fig","3707473"
"r_16","3.1.1.2.3","2008","10.61.22","kg_fig","2372"
"r_16","3.1.1.2.1","2008","10.61.23","kg_fig",".."
"r_16","3.1.1.2.2","2008","10.61.23","kg_fig",".."
"r_16","3.1.1.2.3","2008","10.61.23","kg_fig",".."
"r_16","3.1.1.2.1","2008","10.61.24","kg_fig",".."
"r_16","3.1.1.2.2","2008","10.61.24","kg_fig",".."
"r_16","3.1.1.2.3","2008","10.61.24","kg_fig",".."
"r_16","3.1.1.2.1","2008","10.61.31","kg_fig","5254767"
"r_16","3.1.1.2.2","2008","10.61.31","kg_fig","5341353"
"r_16","3.1.1.2.3","2008","10.61.31","kg_fig","3403"
"r_16","3.1.1.2.1","2008","10.61.32","kg_fig",".."
"r_16","3.1.1.2.2","2008","10.61.32","kg_fig",".."
"r_16","3.1.1.2.3","2008","10.61.32","kg_fig",".."
"r_16","3.1.1.2.1","2008","10.61.33","kg_fig","4495169"
"r_16","3.1.1.2.2","2008","10.61.33","kg_fig","4373764"
"r_16","3.1.1.2.3","2008","10.61.33","kg_fig","10558"
"r_16","3.1.1.2.1","2008","10.61.40","kg_fig","214319584"
"r_16","3.1.1.2.2","2008","10.61.40","kg_fig","186949933"
"r_16","3.1.1.2.3","2008","10.61.40","kg_fig","42830"
