RevisionColumn,NACE2008A21,periods,Ownership,Units,ValueColumn
"r_13","0","2021","2","AvNum/Y","1708044"
"r_13","0","2022","total","AvNum/Y","2278832"
"r_13","0","2022","1","AvNum/Y","545083"
"r_13","0","2022","2","AvNum/Y","1733749"
"r_13","0","2023","total","AvNum/Y","2302922"
"r_13","0","2023","1","AvNum/Y","550445"
"r_13","0","2023","2","AvNum/Y","1752477"
"r_13","0","2024","total","AvNum/Y","2323880"
"r_13","0","2024","1","AvNum/Y","561551"
"r_13","0","2024","2","AvNum/Y","1762329"
"r_13","A","2008","total","AvNum/Y","65580"
"r_13","A","2008","1","AvNum/Y","11765"
"r_13","A","2008","2","AvNum/Y","53815"
"r_13","A","2009","total","AvNum/Y","67502"
"r_13","A","2009","1","AvNum/Y","14142"
"r_13","A","2009","2","AvNum/Y","53360"
"r_13","A","2010","total","AvNum/Y","65390"
"r_13","A","2010","1","AvNum/Y","12927"
"r_13","A","2010","2","AvNum/Y","52463"
"r_13","A","2011","total","AvNum/Y","68318"
"r_13","A","2011","1","AvNum/Y","12350"
"r_13","A","2011","2","AvNum/Y","55968"
"r_13","A","2012","total","AvNum/Y","68887"
"r_13","A","2012","1","AvNum/Y","11629"
"r_13","A","2012","2","AvNum/Y","57258"
"r_13","A","2013","total","AvNum/Y","70235"
"r_13","A","2013","1","AvNum/Y","12103"
"r_13","A","2013","2","AvNum/Y","58132"
"r_13","A","2014","total","AvNum/Y","70855"
"r_13","A","2014","1","AvNum/Y","12105"
"r_13","A","2014","2","AvNum/Y","58750"
"r_13","A","2015","total","AvNum/Y","70915"
"r_13","A","2015","1","AvNum/Y","11968"
"r_13","A","2015","2","AvNum/Y","58947"
"r_13","A","2016","total","AvNum/Y","71637"
"r_13","A","2016","1","AvNum/Y","11815"
"r_13","A","2016","2","AvNum/Y","59822"
"r_13","A","2017","total","AvNum/Y","71340"
"r_13","A","2017","1","AvNum/Y","12044"
"r_13","A","2017","2","AvNum/Y","59296"
"r_13","A","2018","total","AvNum/Y","71101"
"r_13","A","2018","1","AvNum/Y","11925"
"r_13","A","2018","2","AvNum/Y","59176"
"r_13","A","2019","total","AvNum/Y","69726"
"r_13","A","2019","1","AvNum/Y","11597"
"r_13","A","2019","2","AvNum/Y","58129"
"r_13","A","2020","total","AvNum/Y","66958"
"r_13","A","2020","1","AvNum/Y","11149"
"r_13","A","2020","2","AvNum/Y","55809"
"r_13","A","2021","total","AvNum/Y","65717"
"r_13","A","2021","1","AvNum/Y","11019"
"r_13","A","2021","2","AvNum/Y","54698"
"r_13","A","2022","total","AvNum/Y","65682"
"r_13","A","2022","1","AvNum/Y","10979"
"r_13","A","2022","2","AvNum/Y","54703"
"r_13","A","2023","total","AvNum/Y","65424"
"r_13","A","2023","1","AvNum/Y","11099"
"r_13","A","2023","2","AvNum/Y","54325"
"r_13","A","2024","total","AvNum/Y","62561"
"r_13","A","2024","1","AvNum/Y","10778"
"r_13","A","2024","2","AvNum/Y","51783"
"r_13","B","2008","total","AvNum/Y","29611"
"r_13","B","2008","1","AvNum/Y","7448"
"r_13","B","2008","2","AvNum/Y","22163"
"r_13","B","2009","total","AvNum/Y","26124"
"r_13","B","2009","1","AvNum/Y","7422"
"r_13","B","2009","2","AvNum/Y","18702"
"r_13","B","2010","total","AvNum/Y","24584"
"r_13","B","2010","1","AvNum/Y","7326"
"r_13","B","2010","2","AvNum/Y","17258"
"r_13","B","2011","total","AvNum/Y","24743"
"r_13","B","2011","1","AvNum/Y","7286"
"r_13","B","2011","2","AvNum/Y","17457"
"r_13","B","2012","total","AvNum/Y","24641"
"r_13","B","2012","1","AvNum/Y","7108"
"r_13","B","2012","2","AvNum/Y","17533"
"r_13","B","2013","total","AvNum/Y","24268"
"r_13","B","2013","1","AvNum/Y","7154"
"r_13","B","2013","2","AvNum/Y","17114"
"r_13","B","2014","total","AvNum/Y","23709"
"r_13","B","2014","1","AvNum/Y","7249"
"r_13","B","2014","2","AvNum/Y","16460"
"r_13","B","2015","total","AvNum/Y","24617"
"r_13","B","2015","1","AvNum/Y","7406"
"r_13","B","2015","2","AvNum/Y","17211"
"r_13","B","2016","total","AvNum/Y","23687"
"r_13","B","2016","1","AvNum/Y","7344"
"r_13","B","2016","2","AvNum/Y","16343"
"r_13","B","2017","total","AvNum/Y","21624"
"r_13","B","2017","1","AvNum/Y","7297"
"r_13","B","2017","2","AvNum/Y","14327"
"r_13","B","2018","total","AvNum/Y","21219"
"r_13","B","2018","1","AvNum/Y","7344"
"r_13","B","2018","2","AvNum/Y","13875"
"r_13","B","2019","total","AvNum/Y","19137"
"r_13","B","2019","1","AvNum/Y","7329"
"r_13","B","2019","2","AvNum/Y","11808"
"r_13","B","2020","total","AvNum/Y","19760"
"r_13","B","2020","1","AvNum/Y","7255"
"r_13","B","2020","2","AvNum/Y","12505"
"r_13","B","2021","total","AvNum/Y","19156"
"r_13","B","2021","1","AvNum/Y","6985"
"r_13","B","2021","2","AvNum/Y","12171"
"r_13","B","2022","total","AvNum/Y","18446"
"r_13","B","2022","1","AvNum/Y","6825"
"r_13","B","2022","2","AvNum/Y","11621"
"r_13","B","2023","total","AvNum/Y","18433"
"r_13","B","2023","1","AvNum/Y","6866"
"r_13","B","2023","2","AvNum/Y","11567"
"r_13","B","2024","total","AvNum/Y","18177"
"r_13","B","2024","1","AvNum/Y","6593"
"r_13","B","2024","2","AvNum/Y","11584"
"r_13","C","2008","total","AvNum/Y","608206"
"r_13","C","2008","1","AvNum/Y","10675"
"r_13","C","2008","2","AvNum/Y","597531"
"r_13","C","2009","total","AvNum/Y","540756"
"r_13","C","2009","1","AvNum/Y","9810"
"r_13","C","2009","2","AvNum/Y","530946"
"r_13","C","2010","total","AvNum/Y","498327"
"r_13","C","2010","1","AvNum/Y","8819"
"r_13","C","2010","2","AvNum/Y","489508"
"r_13","C","2011","total","AvNum/Y","501570"
"r_13","C","2011","1","AvNum/Y","6719"
"r_13","C","2011","2","AvNum/Y","494851"
"r_13","C","2012","total","AvNum/Y","491233"
"r_13","C","2012","1","AvNum/Y","6391"
"r_13","C","2012","2","AvNum/Y","484842"
"r_13","C","2013","total","AvNum/Y","489948"
"r_13","C","2013","1","AvNum/Y","5640"
"r_13","C","2013","2","AvNum/Y","484308"
"r_13","C","2014","total","AvNum/Y","502723"
"r_13","C","2014","1","AvNum/Y","5369"
"r_13","C","2014","2","AvNum/Y","497354"
"r_13","C","2015","total","AvNum/Y","512315"
"r_13","C","2015","1","AvNum/Y","5448"
"r_13","C","2015","2","AvNum/Y","506867"
"r_13","C","2016","total","AvNum/Y","514260"
"r_13","C","2016","1","AvNum/Y","6592"
"r_13","C","2016","2","AvNum/Y","507668"
"r_13","C","2017","total","AvNum/Y","521444"
"r_13","C","2017","1","AvNum/Y","7684"
"r_13","C","2017","2","AvNum/Y","513760"
"r_13","C","2018","total","AvNum/Y","519790"
"r_13","C","2018","1","AvNum/Y","7073"
"r_13","C","2018","2","AvNum/Y","512717"
"r_13","C","2019","total","AvNum/Y","505119"
"r_13","C","2019","1","AvNum/Y","6460"
"r_13","C","2019","2","AvNum/Y","498659"
"r_13","C","2020","total","AvNum/Y","467080"
"r_13","C","2020","1","AvNum/Y","6179"
"r_13","C","2020","2","AvNum/Y","460901"
"r_13","C","2021","total","AvNum/Y","467927"
"r_13","C","2021","1","AvNum/Y","6064"
"r_13","C","2021","2","AvNum/Y","461863"
"r_13","C","2022","total","AvNum/Y","464138"
"r_13","C","2022","1","AvNum/Y","5950"
"r_13","C","2022","2","AvNum/Y","458188"
"r_13","C","2023","total","AvNum/Y","459321"
"r_13","C","2023","1","AvNum/Y","6606"
"r_13","C","2023","2","AvNum/Y","452715"
"r_13","C","2024","total","AvNum/Y","442902"
"r_13","C","2024","1","AvNum/Y","7118"
"r_13","C","2024","2","AvNum/Y","435784"
"r_13","D","2008","total","AvNum/Y","34706"
"r_13","D","2008","1","AvNum/Y","17761"
"r_13","D","2008","2","AvNum/Y","16945"
"r_13","D","2009","total","AvNum/Y","34109"
"r_13","D","2009","1","AvNum/Y","17215"
"r_13","D","2009","2","AvNum/Y","16894"
"r_13","D","2010","total","AvNum/Y","32428"
"r_13","D","2010","1","AvNum/Y","15765"
"r_13","D","2010","2","AvNum/Y","16663"
"r_13","D","2011","total","AvNum/Y","31178"
"r_13","D","2011","1","AvNum/Y","14548"
"r_13","D","2011","2","AvNum/Y","16630"
"r_13","D","2012","total","AvNum/Y","31812"
"r_13","D","2012","1","AvNum/Y","15407"
"r_13","D","2012","2","AvNum/Y","16405"
"r_13","D","2013","total","AvNum/Y","31337"
"r_13","D","2013","1","AvNum/Y","14849"
"r_13","D","2013","2","AvNum/Y","16488"
"r_13","D","2014","total","AvNum/Y","31195"
"r_13","D","2014","1","AvNum/Y","15032"
"r_13","D","2014","2","AvNum/Y","16163"
"r_13","D","2015","total","AvNum/Y","30248"
"r_13","D","2015","1","AvNum/Y","14791"
"r_13","D","2015","2","AvNum/Y","15457"
"r_13","D","2016","total","AvNum/Y","30574"
"r_13","D","2016","1","AvNum/Y","14658"
"r_13","D","2016","2","AvNum/Y","15916"
"r_13","D","2017","total","AvNum/Y","30205"
"r_13","D","2017","1","AvNum/Y","14649"
"r_13","D","2017","2","AvNum/Y","15556"
"r_13","D","2018","total","AvNum/Y","30252"
"r_13","D","2018","1","AvNum/Y","14677"
"r_13","D","2018","2","AvNum/Y","15575"
"r_13","D","2019","total","AvNum/Y","29834"
"r_13","D","2019","1","AvNum/Y","14669"
"r_13","D","2019","2","AvNum/Y","15165"
"r_13","D","2020","total","AvNum/Y","29584"
"r_13","D","2020","1","AvNum/Y","14525"
"r_13","D","2020","2","AvNum/Y","15059"
"r_13","D","2021","total","AvNum/Y","29803"
"r_13","D","2021","1","AvNum/Y","14209"
"r_13","D","2021","2","AvNum/Y","15594"
"r_13","D","2022","total","AvNum/Y","29303"
"r_13","D","2022","1","AvNum/Y","13948"
"r_13","D","2022","2","AvNum/Y","15355"
"r_13","D","2023","total","AvNum/Y","28940"
"r_13","D","2023","1","AvNum/Y","13771"
"r_13","D","2023","2","AvNum/Y","15169"
"r_13","D","2024","total","AvNum/Y","28481"
"r_13","D","2024","1","AvNum/Y","13551"
"r_13","D","2024","2","AvNum/Y","14930"
"r_13","E","2008","total","AvNum/Y","34034"
"r_13","E","2008","1","AvNum/Y","21076"
"r_13","E","2008","2","AvNum/Y","12958"
"r_13","E","2009","total","AvNum/Y","32792"
"r_13","E","2009","1","AvNum/Y","20258"
"r_13","E","2009","2","AvNum/Y","12534"
"r_13","E","2010","total","AvNum/Y","34749"
"r_13","E","2010","1","AvNum/Y","20703"
"r_13","E","2010","2","AvNum/Y","14046"
"r_13","E","2011","total","AvNum/Y","35559"
"r_13","E","2011","1","AvNum/Y","20438"
"r_13","E","2011","2","AvNum/Y","15121"
"r_13","E","2012","total","AvNum/Y","35065"
"r_13","E","2012","1","AvNum/Y","20231"
"r_13","E","2012","2","AvNum/Y","14834"
"r_13","E","2013","total","AvNum/Y","35222"
"r_13","E","2013","1","AvNum/Y","20595"
"r_13","E","2013","2","AvNum/Y","14627"
"r_13","E","2014","total","AvNum/Y","34030"
"r_13","E","2014","1","AvNum/Y","20303"
"r_13","E","2014","2","AvNum/Y","13727"
"r_13","E","2015","total","AvNum/Y","34940"
"r_13","E","2015","1","AvNum/Y","20770"
"r_13","E","2015","2","AvNum/Y","14170"
"r_13","E","2016","total","AvNum/Y","36182"
"r_13","E","2016","1","AvNum/Y","22038"
"r_13","E","2016","2","AvNum/Y","14144"
"r_13","E","2017","total","AvNum/Y","36732"
"r_13","E","2017","1","AvNum/Y","22674"
"r_13","E","2017","2","AvNum/Y","14058"
"r_13","E","2018","total","AvNum/Y","36904"
"r_13","E","2018","1","AvNum/Y","22433"
"r_13","E","2018","2","AvNum/Y","14471"
"r_13","E","2019","total","AvNum/Y","36955"
"r_13","E","2019","1","AvNum/Y","22390"
"r_13","E","2019","2","AvNum/Y","14565"
"r_13","E","2020","total","AvNum/Y","36521"
"r_13","E","2020","1","AvNum/Y","22066"
"r_13","E","2020","2","AvNum/Y","14455"
"r_13","E","2021","total","AvNum/Y","36607"
"r_13","E","2021","1","AvNum/Y","22287"
"r_13","E","2021","2","AvNum/Y","14320"
"r_13","E","2022","total","AvNum/Y","36645"
"r_13","E","2022","1","AvNum/Y","22168"
"r_13","E","2022","2","AvNum/Y","14477"
"r_13","E","2023","total","AvNum/Y","36780"
"r_13","E","2023","1","AvNum/Y","22314"
"r_13","E","2023","2","AvNum/Y","14466"
"r_13","E","2024","total","AvNum/Y","37064"
"r_13","E","2024","1","AvNum/Y","22724"
"r_13","E","2024","2","AvNum/Y","14340"
"r_13","F","2008","total","AvNum/Y","241400"
"r_13","F","2008","1","AvNum/Y","6175"
"r_13","F","2008","2","AvNum/Y","235225"
"r_13","F","2009","total","AvNum/Y","213541"
"r_13","F","2009","1","AvNum/Y","5840"
"r_13","F","2009","2","AvNum/Y","207701"
"r_13","F","2010","total","AvNum/Y","159552"
"r_13","F","2010","1","AvNum/Y","4143"
"r_13","F","2010","2","AvNum/Y","155409"
"r_13","F","2011","total","AvNum/Y","141650"
"r_13","F","2011","1","AvNum/Y","4025"
"r_13","F","2011","2","AvNum/Y","137625"
"r_13","F","2012","total","AvNum/Y","133310"
"r_13","F","2012","1","AvNum/Y","3455"
"r_13","F","2012","2","AvNum/Y","129855"
"r_13","F","2013","total","AvNum/Y","128947"
"r_13","F","2013","1","AvNum/Y","3110"
"r_13","F","2013","2","AvNum/Y","125837"
"r_13","F","2014","total","AvNum/Y","130526"
"r_13","F","2014","1","AvNum/Y","2912"
"r_13","F","2014","2","AvNum/Y","127614"
"r_13","F","2015","total","AvNum/Y","130533"
"r_13","F","2015","1","AvNum/Y","2623"
"r_13","F","2015","2","AvNum/Y","127910"
"r_13","F","2016","total","AvNum/Y","124379"
"r_13","F","2016","1","AvNum/Y","2216"
"r_13","F","2016","2","AvNum/Y","122163"
"r_13","F","2017","total","AvNum/Y","127493"
"r_13","F","2017","1","AvNum/Y","2257"
"r_13","F","2017","2","AvNum/Y","125236"
"r_13","F","2018","total","AvNum/Y","131140"
"r_13","F","2018","1","AvNum/Y","2126"
"r_13","F","2018","2","AvNum/Y","129014"
"r_13","F","2019","total","AvNum/Y","135264"
"r_13","F","2019","1","AvNum/Y","2260"
"r_13","F","2019","2","AvNum/Y","133004"
"r_13","F","2020","total","AvNum/Y","131030"
"r_13","F","2020","1","AvNum/Y","2271"
"r_13","F","2020","2","AvNum/Y","128759"
"r_13","F","2021","total","AvNum/Y","130348"
"r_13","F","2021","1","AvNum/Y","2491"
"r_13","F","2021","2","AvNum/Y","127857"
"r_13","F","2022","total","AvNum/Y","127698"
"r_13","F","2022","1","AvNum/Y","2174"
"r_13","F","2022","2","AvNum/Y","125524"
"r_13","F","2023","total","AvNum/Y","131526"
"r_13","F","2023","1","AvNum/Y","2167"
"r_13","F","2023","2","AvNum/Y","129359"
"r_13","F","2024","total","AvNum/Y","138176"
"r_13","F","2024","1","AvNum/Y","2204"
"r_13","F","2024","2","AvNum/Y","135972"
"r_13","G","2008","total","AvNum/Y","396932"
"r_13","G","2008","1","AvNum/Y","984"
"r_13","G","2008","2","AvNum/Y","395948"
"r_13","G","2009","total","AvNum/Y","411447"
"r_13","G","2009","1","AvNum/Y","571"
"r_13","G","2009","2","AvNum/Y","410876"
"r_13","G","2010","total","AvNum/Y","396487"
"r_13","G","2010","1","AvNum/Y","521"
"r_13","G","2010","2","AvNum/Y","395966"
"r_13","G","2011","total","AvNum/Y","386893"
"r_13","G","2011","1","AvNum/Y","418"
"r_13","G","2011","2","AvNum/Y","386475"
"r_13","G","2012","total","AvNum/Y","374904"
"r_13","G","2012","1","AvNum/Y","530"
"r_13","G","2012","2","AvNum/Y","374374"
"r_13","G","2013","total","AvNum/Y","370716"
"r_13","G","2013","1","AvNum/Y","519"
"r_13","G","2013","2","AvNum/Y","370197"
"r_13","G","2014","total","AvNum/Y","375814"
"r_13","G","2014","1","AvNum/Y","495"
"r_13","G","2014","2","AvNum/Y","375319"
"r_13","G","2015","total","AvNum/Y","373770"
"r_13","G","2015","1","AvNum/Y","537"
"r_13","G","2015","2","AvNum/Y","373233"
"r_13","G","2016","total","AvNum/Y","375525"
"r_13","G","2016","1","AvNum/Y","485"
"r_13","G","2016","2","AvNum/Y","375040"
"r_13","G","2017","total","AvNum/Y","379830"
"r_13","G","2017","1","AvNum/Y","472"
"r_13","G","2017","2","AvNum/Y","379358"
"r_13","G","2018","total","AvNum/Y","377445"
"r_13","G","2018","1","AvNum/Y","434"
"r_13","G","2018","2","AvNum/Y","377011"
"r_13","G","2019","total","AvNum/Y","379575"
"r_13","G","2019","1","AvNum/Y","357"
"r_13","G","2019","2","AvNum/Y","379218"
"r_13","G","2020","total","AvNum/Y","361635"
"r_13","G","2020","1","AvNum/Y","348"
"r_13","G","2020","2","AvNum/Y","361287"
"r_13","G","2021","total","AvNum/Y","370358"
"r_13","G","2021","1","AvNum/Y","340"
"r_13","G","2021","2","AvNum/Y","370018"
"r_13","G","2022","total","AvNum/Y","373721"
"r_13","G","2022","1","AvNum/Y","341"
"r_13","G","2022","2","AvNum/Y","373380"
"r_13","G","2023","total","AvNum/Y","374433"
"r_13","G","2023","1","AvNum/Y","325"
"r_13","G","2023","2","AvNum/Y","374108"
"r_13","G","2024","total","AvNum/Y","380447"
"r_13","G","2024","1","AvNum/Y","276"
"r_13","G","2024","2","AvNum/Y","380171"
"r_13","H","2008","total","AvNum/Y","145744"
"r_13","H","2008","1","AvNum/Y","63914"
"r_13","H","2008","2","AvNum/Y","81830"
"r_13","H","2009","total","AvNum/Y","142941"
"r_13","H","2009","1","AvNum/Y","61225"
"r_13","H","2009","2","AvNum/Y","81716"
"r_13","H","2010","total","AvNum/Y","136087"
"r_13","H","2010","1","AvNum/Y","58441"
"r_13","H","2010","2","AvNum/Y","77646"
"r_13","H","2011","total","AvNum/Y","137168"
"r_13","H","2011","1","AvNum/Y","55812"
"r_13","H","2011","2","AvNum/Y","81356"
"r_13","H","2012","total","AvNum/Y","135369"
"r_13","H","2012","1","AvNum/Y","51054"
"r_13","H","2012","2","AvNum/Y","84315"
"r_13","H","2013","total","AvNum/Y","137131"
"r_13","H","2013","1","AvNum/Y","49901"
"r_13","H","2013","2","AvNum/Y","87230"
"r_13","H","2014","total","AvNum/Y","138243"
"r_13","H","2014","1","AvNum/Y","48908"
"r_13","H","2014","2","AvNum/Y","89335"
"r_13","H","2015","total","AvNum/Y","141537"
"r_13","H","2015","1","AvNum/Y","48598"
"r_13","H","2015","2","AvNum/Y","92939"
"r_13","H","2016","total","AvNum/Y","146236"
"r_13","H","2016","1","AvNum/Y","48609"
"r_13","H","2016","2","AvNum/Y","97627"
"r_13","H","2017","total","AvNum/Y","148623"
"r_13","H","2017","1","AvNum/Y","48197"
"r_13","H","2017","2","AvNum/Y","100426"
"r_13","H","2018","total","AvNum/Y","149981"
"r_13","H","2018","1","AvNum/Y","47645"
"r_13","H","2018","2","AvNum/Y","102336"
"r_13","H","2019","total","AvNum/Y","149934"
"r_13","H","2019","1","AvNum/Y","47210"
"r_13","H","2019","2","AvNum/Y","102724"
"r_13","H","2020","total","AvNum/Y","144331"
"r_13","H","2020","1","AvNum/Y","46631"
"r_13","H","2020","2","AvNum/Y","97700"
"r_13","H","2021","total","AvNum/Y","144623"
"r_13","H","2021","1","AvNum/Y","44095"
"r_13","H","2021","2","AvNum/Y","100528"
"r_13","H","2022","total","AvNum/Y","144838"
"r_13","H","2022","1","AvNum/Y","41842"
"r_13","H","2022","2","AvNum/Y","102996"
"r_13","H","2023","total","AvNum/Y","144963"
"r_13","H","2023","1","AvNum/Y","41013"
"r_13","H","2023","2","AvNum/Y","103950"
"r_13","H","2024","total","AvNum/Y","143889"
"r_13","H","2024","1","AvNum/Y","40355"
"r_13","H","2024","2","AvNum/Y","103534"
"r_13","I","2008","total","AvNum/Y","108878"
"r_13","I","2008","1","AvNum/Y","5036"
"r_13","I","2008","2","AvNum/Y","103842"
"r_13","I","2009","total","AvNum/Y","115611"
"r_13","I","2009","1","AvNum/Y","6009"
"r_13","I","2009","2","AvNum/Y","109602"
"r_13","I","2010","total","AvNum/Y","110834"
"r_13","I","2010","1","AvNum/Y","5113"
"r_13","I","2010","2","AvNum/Y","105721"
"r_13","I","2011","total","AvNum/Y","114856"
"r_13","I","2011","1","AvNum/Y","5310"
"r_13","I","2011","2","AvNum/Y","109546"
"r_13","I","2012","total","AvNum/Y","113397"
"r_13","I","2012","1","AvNum/Y","4841"
"r_13","I","2012","2","AvNum/Y","108556"
"r_13","I","2013","total","AvNum/Y","111788"
"r_13","I","2013","1","AvNum/Y","4545"
"r_13","I","2013","2","AvNum/Y","107243"
"r_13","I","2014","total","AvNum/Y","110832"
"r_13","I","2014","1","AvNum/Y","4237"
"r_13","I","2014","2","AvNum/Y","106595"
"r_13","I","2015","total","AvNum/Y","110503"
"r_13","I","2015","1","AvNum/Y","4218"
"r_13","I","2015","2","AvNum/Y","106285"
"r_13","I","2016","total","AvNum/Y","114838"
"r_13","I","2016","1","AvNum/Y","4317"
"r_13","I","2016","2","AvNum/Y","110521"
"r_13","I","2017","total","AvNum/Y","119137"
"r_13","I","2017","1","AvNum/Y","4350"
"r_13","I","2017","2","AvNum/Y","114787"
"r_13","I","2018","total","AvNum/Y","120168"
"r_13","I","2018","1","AvNum/Y","4324"
"r_13","I","2018","2","AvNum/Y","115844"
"r_13","I","2019","total","AvNum/Y","122458"
"r_13","I","2019","1","AvNum/Y","4009"
"r_13","I","2019","2","AvNum/Y","118449"
"r_13","I","2020","total","AvNum/Y","90574"
"r_13","I","2020","1","AvNum/Y","3717"
"r_13","I","2020","2","AvNum/Y","86857"
"r_13","I","2021","total","AvNum/Y","97960"
"r_13","I","2021","1","AvNum/Y","3896"
"r_13","I","2021","2","AvNum/Y","94064"
"r_13","I","2022","total","AvNum/Y","106599"
"r_13","I","2022","1","AvNum/Y","3733"
"r_13","I","2022","2","AvNum/Y","102866"
"r_13","I","2023","total","AvNum/Y","113950"
"r_13","I","2023","1","AvNum/Y","3852"
"r_13","I","2023","2","AvNum/Y","110098"
"r_13","I","2024","total","AvNum/Y","121272"
"r_13","I","2024","1","AvNum/Y","3948"
"r_13","I","2024","2","AvNum/Y","117324"
"r_13","J","2008","total","AvNum/Y","59943"
"r_13","J","2008","1","AvNum/Y","5303"
"r_13","J","2008","2","AvNum/Y","54640"
"r_13","J","2009","total","AvNum/Y","63313"
"r_13","J","2009","1","AvNum/Y","4842"
"r_13","J","2009","2","AvNum/Y","58471"
"r_13","J","2010","total","AvNum/Y","62747"
"r_13","J","2010","1","AvNum/Y","4753"
"r_13","J","2010","2","AvNum/Y","57994"
"r_13","J","2011","total","AvNum/Y","65072"
"r_13","J","2011","1","AvNum/Y","4175"
"r_13","J","2011","2","AvNum/Y","60897"
"r_13","J","2012","total","AvNum/Y","68056"
"r_13","J","2012","1","AvNum/Y","4144"
"r_13","J","2012","2","AvNum/Y","63912"
"r_13","J","2013","total","AvNum/Y","70961"
"r_13","J","2013","1","AvNum/Y","4114"
"r_13","J","2013","2","AvNum/Y","66847"
"r_13","J","2014","total","AvNum/Y","73146"
"r_13","J","2014","1","AvNum/Y","4053"
"r_13","J","2014","2","AvNum/Y","69093"
"r_13","J","2015","total","AvNum/Y","79227"
"r_13","J","2015","1","AvNum/Y","3947"
"r_13","J","2015","2","AvNum/Y","75280"
"r_13","J","2016","total","AvNum/Y","85082"
"r_13","J","2016","1","AvNum/Y","3747"
"r_13","J","2016","2","AvNum/Y","81335"
"r_13","J","2017","total","AvNum/Y","90854"
"r_13","J","2017","1","AvNum/Y","3837"
"r_13","J","2017","2","AvNum/Y","87017"
"r_13","J","2018","total","AvNum/Y","95447"
"r_13","J","2018","1","AvNum/Y","3722"
"r_13","J","2018","2","AvNum/Y","91725"
"r_13","J","2019","total","AvNum/Y","102249"
"r_13","J","2019","1","AvNum/Y","3692"
"r_13","J","2019","2","AvNum/Y","98557"
"r_13","J","2020","total","AvNum/Y","105393"
"r_13","J","2020","1","AvNum/Y","3669"
"r_13","J","2020","2","AvNum/Y","101724"
"r_13","J","2021","total","AvNum/Y","114113"
"r_13","J","2021","1","AvNum/Y","3703"
"r_13","J","2021","2","AvNum/Y","110410"
"r_13","J","2022","total","AvNum/Y","123908"
"r_13","J","2022","1","AvNum/Y","3629"
"r_13","J","2022","2","AvNum/Y","120279"
"r_13","J","2023","total","AvNum/Y","129916"
"r_13","J","2023","1","AvNum/Y","3699"
"r_13","J","2023","2","AvNum/Y","126217"
"r_13","J","2024","total","AvNum/Y","131449"
"r_13","J","2024","1","AvNum/Y","3737"
"r_13","J","2024","2","AvNum/Y","127712"
"r_13","K","2008","total","AvNum/Y","53211"
"r_13","K","2008","1","AvNum/Y","2059"
"r_13","K","2008","2","AvNum/Y","51152"
"r_13","K","2009","total","AvNum/Y","55952"
"r_13","K","2009","1","AvNum/Y","2059"
"r_13","K","2009","2","AvNum/Y","53893"
"r_13","K","2010","total","AvNum/Y","56463"
"r_13","K","2010","1","AvNum/Y","2114"
"r_13","K","2010","2","AvNum/Y","54349"
"r_13","K","2011","total","AvNum/Y","57130"
"r_13","K","2011","1","AvNum/Y","1961"
"r_13","K","2011","2","AvNum/Y","55169"
"r_13","K","2012","total","AvNum/Y","56617"
"r_13","K","2012","1","AvNum/Y","1935"
"r_13","K","2012","2","AvNum/Y","54682"
"r_13","K","2013","total","AvNum/Y","56709"
"r_13","K","2013","1","AvNum/Y","1860"
"r_13","K","2013","2","AvNum/Y","54849"
