RevisionColumn,Units,periods,TradeObjects,ValueColumn
"r_4","num","2016","7562","1314"
"r_4","num","2016","7563","433"
"r_4","num","2016","7564","2196"
"r_4","num","2016","7565","1539"
"r_4","num","2016","7566","2133"
"r_4","num","2016","7592","71936"
"r_4","num","2016","â ò.÷.:",""
"r_4","num","2016","7583","15063"
"r_4","num","2016","7572","2346"
"r_4","num","2016","7573","14542"
"r_4","num","2016","7574","3490"
"r_4","num","2016","7575","2913"
"r_4","num","2016","7576/7577","1562"
"r_4","num","2016","7578","2320"
"r_4","num","2016","7580","2129"
"r_4","num","2016","7579","1725"
"r_4","num","2016","7571","2779"
"r_4","num","2016","7581","4890"
"r_4","num","2016","7569/7570","5148"
"r_4","num","2016","7540","2613"
"r_4","num","2016","7550","438"
