RevisionColumn,Units,periods,Indicators,ValueColumn
"r_2","1000BGN","2013","3.1.2.1.1.2.1.0.1","199233"
"r_2","1000BGN","2014","3.1.2.1.1.2.1.0.1","197015"
"r_2","1000BGN","2015","3.1.2.1.1.2.1.0.1","185860"
"r_2","1000BGN","2016","3.1.2.1.1.2.1.0.1","176547"
"r_2","1000BGN","2017","3.1.2.1.1.2.1.0.1","201449"
"r_2","1000BGN","2018","3.1.2.1.1.2.1.0.1","209439"
"r_2","1000BGN","2019","3.1.2.1.1.2.1.0.1","236826"
"r_2","1000BGN","2020","3.1.2.1.1.2.1.0.1","261853"
"r_2","1000BGN","2005","3.1.2.1.1.2.1.0.2","42973"
"r_2","1000BGN","2006","3.1.2.1.1.2.1.0.2","67780"
"r_2","1000BGN","2007","3.1.2.1.1.2.1.0.2","41680"
"r_2","1000BGN","2008","3.1.2.1.1.2.1.0.2","60199"
"r_2","1000BGN","2009","3.1.2.1.1.2.1.0.2","47758"
"r_2","1000BGN","2010","3.1.2.1.1.2.1.0.2","44731"
"r_2","1000BGN","2011","3.1.2.1.1.2.1.0.2","46505"
"r_2","1000BGN","2012","3.1.2.1.1.2.1.0.2","61053"
"r_2","1000BGN","2013","3.1.2.1.1.2.1.0.2","64509"
"r_2","1000BGN","2014","3.1.2.1.1.2.1.0.2","78675"
"r_2","1000BGN","2015","3.1.2.1.1.2.1.0.2","88211"
"r_2","1000BGN","2016","3.1.2.1.1.2.1.0.2","86956"
"r_2","1000BGN","2017","3.1.2.1.1.2.1.0.2","70820"
"r_2","1000BGN","2018","3.1.2.1.1.2.1.0.2","78732"
"r_2","1000BGN","2019","3.1.2.1.1.2.1.0.2",".."
"r_2","1000BGN","2020","3.1.2.1.1.2.1.0.2","77523"
"r_2","1000BGN","2005","3.1.2.1.1.2.1.0.3","26604"
"r_2","1000BGN","2006","3.1.2.1.1.2.1.0.3","35396"
"r_2","1000BGN","2007","3.1.2.1.1.2.1.0.3","66618"
"r_2","1000BGN","2008","3.1.2.1.1.2.1.0.3","43158"
"r_2","1000BGN","2009","3.1.2.1.1.2.1.0.3","49470"
"r_2","1000BGN","2010","3.1.2.1.1.2.1.0.3","62451"
"r_2","1000BGN","2011","3.1.2.1.1.2.1.0.3","57192"
"r_2","1000BGN","2012","3.1.2.1.1.2.1.0.3","58953"
"r_2","1000BGN","2013","3.1.2.1.1.2.1.0.3","62024"
"r_2","1000BGN","2014","3.1.2.1.1.2.1.0.3","66100"
"r_2","1000BGN","2015","3.1.2.1.1.2.1.0.3","70469"
"r_2","1000BGN","2016","3.1.2.1.1.2.1.0.3","75680"
"r_2","1000BGN","2017","3.1.2.1.1.2.1.0.3","81502"
"r_2","1000BGN","2018","3.1.2.1.1.2.1.0.3","89170"
"r_2","1000BGN","2019","3.1.2.1.1.2.1.0.3",".."
"r_2","1000BGN","2020","3.1.2.1.1.2.1.0.3","88631"
"r_2","1000BGN","2005","3.1.2.1.1.2.1.0.4","66757"
"r_2","1000BGN","2006","3.1.2.1.1.2.1.0.4","78118"
"r_2","1000BGN","2007","3.1.2.1.1.2.1.0.4","94853"
"r_2","1000BGN","2008","3.1.2.1.1.2.1.0.4","120056"
"r_2","1000BGN","2009","3.1.2.1.1.2.1.0.4","127206"
"r_2","1000BGN","2010","3.1.2.1.1.2.1.0.4","128035"
