RevisionColumn,LFS_ProfStatus,Units,periods,GenderID,ValueColumn
"r_17","0","1000cp","2011Q1","2","1365.9"
"r_17","0","1000cp","2011Q2","0","2946"
"r_17","0","1000cp","2011Q2","1","1560.7"
"r_17","0","1000cp","2011Q2","2","1385.3"
"r_17","0","1000cp","2011Q3","0","3036.5"
"r_17","0","1000cp","2011Q3","1","1610.3"
"r_17","0","1000cp","2011Q3","2","1426.2"
"r_17","0","1000cp","2011Q4","0","2973.8"
"r_17","0","1000cp","2011Q4","1","1558.7"
"r_17","0","1000cp","2011Q4","2","1415.1"
"r_17","0","1000cp","2012Q1","0","2853.2"
"r_17","0","1000cp","2012Q1","1","1492.5"
"r_17","0","1000cp","2012Q1","2","1360.7"
"r_17","0","1000cp","2012Q2","0","2913.7"
"r_17","0","1000cp","2012Q2","1","1528.7"
"r_17","0","1000cp","2012Q2","2","1385"
"r_17","0","1000cp","2012Q3","0","3017.1"
"r_17","0","1000cp","2012Q3","1","1584.6"
"r_17","0","1000cp","2012Q3","2","1432.5"
"r_17","0","1000cp","2012Q4","0","2951.8"
"r_17","0","1000cp","2012Q4","1","1560.9"
"r_17","0","1000cp","2012Q4","2","1390.9"
"r_17","0","1000cp","2013Q1","0","2855"
"r_17","0","1000cp","2013Q1","1","1499"
"r_17","0","1000cp","2013Q1","2","1356"
"r_17","0","1000cp","2013Q2","0","2940.2"
"r_17","0","1000cp","2013Q2","1","1540.5"
"r_17","0","1000cp","2013Q2","2","1399.7"
"r_17","0","1000cp","2013Q3","0","3012.9"
"r_17","0","1000cp","2013Q3","1","1592.3"
"r_17","0","1000cp","2013Q3","2","1420.7"
"r_17","0","1000cp","2013Q4","0","2931.6"
"r_17","0","1000cp","2013Q4","1","1555.6"
"r_17","0","1000cp","2013Q4","2","1376"
"r_17","0","1000cp","2014Q1","0","2894.1"
"r_17","0","1000cp","2014Q1","1","1533.5"
"r_17","0","1000cp","2014Q1","2","1360.6"
"r_17","0","1000cp","2014Q2","0","2979.8"
"r_17","0","1000cp","2014Q2","1","1576.4"
"r_17","0","1000cp","2014Q2","2","1403.4"
"r_17","0","1000cp","2014Q3","0","3061.9"
"r_17","0","1000cp","2014Q3","1","1624.1"
"r_17","0","1000cp","2014Q3","2","1437.7"
"r_17","0","1000cp","2014Q4","0","2989.7"
"r_17","0","1000cp","2014Q4","1","1574.4"
"r_17","0","1000cp","2014Q4","2","1415.3"
"r_17","0","1000cp","2015Q1","0","2949.8"
"r_17","0","1000cp","2015Q1","1","1561.3"
"r_17","0","1000cp","2015Q1","2","1388.4"
"r_17","0","1000cp","2015Q2","0","3011.2"
"r_17","0","1000cp","2015Q2","1","1595.5"
"r_17","0","1000cp","2015Q2","2","1415.7"
"r_17","0","1000cp","2015Q3","0","3104.7"
"r_17","0","1000cp","2015Q3","1","1646"
"r_17","0","1000cp","2015Q3","2","1458.7"
"r_17","0","1000cp","2015Q4","0","3061.7"
"r_17","0","1000cp","2015Q4","1","1627.3"
"r_17","0","1000cp","2015Q4","2","1434.5"
"r_17","1","1000cp","2003Q1","0","92.7"
"r_17","1","1000cp","2003Q1","1","70.5"
"r_17","1","1000cp","2003Q1","2","22.2"
"r_17","1","1000cp","2003Q2","0","103.1"
"r_17","1","1000cp","2003Q2","1","77.2"
"r_17","1","1000cp","2003Q2","2","25.9"
"r_17","1","1000cp","2003Q3","0","101.2"
"r_17","1","1000cp","2003Q3","1","72.5"
"r_17","1","1000cp","2003Q3","2","28.7"
"r_17","1","1000cp","2003Q4","0","101.3"
"r_17","1","1000cp","2003Q4","1","78"
"r_17","1","1000cp","2003Q4","2","23.3"
"r_17","1","1000cp","2004Q1","0","100.3"
"r_17","1","1000cp","2004Q1","1","75.5"
"r_17","1","1000cp","2004Q1","2","24.8"
"r_17","1","1000cp","2004Q2","0","113.2"
"r_17","1","1000cp","2004Q2","1","82.1"
"r_17","1","1000cp","2004Q2","2","31.1"
"r_17","1","1000cp","2004Q3","0","119.4"
"r_17","1","1000cp","2004Q3","1","89.4"
"r_17","1","1000cp","2004Q3","2","30"
"r_17","1","1000cp","2004Q4","0","111.7"
"r_17","1","1000cp","2004Q4","1","82.9"
"r_17","1","1000cp","2004Q4","2","28.8"
"r_17","1","1000cp","2005Q1","0","103.4"
"r_17","1","1000cp","2005Q1","1","74.9"
"r_17","1","1000cp","2005Q1","2","28.5"
"r_17","1","1000cp","2005Q2","0","117"
"r_17","1","1000cp","2005Q2","1","83.8"
"r_17","1","1000cp","2005Q2","2","33.2"
"r_17","1","1000cp","2005Q3","0","118.5"
"r_17","1","1000cp","2005Q3","1","86.7"
"r_17","1","1000cp","2005Q3","2","31.8"
"r_17","1","1000cp","2005Q4","0","119.1"
"r_17","1","1000cp","2005Q4","1","85.7"
"r_17","1","1000cp","2005Q4","2","33.4"
"r_17","1","1000cp","2006Q1","0","112.5"
"r_17","1","1000cp","2006Q1","1","78.3"
"r_17","1","1000cp","2006Q1","2","34.3"
"r_17","1","1000cp","2006Q2","0","122.8"
"r_17","1","1000cp","2006Q2","1","90.5"
"r_17","1","1000cp","2006Q2","2","32.3"
"r_17","1","1000cp","2006Q3","0","125.8"
"r_17","1","1000cp","2006Q3","1","96.9"
"r_17","1","1000cp","2006Q3","2","28.9"
"r_17","1","1000cp","2006Q4","0","129.5"
"r_17","1","1000cp","2006Q4","1","95.9"
"r_17","1","1000cp","2006Q4","2","33.6"
"r_17","1","1000cp","2007Q1","0","121.9"
"r_17","1","1000cp","2007Q1","1","86.8"
"r_17","1","1000cp","2007Q1","2","35.1"
"r_17","1","1000cp","2007Q2","0","121.2"
"r_17","1","1000cp","2007Q2","1","85.6"
"r_17","1","1000cp","2007Q2","2","35.6"
"r_17","1","1000cp","2007Q3","0","137.1"
"r_17","1","1000cp","2007Q3","1","103.2"
"r_17","1","1000cp","2007Q3","2","33.9"
"r_17","1","1000cp","2007Q4","0","146.8"
"r_17","1","1000cp","2007Q4","1","108.7"
"r_17","1","1000cp","2007Q4","2","38.1"
"r_17","1","1000cp","2008Q1","0","126.5"
"r_17","1","1000cp","2008Q1","1","83.3"
"r_17","1","1000cp","2008Q1","2","43.2"
"r_17","1","1000cp","2008Q2","0","120"
"r_17","1","1000cp","2008Q2","1","85.8"
"r_17","1","1000cp","2008Q2","2","34.2"
"r_17","1","1000cp","2008Q3","0","126.3"
"r_17","1","1000cp","2008Q3","1","92.8"
"r_17","1","1000cp","2008Q3","2","33.6"
"r_17","1","1000cp","2008Q4","0","119"
"r_17","1","1000cp","2008Q4","1","87.4"
"r_17","1","1000cp","2008Q4","2","31.5"
"r_17","1","1000cp","2009Q1","0","103.4"
"r_17","1","1000cp","2009Q1","1","75.6"
"r_17","1","1000cp","2009Q1","2","27.9"
"r_17","1","1000cp","2009Q2","0","115"
"r_17","1","1000cp","2009Q2","1","84.7"
"r_17","1","1000cp","2009Q2","2","30.4"
"r_17","1","1000cp","2009Q3","0","124.3"
"r_17","1","1000cp","2009Q3","1","88.9"
"r_17","1","1000cp","2009Q3","2","35.4"
"r_17","1","1000cp","2009Q4","0","111"
"r_17","1","1000cp","2009Q4","1","78.5"
"r_17","1","1000cp","2009Q4","2","32.4"
"r_17","1","1000cp","2010Q1","0","100.5"
"r_17","1","1000cp","2010Q1","1","73.1"
"r_17","1","1000cp","2010Q1","2","27.4"
"r_17","1","1000cp","2010Q2","0","112.3"
"r_17","1","1000cp","2010Q2","1","79.9"
"r_17","1","1000cp","2010Q2","2","32.5"
"r_17","1","1000cp","2010Q3","0","123.4"
"r_17","1","1000cp","2010Q3","1","87.5"
"r_17","1","1000cp","2010Q3","2","35.9"
"r_17","1","1000cp","2010Q4","0","116.5"
"r_17","1","1000cp","2010Q4","1","83.3"
"r_17","1","1000cp","2010Q4","2","33.1"
"r_17","1","1000cp","2011Q1","0","112.8"
"r_17","1","1000cp","2011Q1","1","79.2"
"r_17","1","1000cp","2011Q1","2","33.6"
"r_17","1","1000cp","2011Q2","0","108"
"r_17","1","1000cp","2011Q2","1","77.2"
"r_17","1","1000cp","2011Q2","2","30.8"
"r_17","1","1000cp","2011Q3","0","109.6"
"r_17","1","1000cp","2011Q3","1","76.3"
"r_17","1","1000cp","2011Q3","2","33.3"
"r_17","1","1000cp","2011Q4","0","99.9"
"r_17","1","1000cp","2011Q4","1","70.1"
"r_17","1","1000cp","2011Q4","2","29.8"
"r_17","1","1000cp","2012Q1","0","103.3"
"r_17","1","1000cp","2012Q1","1","72.7"
"r_17","1","1000cp","2012Q1","2","30.6"
"r_17","1","1000cp","2012Q2","0","102.4"
