RevisionColumn,HBS_POTR,Residence,periods,ValueColumn
"r_1","075","0","2013","1.9"
"r_1","075","1","2013","2"
"r_1","075","2","2013","1.5"
"r_1","075","0","2014","1.6"
"r_1","075","1","2014","1.6"
"r_1","075","2","2014","1.5"
"r_1","08","0","2004","4.3"
"r_1","08","1","2004","4.4"
"r_1","08","2","2004","4.1"
"r_1","08","0","2005","4.2"
"r_1","08","1","2005","4.3"
"r_1","08","2","2005","4"
"r_1","08","0","2006","4.3"
"r_1","08","1","2006","4.3"
"r_1","08","2","2006","4.3"
"r_1","08","0","2007","4.3"
"r_1","08","1","2007","4.3"
"r_1","08","2","2007","4.2"
"r_1","08","0","2008","4.6"
"r_1","08","1","2008","4.6"
"r_1","08","2","2008","4.6"
"r_1","08","0","2009","4.8"
"r_1","08","1","2009","4.8"
"r_1","08","2","2009","4.8"
"r_1","08","0","2010","5.3"
"r_1","08","1","2010","5.3"
"r_1","08","2","2010","5.3"
"r_1","08","0","2011","5.4"
"r_1","08","1","2011","5.4"
"r_1","08","2","2011","5.5"
"r_1","08","0","2012","5.4"
"r_1","08","1","2012","5.5"
"r_1","08","2","2012","5.2"
"r_1","08","0","2013","6.7"
"r_1","08","1","2013","6.7"
"r_1","08","2","2013","6.6"
"r_1","08","0","2014","5.7"
"r_1","08","1","2014","5.8"
"r_1","08","2","2014","5.5"
"r_1","09","0","2004","24"
"r_1","09","1","2004","19.5"
"r_1","09","2","2004","34.4"
"r_1","09","0","2005","22.2"
"r_1","09","1","2005","18.5"
"r_1","09","2","2005","30.2"
"r_1","09","0","2006","20.8"
"r_1","09","1","2006","17.8"
"r_1","09","2","2006","27.5"
"r_1","09","0","2007","19.6"
"r_1","09","1","2007","17.7"
"r_1","09","2","2007","24.1"
"r_1","09","0","2008","19.1"
"r_1","09","1","2008","17.6"
"r_1","09","2","2008","22.5"
"r_1","09","0","2009","19.9"
"r_1","09","1","2009","19"
"r_1","09","2","2009","21.9"
"r_1","09","0","2010","20.9"
"r_1","09","1","2010","20.4"
"r_1","09","2","2010","22.3"
"r_1","09","0","2011","19.9"
"r_1","09","1","2011","18.9"
"r_1","09","2","2011","22.6"
"r_1","09","0","2012","19.6"
"r_1","09","1","2012","18.8"
"r_1","09","2","2012","21.9"
"r_1","09","0","2013","20.1"
"r_1","09","1","2013","19.8"
"r_1","09","2","2013","20.9"
"r_1","09","0","2014","18.8"
"r_1","09","1","2014","18.2"
"r_1","09","2","2014","20.8"
"r_1","10","0","2004","26.1"
"r_1","10","1","2004","25.1"
"r_1","10","2","2004","28.4"
"r_1","10","0","2005","25.7"
"r_1","10","1","2005","24.7"
"r_1","10","2","2005","28"
"r_1","10","0","2006","26"
"r_1","10","1","2006","25"
"r_1","10","2","2006","28.2"
"r_1","10","0","2007","27.3"
"r_1","10","1","2007","27.1"
"r_1","10","2","2007","27.8"
"r_1","10","0","2008","26.6"
"r_1","10","1","2008","26.9"
"r_1","10","2","2008","25.9"
"r_1","10","0","2009","26.8"
"r_1","10","1","2009","27"
"r_1","10","2","2009","26.3"
"r_1","10","0","2010","28.9"
"r_1","10","1","2010","28.8"
"r_1","10","2","2010","29.1"
"r_1","10","0","2011","27.7"
"r_1","10","1","2011","27.7"
"r_1","10","2","2011","27.7"
"r_1","10","0","2012","29"
"r_1","10","1","2012","29.5"
"r_1","10","2","2012","27.4"
"r_1","10","0","2013","28.1"
"r_1","10","1","2013","28.4"
"r_1","10","2","2013","27.3"
"r_1","10","0","2014","26.9"
"r_1","10","1","2014","26.6"
"r_1","10","2","2014","27.7"
"r_1","11","0","2004","10"
"r_1","11","1","2004","10"
"r_1","11","2","2004","10.1"
"r_1","11","0","2005","10"
"r_1","11","1","2005","9.9"
"r_1","11","2","2005","10.3"
"r_1","11","0","2006","10.7"
"r_1","11","1","2006","10.6"
"r_1","11","2","2006","10.9"
"r_1","11","0","2007","10.6"
"r_1","11","1","2007","10.7"
"r_1","11","2","2007","10.4"
"r_1","11","0","2008","10.7"
"r_1","11","1","2008","10.9"
"r_1","11","2","2008","10.3"
"r_1","11","0","2009","11"
