RevisionColumn,HBS_Meassure,HBS_OR,Residence,periods,ValueColumn
"r_10","1","114","0","2010","137"
"r_10","1","114","1","2010","143"
"r_10","1","114","2","2010","123"
"r_10","1","114","0","2011","141"
"r_10","1","114","1","2011","162"
"r_10","1","114","2","2011","87"
"r_10","1","114","0","2012","131"
"r_10","1","114","1","2012","141"
"r_10","1","114","2","2012","101"
"r_10","1","114","0","2013","123"
"r_10","1","114","1","2013","130"
"r_10","1","114","2","2013","100"
"r_10","1","114","0","2014","135"
"r_10","1","114","1","2014","140"
"r_10","1","114","2","2014","118"
"r_10","1","114","0","2015","136"
"r_10","1","114","1","2015","148"
"r_10","1","114","2","2015","99"
"r_10","1","114","0","2016","130"
"r_10","1","114","1","2016","135"
"r_10","1","114","2","2016","115"
"r_10","1","114","0","2017","145"
"r_10","1","114","1","2017","156"
"r_10","1","114","2","2017","113"
"r_10","1","114","0","2018","130"
"r_10","1","114","1","2018","146"
"r_10","1","114","2","2018","85"
"r_10","1","114","0","2019","140"
"r_10","1","114","1","2019","148"
"r_10","1","114","2","2019","118"
"r_10","1","114","0","2020","120"
"r_10","1","114","1","2020","120"
"r_10","1","114","2","2020","119"
"r_10","1","114","0","2021","133"
"r_10","1","114","1","2021","146"
"r_10","1","114","2","2021","94"
"r_10","1","114","0","2022","141"
"r_10","1","114","1","2022","147"
"r_10","1","114","2","2022","123"
"r_10","1","115","0","2008","494"
"r_10","1","115","1","2008","439"
"r_10","1","115","2","2008","616"
"r_10","1","115","0","2009","454"
"r_10","1","115","1","2009","401"
"r_10","1","115","2","2009","573"
"r_10","1","115","0","2010","353"
"r_10","1","115","1","2010","311"
"r_10","1","115","2","2010","460"
"r_10","1","115","0","2011","282"
"r_10","1","115","1","2011","258"
"r_10","1","115","2","2011","343"
"r_10","1","115","0","2012","386"
"r_10","1","115","1","2012","366"
"r_10","1","115","2","2012","446"
"r_10","1","115","0","2013","448"
"r_10","1","115","1","2013","424"
"r_10","1","115","2","2013","526"
"r_10","1","115","0","2014","460"
"r_10","1","115","1","2014","403"
"r_10","1","115","2","2014","641"
"r_10","1","115","0","2015","462"
"r_10","1","115","1","2015","419"
"r_10","1","115","2","2015","600"
"r_10","1","115","0","2016","507"
"r_10","1","115","1","2016","499"
"r_10","1","115","2","2016","531"
"r_10","1","115","0","2017","522"
"r_10","1","115","1","2017","500"
"r_10","1","115","2","2017","583"
"r_10","1","115","0","2018","635"
"r_10","1","115","1","2018","612"
"r_10","1","115","2","2018","698"
"r_10","1","115","0","2019","573"
"r_10","1","115","1","2019","542"
"r_10","1","115","2","2019","661"
"r_10","1","115","0","2020","540"
"r_10","1","115","1","2020","499"
"r_10","1","115","2","2020","660"
"r_10","1","115","0","2021","551"
"r_10","1","115","1","2021","526"
"r_10","1","115","2","2021","627"
"r_10","1","115","0","2022","679"
"r_10","1","115","1","2022","683"
"r_10","1","115","2","2022","668"
"r_10","1","12","0","2008","330"
"r_10","1","12","1","2008","370"
"r_10","1","12","2","2008","239"
"r_10","1","12","0","2009","414"
"r_10","1","12","1","2009","494"
"r_10","1","12","2","2009","233"
"r_10","1","12","0","2010","192"
"r_10","1","12","1","2010","201"
"r_10","1","12","2","2010","170"
"r_10","1","12","0","2011","112"
"r_10","1","12","1","2011","139"
"r_10","1","12","2","2011","40"
"r_10","1","12","0","2012","154"
"r_10","1","12","1","2012","165"
"r_10","1","12","2","2012","121"
"r_10","1","12","0","2013","177"
"r_10","1","12","1","2013","205"
"r_10","1","12","2","2013","85"
"r_10","1","12","0","2014","274"
"r_10","1","12","1","2014","310"
"r_10","1","12","2","2014","156"
"r_10","1","12","0","2015","315"
"r_10","1","12","1","2015","364"
"r_10","1","12","2","2015","156"
"r_10","1","12","0","2016","457"
"r_10","1","12","1","2016","538"
"r_10","1","12","2","2016","223"
"r_10","1","12","0","2017","648"
"r_10","1","12","1","2017","780"
"r_10","1","12","2","2017","273"
"r_10","1","12","0","2018","682"
"r_10","1","12","1","2018","777"
"r_10","1","12","2","2018","420"
"r_10","1","12","0","2019","836"
"r_10","1","12","1","2019","965"
"r_10","1","12","2","2019","477"
"r_10","1","12","0","2020","1098"
"r_10","1","12","1","2020","1258"
"r_10","1","12","2","2020","636"
"r_10","1","12","0","2021","1116"
"r_10","1","12","1","2021","1328"
"r_10","1","12","2","2021","476"
"r_10","1","12","0","2022","1339"
"r_10","1","12","1","2022","1643"
"r_10","1","12","2","2022","424"
"r_10","1","13","0","2008","308"
"r_10","1","13","1","2008","384"
"r_10","1","13","2","2008","137"
"r_10","1","13","0","2009","410"
"r_10","1","13","1","2009","496"
"r_10","1","13","2","2009","217"
"r_10","1","13","0","2010","310"
"r_10","1","13","1","2010","368"
"r_10","1","13","2","2010","164"
"r_10","1","13","0","2011","322"
"r_10","1","13","1","2011","391"
"r_10","1","13","2","2011","144"
"r_10","1","13","0","2012","404"
