RevisionColumn,periods,NUTS,Indicators,Units,ValueColumn
"r_3","2010","BG331","3.1.1.6.1","1000EUR","1531539.3"
"r_3","2011","BG331","3.1.1.6.1","1000EUR","1500599.7"
"r_3","2012","BG331","3.1.1.6.1","1000EUR","1471179.2"
"r_3","2013","BG331","3.1.1.6.1","1000EUR","1424057.7"
"r_3","2014","BG331","3.1.1.6.1","1000EUR","1679193"
"r_3","2007","BG332","3.1.1.6.1","1000EUR","66132"
"r_3","2008","BG332","3.1.1.6.1","1000EUR","174517.1"
"r_3","2009","BG332","3.1.1.6.1","1000EUR","194854.4"
"r_3","2010","BG332","3.1.1.6.1","1000EUR","301906.2"
"r_3","2011","BG332","3.1.1.6.1","1000EUR","233539.4"
"r_3","2012","BG332","3.1.1.6.1","1000EUR","261811.9"
"r_3","2013","BG332","3.1.1.6.1","1000EUR","299945.1"
"r_3","2014","BG332","3.1.1.6.1","1000EUR","111566.1"
"r_3","2007","BG334","3.1.1.6.1","1000EUR","125870.2"
"r_3","2008","BG334","3.1.1.6.1","1000EUR","153605.9"
"r_3","2009","BG334","3.1.1.6.1","1000EUR","153040"
"r_3","2010","BG334","3.1.1.6.1","1000EUR","180850.9"
"r_3","2011","BG334","3.1.1.6.1","1000EUR","193503.9"
"r_3","2012","BG334","3.1.1.6.1","1000EUR","186336.8"
"r_3","2013","BG334","3.1.1.6.1","1000EUR","208880.9"
"r_3","2014","BG334","3.1.1.6.1","1000EUR","198286.2"
"r_3","2007","BG333","3.1.1.6.1","1000EUR","123179.9"
"r_3","2008","BG333","3.1.1.6.1","1000EUR","157939.2"
"r_3","2009","BG333","3.1.1.6.1","1000EUR","95689.7"
"r_3","2010","BG333","3.1.1.6.1","1000EUR","88626.8"
"r_3","2011","BG333","3.1.1.6.1","1000EUR","91091.6"
"r_3","2012","BG333","3.1.1.6.1","1000EUR","105668.7"
"r_3","2013","BG333","3.1.1.6.1","1000EUR","108596"
"r_3","2014","BG333","3.1.1.6.1","1000EUR","104871.4"
"r_3","2007","BG34","3.1.1.6.1","1000EUR","1472215.7"
"r_3","2008","BG34","3.1.1.6.1","1000EUR","1639288.3"
"r_3","2009","BG34","3.1.1.6.1","1000EUR","1857192"
"r_3","2010","BG34","3.1.1.6.1","1000EUR","2728916.2"
"r_3","2011","BG34","3.1.1.6.1","1000EUR","2947248.8"
"r_3","2012","BG34","3.1.1.6.1","1000EUR","2866239.7"
"r_3","2013","BG34","3.1.1.6.1","1000EUR","3385948.9"
"r_3","2014","BG34","3.1.1.6.1","1000EUR","2057290.7"
"r_3","2007","BG341","3.1.1.6.1","1000EUR","772097.4"
"r_3","2008","BG341","3.1.1.6.1","1000EUR","666902.1"
