RevisionColumn,Units,periods,Indicators,ValueColumn
"r_1","1000BGN","2014","3.1.2.4.1.0.1","4321412"
"r_1","1000BGN","2015","3.1.2.4.1.0.1","6008040"
"r_1","1000BGN","2016","3.1.2.4.1.0.1","5625334"
"r_1","1000BGN","2017","3.1.2.4.1.0.1","5784464"
"r_1","1000BGN","2018","3.1.2.4.1.0.1","6810631"
"r_1","1000BGN","2019","3.1.2.4.1.0.1","5742115"
"r_1","1000BGN","2020","3.1.2.4.1.0.1","10036881"
"r_1","1000BGN","2005","3.1.2.4.1.0.2.1.1","302812"
"r_1","1000BGN","2006","3.1.2.4.1.0.2.1.1","496069"
"r_1","1000BGN","2007","3.1.2.4.1.0.2.1.1","1363175"
"r_1","1000BGN","2008","3.1.2.4.1.0.2.1.1","1872958"
"r_1","1000BGN","2009","3.1.2.4.1.0.2.1.1","1613505"
"r_1","1000BGN","2010","3.1.2.4.1.0.2.1.1","2079228"
"r_1","1000BGN","2011","3.1.2.4.1.0.2.1.1","2511130"
"r_1","1000BGN","2012","3.1.2.4.1.0.2.1.1","2652530"
"r_1","1000BGN","2013","3.1.2.4.1.0.2.1.1","3065459"
"r_1","1000BGN","2014","3.1.2.4.1.0.2.1.1",".."
"r_1","1000BGN","2015","3.1.2.4.1.0.2.1.1","6008040"
"r_1","1000BGN","2016","3.1.2.4.1.0.2.1.1","5625334"
"r_1","1000BGN","2017","3.1.2.4.1.0.2.1.1","5784464"
"r_1","1000BGN","2018","3.1.2.4.1.0.2.1.1","6343913"
"r_1","1000BGN","2019","3.1.2.4.1.0.2.1.1","5742115"
"r_1","1000BGN","2020","3.1.2.4.1.0.2.1.1",".."
"r_1","1000BGN","2005","3.1.2.4.1.0.2.1.1.1","842"
"r_1","1000BGN","2006","3.1.2.4.1.0.2.1.1.1","1523"
"r_1","1000BGN","2007","3.1.2.4.1.0.2.1.1.1","3690"
"r_1","1000BGN","2008","3.1.2.4.1.0.2.1.1.1","5731"
"r_1","1000BGN","2009","3.1.2.4.1.0.2.1.1.1","9506"
"r_1","1000BGN","2010","3.1.2.4.1.0.2.1.1.1","11348"
"r_1","1000BGN","2011","3.1.2.4.1.0.2.1.1.1","13784"
"r_1","1000BGN","2012","3.1.2.4.1.0.2.1.1.1","26883"
"r_1","1000BGN","2013","3.1.2.4.1.0.2.1.1.1","26657"
"r_1","1000BGN","2014","3.1.2.4.1.0.2.1.1.1","47253"
"r_1","1000BGN","2015","3.1.2.4.1.0.2.1.1.1","39613"
"r_1","1000BGN","2016","3.1.2.4.1.0.2.1.1.1","43239"
"r_1","1000BGN","2017","3.1.2.4.1.0.2.1.1.1","64693"
"r_1","1000BGN","2018","3.1.2.4.1.0.2.1.1.1","58392"
"r_1","1000BGN","2019","3.1.2.4.1.0.2.1.1.1","58392"
"r_1","1000BGN","2020","3.1.2.4.1.0.2.1.1.1","58399"
"r_1","1000BGN","2005","3.1.2.4.1.0.2.1.1.2","42212"
"r_1","1000BGN","2006","3.1.2.4.1.0.2.1.1.2","52434"
