RevisionColumn,PlaceResidence,GenderID,periods,Units,ValueColumn
"r_2","1","1","2005Q1","perc","58.6"
"r_2","1","1","2005Q2","perc","59.7"
"r_2","1","1","2005Q3","perc","60.8"
"r_2","1","1","2005Q4","perc","59.9"
"r_2","1","1","2006Q1","perc","58.7"
"r_2","1","1","2006Q2","perc","61.3"
"r_2","1","1","2006Q3","perc","61.8"
"r_2","1","1","2006Q4","perc","61.5"
"r_2","1","1","2007Q1","perc","61.2"
"r_2","1","1","2007Q2","perc","62.2"
"r_2","1","1","2007Q3","perc","63.2"
"r_2","1","1","2007Q4","perc","63.2"
"r_2","1","1","2008Q1","perc","63.1"
"r_2","1","1","2008Q2","perc","63.4"
"r_2","1","1","2008Q3","perc","64.4"
"r_2","1","1","2008Q4","perc","64.1"
"r_2","1","1","2009Q1","perc","63.4"
"r_2","1","1","2009Q2","perc","62.9"
"r_2","1","1","2009Q3","perc","63.2"
"r_2","1","1","2009Q4","perc","62.7"
"r_2","1","1","2010Q1","perc","63.4"
"r_2","1","1","2010Q2","perc","63.9"
"r_2","1","1","2010Q3","perc","64.1"
"r_2","1","1","2010Q4","perc","63.3"
"r_2","1","1","2011Q1","perc","61.5"
"r_2","1","1","2011Q2","perc","61"
"r_2","1","1","2011Q3","perc","62.3"
"r_2","1","1","2011Q4","perc","61.7"
"r_2","1","1","2012Q1","perc","60.8"
"r_2","1","1","2012Q2","perc","61.8"
"r_2","1","1","2012Q3","perc","63.2"
"r_2","1","1","2012Q4","perc","62.6"
"r_2","1","1","2013Q1","perc","62.1"
"r_2","1","1","2013Q2","perc","62.8"
"r_2","1","1","2013Q3","perc","63.8"
"r_2","1","1","2013Q4","perc","63.4"
"r_2","1","1","2014Q1","perc","63.3"
"r_2","1","1","2014Q2","perc","63.7"
"r_2","1","1","2014Q3","perc","64.6"
"r_2","1","1","2014Q4","perc","62.7"
"r_2","1","1","2015Q1","perc","62.8"
"r_2","1","1","2015Q2","perc","64"
"r_2","1","1","2015Q3","perc","64.2"
"r_2","1","1","2015Q4","perc","63.2"
"r_2","1","2","2003Q1","perc","48.4"
"r_2","1","2","2003Q2","perc","49.3"
"r_2","1","2","2003Q3","perc","49.7"
"r_2","1","2","2003Q4","perc","48.4"
"r_2","1","2","2004Q1","perc","48"
"r_2","1","2","2004Q2","perc","49.8"
"r_2","1","2","2004Q3","perc","49.9"
